Name,Structure,Class
acepromazine,CN(C)CCCN2C1=CC=CC=C1[S]C3=CC=C(C=C23)C(C)=O,1
aceprometazine,C[C@@]([H])(CN2C1=CC=CC=C1[S]C3=CC=C(C=C23)C(C)=O)N(C)C,1
acetophenazine,CC(=O)C4=CC=C3[S]C1=CC=CC=C1N(CCCN2CCN(CCO)CC2)C3=C4,1
adinazolam,CN(C)C/C3=N/N=C4C/N=C(/C1=C/C=CC=C1)C2=CC([Cl])=CC=C2N34,1
albutoin,CC(C)([H])C[C@@]1([H])NC(=[S])N(CC=C)C1=O,1
alclometasone,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])[C@@]([Cl])([H])CC1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)CO,1
aletamine (alfetamine),N[C@@]([H])(CC=C)C/C1=C/C=CC=C1,1
algestone,CC(=O)[C@@]3(O)[C@@](O)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([H])CC[C@@]34C,1
alimemazine,C[C@@]([H])(CN(C)C)CN2C1=CC=CC=C1[S]C3=CC=CC=C23,1
allobarbital (allobarbitol),C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1
alpertine,CCOC(=O)C=2NC1=CC(OC)=C(OC)C=C1C=2CCN3CCN(CC3)C4=CC=CC=C4,1
alphaprodine (betaprodine),CCC(=O)O[C@@]1(CCN(C)C[C@@]1(C)[H])C2=CC=CC=C2,1
alpidem,CCCN(CCC)C(=O)C/C1=C(/N=C2C=CC([Cl])=CN12)C3=C/C=C(/[Cl])C=C3,1
alprazolam,C/C3=N/N=C4C/N=C(/C1=C/C=CC=C1)C2=CC([Cl])=CC=C2N34,1
amantadine,N[C@@]23CC1([H])C[C@@]([H])(C[C@@]([H])(C1)C2)C3,1
amebucort,CCCC(=O)O[C@@]3(CC[C@@]4([H])[C@@]2([H])C[C@@](C)([H])C1=CC(=O)CC[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C)C(=O)COC(C)=O,1
amedalin,CNCCC[C@@]2(C)C(=O)N(/C1=C/C=CC=C1)C3=CC=CC=C23,1
amfonelic-acid,CCN2/C=C(/C(O)=O)C(=O)C3=C/C=C(/C/C1=C/C=CC=C1)N=C23,1
amiflamine,C[C@@](N)([H])C/C1=C/C=C(/C=C1/C)N(C)C,1
aminoglutethimide,CC[C@@]1(CCC(=O)NC1=O)C2=C/C=C(/N)C=C2,1
aminopromazine,CN(C)C[C@@]([H])(CN2C1=CC=CC=C1[S]C3=CC=CC=C23)N(C)C,1
amiperone,CN(C)C(=O)[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=C/C=C(/[Cl])C=C3,1
amitriptyline,CN(C)CC/C=C2/C1=CC=CC=C1CCC3=CC=CC=C23,1
amobarbital,CCC1(CCC(C)(C)[H])C(=O)NC(=O)NC1=O,1
