training set:,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,HDon_N,XlogP,TPSA,Dipole,NAtoms,2DACorr_SigChg_9,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_TotChg_1,2DACorr_TotChg_11,2DACorr_PiEN_8,2DACorr_PiEN_10
1,0.56,0.3363,0,2.04245,0,1.51686,11,0,0,0,0.0233012,0,0,0
2,0.2807,0.4258,0,2.76336,0,1.71337,8,0,0,0,0.343234,0,0,0
3,0.269,0.409,0,2.48913,0,1.7993,8,0,0,0,0.394592,0,0,0
4,0.27,0.339,0,2.06947,0,1.51432,11,0,0,0,0.0246155,0,0,0
7,-1.1,-0.922,2,3.46436,118.21,8.17981,83,0.211663,-0.000171,-0.068668,1.59427,0.244533,582.772,499.212
8,-0.09,0.1111,0,4.0647,63.91,3.35462,46,0.0298657,0.111331,-0.123395,1.09456,0.0135584,347.611,0
9,-1.88,-1.413,2,2.91342,79.27,13.4469,52,0.218806,-0.15725,-0.132768,1.26201,0.253328,487.052,473.496
11,-0.43,0.2252,0,4.8627,43.86,3.37291,61,-0.06821,-0.018125,-0.020216,0.781737,0.126429,130.906,278.045
13,0.07,0.1389,1,4.29471,52.65,3.01054,55,-0.064311,-0.018144,-0.020257,0.782292,0.130565,130.509,277.563
14,-2.15,-1.0465,2,2.33497,73.1,9.70334,35,0.0770179,-0.059999,-0.139448,1.28518,0.240729,264.464,372.334
15,-0.67,-0.9195,2,3.82113,86.53,7.34201,33,0.0334755,0.168077,-0.167621,1.08336,0.252504,246.222,555.353
16,0.035,0.1834,0,0.213381,0,0,5.00E+00,0,0,0,0.0058388,0,0,0
18,-0.166,0.3837,0,1.94956,0,0.0011258,10,0,2.62E-06,0,0.0274943,0,0,0
19,1.039,0.6276,0,3.71934,0,0.0106017,20,0,0,0,0.0179274,0,0,0
20,1.011,0.6224,0,3.65964,0,0.0163744,20,0,0,0,0.0187335,0,0,0
21,0.7173,0.5488,0,3.1337,0,0.0093383,17,0,0,0,0.016487,0,0.00E+00,0
23,0.8995,0.6988,0,4.21261,0,0.0132797,23,0,0,0,0.0213516,0,0,0
