training set:,,,,,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,logBB_svm,logBB_ann,HDon_N,XlogP,TPSA,RDF_PiChg_13,RDF_PiChg_33,RDF_PiChg_46,RDF_PiChg_58,RDF_TotChg_110,RDF_TotChg_121,RDF_SigEN_25,RDF_PiEN_37,RDF_PiEN_56,RDF_PiEN_93,RDF_Polariz_38
1,0.56,0.3106,0.3297,0.12,0,2.04245,0,0,0,0,0,0,0,56.9459,0,0,0,0
2,0.2807,0.4449,0.4657,0.402,0,2.76336,0,0,0,0,0,0,0,148.473,0.0031594,0,0,0.385617
3,0.269,0.4149,0.4279,0.277,0,2.48913,0,0,0,0,0,0,0,208.022,22.441,0,0,4.35496
4,0.27,0.3162,0.3353,0.167,0,2.06947,0,0,0,0,0,0,0,61.3451,0,0,0,0
7,-1.1,-1.1184,-1.2999,-1.39,2,3.46436,118.21,-0.052553,-0.015884,-0.042794,0.0094061,-0.097811,0.0268895,3994.25,269.06,150.819,159.12,3047.29
8,-0.09,0.3105,0.2792,0.416,0,4.0647,63.91,-0.023768,0.0065097,0.0088293,0.0365431,0.0025386,0,2225.05,228.575,150.718,0,1040.67
9,-1.88,-1.8199,-1.7679,-1.72,2,2.91342,79.27,-0.028558,-0.027565,-0.048157,0.0315416,0.0182724,0.0029382,1573.13,91.8916,130.633,283.281,873.037
11,-0.43,-0.0874,-0.0208,0.141,0,4.8627,43.86,-0.023845,-1.49E-06,-0.003581,-0.000238,-0.001868,0.0539789,2634.8,196.898,110.094,92.11,1030.27
13,0.07,-0.1323,-0.0592,0.0373,1,4.29471,52.65,-0.02393,-1.49E-06,-0.003586,-0.000238,-0.001413,0.0536434,2472.61,196.718,110.077,91.3499,813.378
14,-2.15,-1.6029,-1.6105,-1.75,2,2.33497,73.1,-0.077112,-0.07198,-0.025547,0,0.0308733,0.0107879,967.286,23.6814,0.405842,85.6765,400.211
15,-0.67,-0.7395,-0.745,-0.833,2,3.82113,86.53,-0.320887,0.0009334,-0.055344,0,0.0140268,-0.009066,883.373,203.502,16.6892,33.3847,428.151
16,0.035,0.0738,0.0808,-0.0163,0,2.13E-01,0,0,0,0,0,0,0,0,0,0,0,0
18,-0.166,0.293,0.3057,0.145,0,1.94956,0,-1.88E-06,0,0,0,0,0,129.774,31.5149,0,0,8.75724
19,1.039,0.6906,0.707,0.876,0,3.71934,0,0,0,0,0,0,0,391.047,0,0,0,12.1067
20,1.011,0.6123,0.6356,0.794,0,3.65964,0,0,0,0,0,0,0,280.348,0,0,0,25.9488
21,0.7173,0.4881,0.5125,0.565,0,3.1337,0,0,0,0,0,0.00E+00,0,167.194,0,0,0,22.1163
23,0.8995,0.6991,0.7263,0.933,0,4.21261,0,0,0,0,0,0,0,337.116,0,0,0,46.019
24,0.76,0.576,0.6038,0.696,0,3.69E+00,0,0,0,0,0,0,0,223.626,0,0,0,39.0046
28,0.689,0.7498,0.7859,0.964,0,4.79E+00,0,0,0,0,0,0,0,336.496,0,0,0,77.8169
29,0.86,0.8109,0.8458,0.995,0,5.01515,0,-2.95E-05,0,0,0,0,0,403.472,0,0,0,86.3931
32,0.98,0.7849,0.8165,0.974,0,4.76557,0,0,0,0,0,0,0,392.211,0,0,0,66.072
36,0.055,0.2341,0.2531,0.105,0,1.65889,0,0,0,0,0,0,0,0,0,0,0,0
37,1.07,0.8592,0.8725,0.957,0,4.36969,0,0,0,0,0,0,0,567.774,0,0,0,33.5428
38,0.931,0.5785,0.5957,0.752,0,3.29077,0,0,0,0,0,0.00E+00,0,325.358,0,0,0,73.3472
39,1.015,0.6199,0.6345,0.757,0,3.32E+00,0,0,0,0,0,0,0,338.608,0,0,0,0
44,0.33,0.3605,0.3912,0.269,0,2.79794,0,0,0,0,0,0,0,0.0511322,0,0,0,0
46,-0.28,0.2512,0.2717,0.139,0,1.81301,0,0,0,0,0,0,0,0.0207206,0,0,0,0
48,-0.1,0.2878,0.3115,0.156,0,2.14237,0,0,0,0,0,0.00E+00,0,0.0362743,0,0,0,0
51,0.305,0.33,0.3339,0.151,0,2.0862,9.23,0,0,0,0,0,0,477.248,46.9152,0,0,33.3965
53,-0.14,0.2395,0.2589,0.132,0,1.71E+00,0,0,0,0,0,0,0,0.0225533,0,0,0,0
54,1,0.7224,0.8005,0.87,0,5.53463,29.54,-0.014919,0,0,-2.77E-05,-0.018774,0.0232467,1534.96,42.1048,61.4551,0,584.798
55,-0.52,-0.364,-0.3206,-0.373,1,1.46371,61.77,-0.030697,0.0021733,0.0003428,0,0,0,462.799,0.719924,0.599387,0,107.331
59,0.2617,0.3448,0.3733,0.185,0,2.62482,0,0.000236,1.09E-05,3.71E-08,0,0,0,6.01421,0,0,0,0
61,-0.13,0.3016,0.3262,0.156,0,2.24787,0,0.0001156,0,3.88E-08,0,0,0,3.72364,0,0,0,0
63,0.1995,-0.0552,0.0485,-0.0314,4,3.8764,90.71,0.0026558,0.0001274,0.0024847,0.0007298,0,0,984.214,193.89,98.069,0,412.751
64,-0.3,-0.7557,-0.789,-0.798,0,2.92489,76.53,-0.04531,0.0022164,-0.034986,0.0890204,-0.002084,0.0033567,1805.69,234.651,223.835,76.3309,768.487
65,-1.82,-1.6123,-1.6197,-1.62,0,0.866536,116.99,-0.045123,0.0022119,-0.036398,0.0893388,0.0245706,-0.006354,2231.88,261.088,230.688,97.614,957.95
68,0.5,0.5206,0.533,0.565,1,2.78038,41.46,-0.035294,0.0156406,0.0066765,-0.004836,0,0,1645.85,172.463,98.7775,0,1039.99
69,-0.0457,0.3275,0.2212,0.174,1,4.95148,65.64,-0.003334,1.06E-06,-0.01728,-0.000893,-1.23E-02,-0.014925,2422.68,204.045,23.471,22.8882,1360.05
70,1.03,0.476,0.5023,0.542,0,3.43259,12.47,0.000291,0.0001976,0.0005056,0.000353,0,0,1406.1,172.069,106.489,0.0040565,1230.76
71,0.39,0.4341,0.4572,0.478,1,3.18394,21.26,0.0002912,0.0001975,0.0005055,0.000353,0,0,1276.74,171.743,106.03,0.0040565,1125.94
72,0.35,0.248,0.2294,0.117,0,2.29026,40.62,-0.024316,-0.011659,0.0018216,0.0116425,0,0,1744.63,247.509,193.378,0,661.233
73,0.36,0.2695,0.2589,0.0493,1,2.15016,49.41,-0.024352,-0.011677,0.0018223,0.0116307,0,0,1679.77,246.977,202.458,0,564.206
75,0.97,0.7285,0.6978,0.674,2,4.2377,29.26,0.0015454,6.43E-05,3.95E-05,0.0002162,0,0,1403.32,164.853,38.267,0.59076,694.653
76,1.06,0.9164,0.9007,0.985,0,4.86496,6.48,0.0015454,6.43E-05,3.95E-05,0.0002162,0,0,1594.27,164.853,40.143,0.59076,803.619
77,1.37,0.8463,0.8196,0.899,1,4.61631,15.27,0.0015454,6.43E-05,3.95E-05,0.0002162,0,0,1467.28,164.853,39.2031,0.59076,766.963
78,-0.78,-0.4381,-0.4845,-0.442,2,2.40964,67.92,-0.048605,0.0038012,-0.010852,0.0332853,-0.001404,-0.000884,1686.56,133.944,17.4192,66.4125,1185.21
79,0.382,0.1909,0.1534,0.304,0,3.99872,29.66,-0.018744,-0.007085,0.0292393,-0.002336,0,0,1866.72,465.064,130.464,0,1377.13
80,-0.07,-0.071,-0.0837,-0.0465,0,2.96284,49.89,-0.018854,-0.004093,0.0261147,-0.002299,0,0,1914.99,357.088,130.034,0.0045945,1410.01
81,-0.21,0.0598,0.0379,0.0871,0,3.64257,49.89,-0.020847,-0.0043,0.0271014,-0.001733,0,0,2030.9,356.669,112.271,0,1383.7
83,0.4383,0.5054,0.5182,0.612,0,2.92048,32.67,-0.034658,0.0150436,0.0059324,-0.003109,0,0,1740.55,185.4,102.804,0,1139.71
84,-0.07,0.171,0.1463,0.214,1,4.14904,47.86,-0.026874,-0.002774,-0.002264,0.0012455,0,0,1973.57,310.419,119.652,0.411507,1448.42
