"SUPPORTING INFORMATION
TREND ANALYSIS OF A DATABASE OF INTRAVENOUS PHARMACOKINETIC PARAMETERS IN HUMANS FOR 670 DRUG COMPOUNDS
R. Scott Obach, Franco Lombardo, Nigel J. Waters
Complete set of compound names, CAS numbers, pharmacokinetic data, full references and comment from authors.
",,,,,,,,,
#,Name,CAS #,VDss (L/kg),CL (mL/min/kg),fu,MRT (h),t1/2 (h),Reference,Comments
1,Abacavir,136470-78-5,0.84,13,0.50,1.1,1.0,"Chittick GE, Gillotin C, McDowell JA, Lou Y, Edwards KD, Prince WT, and Stein DS. (1999) Abacavir: absolute bioavailability, bioequivalence of three oral formulations, and effect of food.    Pharmacotherapy 19: 932-942.  Ziagen Product Label.",
2,Abanoquil,90402-40-7,6.3,14,NF,7.6,5.9,"Schafers RF, Elliott HL, Meredith PA, Miller SHK, and Reid JL (1991) Studies with abanoquil (UK-52,046) a novel quinoline _1-adrenoceptor antagonist:  II.  Duration of action, pharmacokinetics and concentration-effect relationships in normotensive subjects.  Br. J. Clin. Pharmacol. 32: 605-610.",
3,Acarbose,56180-94-0,0.32,2.2,NF,2.4,2.7,"Putter J, Keup U, Krause HP, Muller L, and Weber H (1982) Pharmacokinetics of acarbose.  Int. Congr. Ser. 594: 38-48. ",
4,Acebutolol,37517-30-9,1.7,10,0.74,2.8,3.5,"Kaye CM, Kumana CR, Leighton M, Hamer J, and Turner P (1976) Observations on the pharmacokinetics of acebutolol.  Clin. Pharmacol. Ther.  19: 416-420.  Meffin PJ, Winkle RA, Peters FA, and Harrison DC (1977) Acebutolol disposition after intravenous administration.  Clin. Pharmacol. Ther. 22: 557-567.  Roux A, Flouvat B, Chau NP, Letac B, and Lucsko M (1980) Pharmacokinetics of acebutalol after intravenous bolus administration.  Br. J. Clin. Pharmacol. 9: 215-217.","Vss calculated from digitized plots from Kaye, et al, and from reported microconstants from Roux, et al."
5,Acecainide (N-acetylprocainamide),32795-44-1,1.9,4.0,0.90,7.9,6.4,"Coyle JD, Boudoulas H, and Lima JJ (1991) Acecainide pharmacokinetics in normal subjects of known acetylator phenotype.  Biopharm. Drug Dispos. 12: 599-612.   Connolly SJ and Kates RE (1982)  Clinical pharmacokinetics of N-acetylprocainamide.    Clin. Pharmacokinet. 7: 206-220.",
6,Acetaminophen,103-90-2,1.0,5.0,0.52,3.3,2.5,"Rowlins MD, Henderson DB, Hijab AR (1977) Pharmacokinetics of paracetamol (acetaminophen) after intravenous and oral administration.  Eur. J. Clin. Pharmacol. 11: 283-286.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",VDss calculated from micro rate constants provided in Rowlins et al.
7,Acetazolamide,59-66-5,0.37,0.65,0.04,9.5,13,"Chapron DJ, Sweeney KR, Feig PU, and Kramer PA (1985) Influence of advanced age on the disposition of acetazolamide.  Br. J. Clin. Pharmacol. 19: 363-371.",VDss and t1/2 were calculated from C vs t data obtained by digitization of plots included in the reference.
8,"Acetylcysteine, N-",616-91-1,0.55,3.1,0.17,3.0,5.5,"Prescott LF, Donovan JW, Jarvie DR, and Proudfoot AT (1989) The disposition and kinetics of intravenous N-acetylcysteine in patients with paracetamol overdosage.  Eur. J. Clin. Pharmacol. 37: 501-506.  Acetadote Product Label.",
