ID,SMILES,LOAEL [mg/kg_bw/day]
5,COc1cc(c(C)cc1N=Nc2c(O)ccc3cc(ccc23)S(OH)(=O)=O)S(OH)(=O)=O,3739
8,O1C(=O)C(O)=C(O)C1C(O)CO,3051
24,C1(C)=C(C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C(=O)OC)C(C)(C)CCC1,500
28,c(cccc1)(c1)C(C)C,462
30,O=C(OCCCC)c(c(ccc1)C(=O)OCCCC)c1,600
31,O=C(OCC)c(c(ccc1)C(=O)OCC)c1,4435
34,O=C(OC(OC(OC1C)C)C1)C,125
39,Oc(c(ccc1)C)c1C,6
40,Oc(ccc(c1C)C)c1,14
47,O=C(OCC)C=C,248
55,c(cccc1)(c1)CC,408
57,OCCO,250
59,c(ccc1C(=O)OCC(=O)OCC)cc1C(=O)OCC,2500
63,O=C,82
64,O=C(O)C=CC(=O)O,1081
69,OCC(O)CO,6883
76,O=C(OC)c(ccc(O)c1)c1,1500
77,O=C(OCCC)c(ccc(O)c1)c1,1500
89,CC(CCC(=O)(O))C3CCC4C2CCC1CC(O)CCC1(C)C2CCC34C,500
92,OC(C(CCC1C)C(C)C)C1,593
95,O=C(O)C(=C)C,248
96,O=C(OC)c(c(O)ccc1)c1,360
107,Oc(cccc1)c1,344
112,O=C(OCCC)c(cc(O)c(O)c1O)c1,864
118,OCC(O)C1C(O)=C(O)C(=O)O1,1554
124,c(cccc1)(c1)C=C,21
155,O=Cc(occ1)c1,60
166,NCCNc1cccc2ccccc12,79
167,CN(C)(C)CCCl,275
168,O=C(Nc(ccc(c1)C(=O)CCl)c1)C,1580
169,c(ccc(c1)Cl)(c1)C(c(ccc(c2)Cl)c2)C(Cl)(Cl)Cl,32
171,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)(O),8.7
178,O=N(=O)C(=CC=C1OC)C=C1N=NC(C(O)=C2C(=O)NC(=CC=C4)C=C4N(=O)=O)=C(C=C3)C(=C2)C=C3,2100
183,O=N(=O)C(C=C1)=CC(OCCO)=C1NCCO,229
192,Cc1cccc(CC)c1N(C(=O)CCl)COCC,50
194,Clc(cc(c1)C(F)(F)F)c(c1)Oc(ccc2N(=O)(=O))cc2C(=O)OH,180
197,CCc1cccc(CC)c1N(COC)C(=O)CCl,15
209,O=C(Nc(ccc(OCC)c1N)c1)C,1185
212,Oc(ccc(N)c1)c1,686
215,CC(N)CC(=CC=C1)C=C1,5
217,O(c(ccc(c1)C=CC)c1)C,344
219,COc1ccc(N)cc1,474
220,O=C(O)c(c(N)ccc1)c1,2751
222,Clc2cccc(c2)c1ccccc1,4
223,O=C(NC(C(=O)OC)Cc(cccc1)c1)C(N)CC(=O)O,147
224,n1c2ccc(Cl)cc2ncc1Oc3ccc(OC(C)C(=O)OCC)cc3,3.7
225,COC(=O)NS(=O)(=O)c1ccc(N)cc1,180
229,S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),0.36
232,CNC(=O)Oc1ccccc1OC(C)C,50
233,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,25
239,O=S(O)(=O)C(=CC=C1)C=C1CN(CC)=C(C=C2)C=CC2=C(C(C=C3)=CC=C3N(C)C)C(C=C4)=CC=C4N(CC)CC(C=C5)=CC(=C5)S(=O)(=O)O,720
244,c(c(cccc1)c1)(cccc2)c2,250
250,BrC(Cl)Cl,130
260,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2(=O),12
263,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,15.6
268,CC1=C(SCCO1)C(=O)Nc2ccccc2,30
271,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.27
275,O=C(O)CCl,30
276,ClC(=CC=C1N)C=C1,6
284,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,9
289,n1c(OC)nc(C)nc1NC(=O)NS(=O)(=O)c2ccccc2Cl,25
290,OS(=O)(=O)C(C(=CC=C2)C1=C2)=CC=C1N=NC(C(O)=C3N=NC(C(C=C5)=C4C=C5)=CC=C4S(O)(=O)=O)=CC(=C3O)CO,736
295,S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1,0.8
297,CNP(=O)(OC)Oc1ccc(cc1Cl)C(C)(C)C,4
