Number,Smiles,LogPS,Classification,Reference [PMID],
1,C[C@H]1[C@H]([C@H](C[C@@H](O1_)O[C@H]2C[C@@](CC3=C(C4=C(C(=23)O)C(=O)C5=C(C4=O)C=CC=C5OC) O)(C(=O)CO)O)N)O ,-5.7,CNSp-,18481317,
2,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O ,-5.3,CNSp-,9466345,
3,C([C@H]([C@H]([C@@H]([C@@H](C O)O)O)O)O)O ,-5,CNSp-,9466345,
4,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C_@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC =C7)(CO4)OC(=O)C)O)C)OC(=O)C ,-4.7,CNSp-,18481317,
5,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4CC5=C(C=C24)OCO5)O ,-4.6,CNSp-,18481317,
6,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C 2CCN(C)C ,-4.6,CNSp-,17405866,
7,C([C@H]([C@H](CO)O)O)O ,-4.6,CNSp-,9466345,
8,CN1CC(=O)N=C1N ,-4.6,CNSp-,7392035,
9,C1C[C@@H](O[C@@H]1CO)N2C=NC 3=C2NC=NC3=O ,-4.5,CNSp-,18481317,
10,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O) O)N ,-4.5,CNSp-,19591936,
11,CC(C)[C@@H](C(=O)O)N ,-4.4,CNSp-,3468857,*
12,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@ @H]2O)O[C@@H]3[C@H](O[C@H](C[  C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]( [C@]7([C@@]6(CC[C@@H]7C8=CC(= O)OC8)O)C)O)C)C)C)O)O ,-4.3,CNSp-,14709630,
13,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CCC4)NC(=O)[C@@H]5C[C@H]6[C@@H ](CC7=CNC8=CC=CC6=C78)N(C5)C ,-4.2,CNSp-,18481317,
14,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N ,-4.2,CNSp-,3819731,
