Compound,Total clearance (ml/min/kg),Set,SMILES
Chlorpropamide,0.04,Training,c1(S(NC(NCCC)=O)(=O)=O)ccc(Cl)cc1
Droxicam,0.05,Training,c12c(c3c(cccc3)S(N2C)(=O)=O)oc(=O)n(c1=O)c1ccccn1
Benoxaprofen,0.07,Training,C[C@H](c1ccc2c(c1)nc(c1ccc(cc1)Cl)o2)C(O)=O
Tenidap,0.09,Training,C1(\c2c(ccc(c2)Cl)N(C1=O)C(N)=O)=C(/c1cccs1)O
Meloxicam,0.11,Training,c12c(S(N(C)C(=C1O)C(Nc1ncc(s1)C)=O)(=O)=O)cccc2
Azapropazone,0.14,Training,N12N(C(=Nc3c1cc(C)cc3)N(C)C)C(=O)[C@H](C2=O)CCC
Dutasteride,0.14,Training,c1(ccc(cc1NC([C@H]1CC[C@@H]2[C@@]1(CC[C@@H]1[C@H]2CC[C@@H]2[C@@]1(C=CC(N2)=O)C)C)=O)C(F)(F)F)C(F)(F)F
Nordazepam,0.17,Training,C=1(c2c(NC(CN1)=O)ccc(c2)Cl)c1ccccc1
Ethosuximide,0.19,Training,C1([C@@](CC(=O)N1)(CC)C)=O
Delorazepam,0.21,Training,c1(Cl)cc2C(=NCC(Nc2cc1)=O)c1c(Cl)cccc1
Ceftriaxone,0.23,Training,N12[C@@H]([C@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(=O)O)CSc1n([nH]c(=O)c(n1)=O)C
Sulfasalazine,0.24,Training,c1(S(Nc2ccccn2)(=O)=O)ccc(\N=N\c2cc(c(O)cc2)C(O)=O)cc1
Liothyronine,0.25,Training,c1c(c(ccc1Oc1c(cc(cc1I)C[C@@H](C(O)=O)N)I)O)I
Cefpiramide,0.28,Training,Cc1cc(c(cn1)C(N[C@@H](c1ccc(cc1)O)C(N[C@@H]1[C@@H]2N(C1=O)C(=C(CS2)CSc1nnnn1C)C(O)=O)=O)=O)O
Sulfafurazole,0.28,Training,c1(S(Nc2c(c(C)no2)C)(=O)=O)ccc(N)cc1
Tolbutamide,0.29,Training,c1(S(NC(NCCCC)=O)(=O)=O)ccc(C)cc1
Fluconazole,0.30,Training,c1(C(Cn2cncn2)(Cn2cncn2)O)c(cc(F)cc1)F
Sulfamethoxazole,0.31,Validation,c1(S(Nc2cc(C)on2)(=O)=O)ccc(N)cc1
Olmesartan,0.32,Training,CCCc1nc(c(C(O)=O)n1Cc1ccc(cc1)c1ccccc1c1[nH]nnn1)C(C)(C)O
Cefonicid,0.33,Training,N12[C@H]([C@H](NC([C@H](c3ccccc3)O)=O)C2=O)SCC(=C1C(=O)O)CSc1n(nnn1)CS(=O)(=O)O
Amobarbital,0.35,Training,C1(C(NC(=O)NC1=O)=O)(CCC(C)C)CC
Benazeprilat,0.35,Training,c1ccc(cc1)CC[C@@H](C(O)=O)N[C@H]1CCc2ccccc2N(CC(O)=O)C1=O
Flurbiprofen,0.35,Training,c1(c2ccccc2)c(cc([C@@H](C(=O)O)C)cc1)F
Topiramate,0.37,Training,O1[C@@]2([C@H]([C@H]3[C@@H](OC(O3)(C)C)CO2)OC1(C)C)COS(N)(=O)=O
rhein,0.38,Training,c1cc2c(c(c1)O)C(c1c(cc(cc1O)C(O)=O)C2=O)=O
Ertapenem,0.40,Training,C[C@H]1C(=C(C(O)=O)N2C([C@H]([C@@H](C)O)[C@H]12)=O)S[C@@H]1C[C@@H](C(Nc2cccc(c2)C(O)=O)=O)NC1
Secnidazole,0.40,Training,C[C@@H](O)Cn1c(C)ncc1[N+](=O)O
Mefloquine,0.41,Training,c12c(c(cc(n2)C(F)(F)F)[C@@H]([C@@H]2CCCCN2)O)cccc1C(F)(F)F
Levocabastine,0.43,Training,c1([C@@]2([C@H](C[N@@](C3CCC(c4ccc(F)cc4)(C#N)CC3)CC2)C)C(O)=O)ccccc1
Borocaptate,0.43,Training,B(BBBBBBBB)(BBB)S
Fosinoprilat,0.46,Training,c1ccc(cc1)CCCC[P@](CC(N1C[C@H](C[C@H]1C(O)=O)C1CCCCC1)=O)(O)=O
Phenazone,0.46,Training,n1(c2ccccc2)n(c(C)cc1=O)C
Phenytoin,0.46,Training,C1(c2ccccc2)(c2ccccc2)NC(=O)NC1=O
Mecillinam,0.48,Training,CC1(C)S[C@@H]2[C@@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(O)=O
Ketorolac,0.50,Training,n12c([C@H](C(O)=O)CC2)ccc1C(c1ccccc1)=O
Lamotrigine,0.51,Training,c1(c2c(c(ccc2)Cl)Cl)c(nc(N)nn1)N
Doxycycline,0.52,Training,C=1([C@]2([C@@H]([C@H](C(O)=C(C2=O)C(N)=O)N(C)C)[C@@H]([C@H]2[C@@H](c3cccc(c3C(C12)=O)O)C)O)O)O
Glipizide,0.52,Training,c1(ccc(CCNC(c2cnc(C)cn2)=O)cc1)S(NC(NC1CCCCC1)=O)(=O)=O
Ceforanide,0.56,Training,c1ccc(CN)c(c1)CC(N[C@@H]1C(N2C(=C(CS[C@H]12)CSc1nnnn1CC(O)=O)C(O)=O)=O)=O
Diazepam,0.56,Training,C=1(c2c(N(C)C(CN1)=O)ccc(c2)Cl)c1ccccc1
Rufloxacin,0.57,Training,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2CCS3)=O
Rosiglitazone,0.58,Training,C([C@H]1SC(=O)NC1=O)c1ccc(OCCN(c2ccccn2)C)cc1
Tinidazole,0.58,Training,S(CCn1c([N+](=O)[O-])cnc1C)(CC)(=O)=O
Raltitrexed,0.59,Validation,c12c(ccc(c1)CN(c1sc(C(N[C@@H](CCC(O)=O)C(O)=O)=O)cc1)C)nc(C)[nH]c2=O
Brodimoprim,0.60,Training,c1(Cc2c(nc(N)nc2)N)cc(c(Br)c(c1)OC)OC
Dapsone,0.60,Training,S(c1ccc(N)cc1)(c1ccc(N)cc1)(=O)=O
Tamsulosin,0.62,Training,c1(c(ccc(c1)C[C@H](NCCOc1c(cccc1)OCC)C)OC)S(N)(=O)=O
Cefotetan,0.63,Validation,C1([C@@]([C@@H]2N1C(=C(CSc1n(nnn1)C)CS2)C(=O)O)(NC(C1S\C(=C(\C(N)=O)C(=O)O)S1)=O)OC)=O
Nevirapine,0.63,Training,N1(c2c(NC(c3c1nccc3)=O)c(ccn2)C)C1CC1
Etoricoxib,0.70,Training,c1c(ccc(c1)c1cc(cnc1c1cnc(cc1)C)Cl)S(=O)(=O)C
Cefodizime,0.71,Training,N12[C@@H]([C@@H](NC(\C(c3nc(N)sc3)=N\OC)=O)C2=O)SCC(=C1C(=O)O)CSc1sc(CC(=O)O)c(n1)C
