0,92
1,CHEMBL488
2,CHEMBL696209
3,6317
4,Cricetulus griseus
5,Homo sapiens
6,H
7,=
8,80000.0
9,nM
10,IC50
11,
12,10896
13,32
14,PROTEIN
15,SINGLE PROTEIN
16,8
pref_name,"['Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1', 'Cytochrome P450 11A1']"
