,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,41511,CHEMBL157101,CHEMBL760888,255904,Rattus norvegicus,Homo sapiens,H,=,11200.0,nM,IC50,,11347,11542,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 21
1,41512,CHEMBL328863,CHEMBL760888,156650,Rattus norvegicus,Homo sapiens,H,=,6570.0,nM,IC50,,11347,11542,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 21
2,41513,CHEMBL319160,CHEMBL760888,156572,Rattus norvegicus,Homo sapiens,H,=,4460.0,nM,IC50,,11347,11542,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 21
3,41514,CHEMBL157101,CHEMBL760888,255904,Rattus norvegicus,Homo sapiens,H,=,9010.0,nM,IC50,,11347,11542,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 21
4,41515,CHEMBL3582472,CHEMBL3583945,1948539,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,92533,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
5,41516,CHEMBL3582477,CHEMBL3583945,1948544,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,92533,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
6,41517,CHEMBL3582478,CHEMBL3583945,1948545,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,92533,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
7,41518,CHEMBL3582481,CHEMBL3583945,1948548,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,92533,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
8,41519,CHEMBL2147041,CHEMBL3784034,1420537,Homo sapiens,Homo sapiens,D,>,7500.0,nM,IC50,,98666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
9,41520,CHEMBL3780847,CHEMBL3784034,2076534,Homo sapiens,Homo sapiens,D,=,1050.0,nM,IC50,,98666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
10,41521,CHEMBL157101,CHEMBL3868074,255904,Homo sapiens,Homo sapiens,D,=,4300.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
11,41522,CHEMBL3983734,CHEMBL3868074,2193105,Homo sapiens,Homo sapiens,D,=,1600.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
12,41523,CHEMBL3913908,CHEMBL3868074,2123279,Homo sapiens,Homo sapiens,D,=,271.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
13,41524,CHEMBL3894912,CHEMBL3868074,2104283,Homo sapiens,Homo sapiens,D,=,51.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
14,41525,CHEMBL3922888,CHEMBL3868074,2132259,Homo sapiens,Homo sapiens,D,=,28.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
15,41526,CHEMBL3964421,CHEMBL3868074,2173792,Homo sapiens,Homo sapiens,D,=,166.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
16,41527,CHEMBL3931836,CHEMBL3868074,2141207,Homo sapiens,Homo sapiens,D,=,123.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
17,41528,CHEMBL3938615,CHEMBL3868074,2147986,Homo sapiens,Homo sapiens,D,=,49.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
18,41529,CHEMBL3968178,CHEMBL3868074,2177549,Homo sapiens,Homo sapiens,D,=,26.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
19,41530,CHEMBL3952032,CHEMBL3868074,2161403,Homo sapiens,Homo sapiens,D,=,78.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
20,41531,CHEMBL3980889,CHEMBL3868074,2190260,Homo sapiens,Homo sapiens,D,=,20.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
21,41532,CHEMBL3960724,CHEMBL3868074,2170095,Homo sapiens,Homo sapiens,D,=,148.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
22,41533,CHEMBL3891718,CHEMBL3868074,2101089,Homo sapiens,Homo sapiens,D,=,8.0,nM,IC50,,101666,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
23,41534,CHEMBL3923127,CHEMBL3872121,2132498,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,101910,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
24,41535,CHEMBL3893614,CHEMBL3872121,2102985,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,101910,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
25,41536,CHEMBL3948337,CHEMBL3872121,2157708,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,101910,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
26,41537,CHEMBL3951973,CHEMBL3872121,2161344,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,101910,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
27,41538,CHEMBL3924257,CHEMBL3872121,2133628,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,101910,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
28,41539,CHEMBL3919759,CHEMBL3872121,2129130,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,101910,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
29,41540,CHEMBL3932330,CHEMBL3882751,2141701,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
30,41541,CHEMBL3952895,CHEMBL3882751,2162266,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
31,41542,CHEMBL3951679,CHEMBL3882751,2161050,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
32,41543,CHEMBL3942002,CHEMBL3882751,2151373,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
33,41544,CHEMBL3982901,CHEMBL3882751,2192272,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
34,41545,CHEMBL3903383,CHEMBL3882751,2112754,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
35,41546,CHEMBL3946949,CHEMBL3882751,2156320,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
36,41547,CHEMBL3911116,CHEMBL3882751,2120487,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
37,41548,CHEMBL3926463,CHEMBL3882751,2135834,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
38,41549,CHEMBL3920267,CHEMBL3882751,2129638,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
39,41550,CHEMBL3980640,CHEMBL3882751,2190011,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
40,41551,CHEMBL3905604,CHEMBL3882751,2114975,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
41,41552,CHEMBL3920881,CHEMBL3882751,2130252,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
42,41553,CHEMBL3922933,CHEMBL3882751,2132304,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 21
