,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,8522,CHEMBL121241,CHEMBL660380,199700,,Homo sapiens,H,=,30000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
1,8523,CHEMBL414238,CHEMBL660380,199609,,Homo sapiens,H,=,9000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
2,8524,CHEMBL121420,CHEMBL660380,199521,,Homo sapiens,H,=,4000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
3,8525,CHEMBL333108,CHEMBL660380,200345,,Homo sapiens,H,=,20000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
4,8526,CHEMBL333210,CHEMBL660380,199666,,Homo sapiens,H,=,18000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
5,8527,CHEMBL120797,CHEMBL660380,198863,,Homo sapiens,H,=,7000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
6,8528,CHEMBL120426,CHEMBL660380,198977,,Homo sapiens,H,=,5000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
7,8529,CHEMBL332690,CHEMBL660380,199562,,Homo sapiens,H,=,125000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
8,8530,CHEMBL331431,CHEMBL660380,199110,,Homo sapiens,H,=,65000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
9,8531,CHEMBL121522,CHEMBL660380,199552,,Homo sapiens,H,=,8000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
10,8532,CHEMBL333704,CHEMBL660380,199564,,Homo sapiens,H,=,10000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
11,8533,CHEMBL121503,CHEMBL660380,199554,,Homo sapiens,H,=,3000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
12,8534,CHEMBL121048,CHEMBL660380,199523,,Homo sapiens,H,=,9000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
13,8535,CHEMBL332994,CHEMBL660380,198943,,Homo sapiens,H,=,150000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
14,8536,CHEMBL121040,CHEMBL660380,199561,,Homo sapiens,H,=,20000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
15,8537,CHEMBL432386,CHEMBL660380,153470,,Homo sapiens,H,=,170000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
16,8538,CHEMBL121323,CHEMBL660380,199648,,Homo sapiens,H,=,3000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
17,8539,CHEMBL443542,CHEMBL660380,198888,,Homo sapiens,H,=,15000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
18,8540,CHEMBL330871,CHEMBL660380,199687,,Homo sapiens,H,=,7000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
19,8541,CHEMBL331485,CHEMBL660380,198860,,Homo sapiens,H,=,6000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
20,8542,CHEMBL332958,CHEMBL660380,199537,,Homo sapiens,H,=,12000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
21,8543,CHEMBL120825,CHEMBL660380,199148,,Homo sapiens,H,=,30000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
22,8544,CHEMBL1109,CHEMBL660380,153330,,Homo sapiens,H,=,60000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
23,8545,CHEMBL120183,CHEMBL660380,198859,,Homo sapiens,H,=,8000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C18
24,8546,CHEMBL42,CHEMBL3541788,2261,Homo sapiens,Homo sapiens,D,=,5.71,nmol/min,Drug metabolism,,91913,11186,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C18
25,8547,CHEMBL42,CHEMBL3538130,2261,Homo sapiens,Homo sapiens,D,=,4.08,nmol/min,Drug metabolism,,91913,11186,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C18
26,8548,CHEMBL42,CHEMBL3539709,2261,Homo sapiens,Homo sapiens,D,=,0.025,nmol/min,Drug metabolism,,91913,11186,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C18
27,8549,CHEMBL42,CHEMBL3539720,2261,Homo sapiens,Homo sapiens,D,=,0.065,nmol/min,Drug metabolism,,91913,11186,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C18
28,8550,CHEMBL483254,CHEMBL3537637,499179,Homo sapiens,Homo sapiens,D,=,56.0,%,Stability,,91925,11186,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C18
29,8551,CHEMBL3527526,CHEMBL3537638,1925234,Homo sapiens,Homo sapiens,D,=,0.1,%,Drug metabolism,,91925,11186,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C18
