,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,7105,CHEMBL121241,CHEMBL660387,199700,,Homo sapiens,H,>,200000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
1,7106,CHEMBL414238,CHEMBL660387,199609,,Homo sapiens,H,=,3000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
2,7107,CHEMBL121420,CHEMBL660387,199521,,Homo sapiens,H,>,250000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
3,7108,CHEMBL333108,CHEMBL660387,200345,,Homo sapiens,H,=,8000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
4,7109,CHEMBL333210,CHEMBL660387,199666,,Homo sapiens,H,=,35000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
5,7110,CHEMBL120797,CHEMBL660387,198863,,Homo sapiens,H,=,15000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
6,7111,CHEMBL120426,CHEMBL660387,198977,,Homo sapiens,H,=,7000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
7,7112,CHEMBL332690,CHEMBL660387,199562,,Homo sapiens,H,=,30000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
8,7113,CHEMBL331431,CHEMBL660387,199110,,Homo sapiens,H,>,250000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
9,7114,CHEMBL121522,CHEMBL660387,199552,,Homo sapiens,H,>,250000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
10,7115,CHEMBL333704,CHEMBL660387,199564,,Homo sapiens,H,=,20000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
11,7116,CHEMBL121503,CHEMBL660387,199554,,Homo sapiens,H,=,13000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
12,7117,CHEMBL121048,CHEMBL660387,199523,,Homo sapiens,H,>,250000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
13,7118,CHEMBL332994,CHEMBL660387,198943,,Homo sapiens,H,=,10000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
14,7119,CHEMBL121040,CHEMBL660387,199561,,Homo sapiens,H,=,15000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
15,7120,CHEMBL432386,CHEMBL660387,153470,,Homo sapiens,H,=,220000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
16,7121,CHEMBL121323,CHEMBL660387,199648,,Homo sapiens,H,=,30000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
17,7122,CHEMBL443542,CHEMBL660387,198888,,Homo sapiens,H,=,50000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
18,7123,CHEMBL330871,CHEMBL660387,199687,,Homo sapiens,H,=,13000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
19,7124,CHEMBL331485,CHEMBL660387,198860,,Homo sapiens,H,=,4000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
20,7125,CHEMBL332958,CHEMBL660387,199537,,Homo sapiens,H,=,180000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
21,7126,CHEMBL120825,CHEMBL660387,199148,,Homo sapiens,H,=,22000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
22,7127,CHEMBL1109,CHEMBL660387,153330,,Homo sapiens,H,=,130000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
23,7128,CHEMBL120183,CHEMBL660387,198859,,Homo sapiens,H,=,8000.0,nM,IC50,,16166,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
24,7129,CHEMBL208528,CHEMBL869681,347013,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,31079,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
25,7130,CHEMBL207831,CHEMBL869681,347092,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,31079,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
26,7131,CHEMBL218583,CHEMBL908900,365553,Homo sapiens,Homo sapiens,D,=,4800.0,nM,IC50,,34813,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
27,7132,CHEMBL267210,CHEMBL908900,365556,Homo sapiens,Homo sapiens,D,=,9000.0,nM,IC50,,34813,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
28,7133,CHEMBL375812,CHEMBL914358,370011,,Homo sapiens,H,>,10000.0,nM,IC50,,35153,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
29,7134,CHEMBL221044,CHEMBL914358,369922,,Homo sapiens,H,>,10000.0,nM,IC50,,35153,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
30,7135,CHEMBL2113263,CHEMBL914358,1385514,,Homo sapiens,H,>,10000.0,nM,IC50,,35153,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
31,7136,CHEMBL348475,CHEMBL893811,259664,Homo sapiens,Homo sapiens,D,=,45300.0,nM,IC50,,36502,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
32,7137,CHEMBL242983,CHEMBL893811,391713,Homo sapiens,Homo sapiens,D,=,1080.0,nM,IC50,,36502,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
33,7138,CHEMBL266212,CHEMBL893811,391711,Homo sapiens,Homo sapiens,D,=,13300.0,nM,IC50,,36502,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
34,7139,CHEMBL244239,CHEMBL893811,391704,Homo sapiens,Homo sapiens,D,=,5820.0,nM,IC50,,36502,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
35,7140,CHEMBL244403,CHEMBL895109,387205,Homo sapiens,Homo sapiens,D,>,200000.0,nM,IC50,,36602,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
36,7141,CHEMBL541214,CHEMBL896136,388701,,Homo sapiens,H,>,500000.0,nM,IC50,,36667,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
37,7142,CHEMBL392760,CHEMBL900220,402468,,Homo sapiens,H,>,500000.0,nM,IC50,,37168,10163,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2C8
38,7143,CHEMBL235952,CHEMBL900200,403310,Homo sapiens,Homo sapiens,D,=,8900.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
39,7144,CHEMBL235256,CHEMBL900200,403350,Homo sapiens,Homo sapiens,D,<,400.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
40,7145,CHEMBL237248,CHEMBL900200,403324,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
41,7146,CHEMBL237247,CHEMBL900200,403322,Homo sapiens,Homo sapiens,D,=,9300.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
42,7147,CHEMBL237037,CHEMBL900200,403321,Homo sapiens,Homo sapiens,D,=,20300.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
43,7148,CHEMBL236163,CHEMBL900200,403316,Homo sapiens,Homo sapiens,D,=,19000.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
44,7149,CHEMBL236162,CHEMBL900200,403315,Homo sapiens,Homo sapiens,D,=,1200.0,nM,IC50,,37245,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
45,7150,CHEMBL1630,CHEMBL949431,476314,Homo sapiens,Homo sapiens,D,=,2700.0,nM,IC50,,45429,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
46,7151,CHEMBL147587,CHEMBL949431,243564,Homo sapiens,Homo sapiens,D,=,13000.0,nM,IC50,,45429,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
47,7152,CHEMBL147806,CHEMBL949431,242691,Homo sapiens,Homo sapiens,D,=,23000.0,nM,IC50,,45429,10163,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2C8
