,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,173904,CHEMBL179529,CHEMBL829415,299725,Homo sapiens,Homo sapiens,D,=,31100.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
1,173905,CHEMBL360999,CHEMBL829415,299737,Homo sapiens,Homo sapiens,D,=,4100.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
2,173906,CHEMBL361364,CHEMBL829415,299558,Homo sapiens,Homo sapiens,D,=,80000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
3,173907,CHEMBL178780,CHEMBL829415,299559,Homo sapiens,Homo sapiens,D,=,580.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
4,173908,CHEMBL178781,CHEMBL829415,299560,Homo sapiens,Homo sapiens,D,=,57900.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
5,173909,CHEMBL179618,CHEMBL829415,299716,Homo sapiens,Homo sapiens,D,=,4100.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
6,173910,CHEMBL179669,CHEMBL829415,299718,Homo sapiens,Homo sapiens,D,=,6900.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
7,173911,CHEMBL179398,CHEMBL829415,299577,Homo sapiens,Homo sapiens,D,=,34300.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
8,173912,CHEMBL362702,CHEMBL829415,299620,Homo sapiens,Homo sapiens,D,>,400000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
9,173913,CHEMBL361153,CHEMBL829415,299430,Homo sapiens,Homo sapiens,D,>,400000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
10,173914,CHEMBL179005,CHEMBL829415,299438,Homo sapiens,Homo sapiens,D,=,7200.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
11,173915,CHEMBL179704,CHEMBL829415,299460,Homo sapiens,Homo sapiens,D,=,6300.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
12,173916,CHEMBL425519,CHEMBL829415,299461,Homo sapiens,Homo sapiens,D,=,368000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
13,173917,CHEMBL179763,CHEMBL829415,299523,Homo sapiens,Homo sapiens,D,>,300000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
14,173918,CHEMBL178516,CHEMBL829415,299431,Homo sapiens,Homo sapiens,D,=,25500.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
15,173919,CHEMBL178534,CHEMBL829415,299452,Homo sapiens,Homo sapiens,D,=,4200.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
16,173920,CHEMBL178547,CHEMBL829415,299453,Homo sapiens,Homo sapiens,D,>,400000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
17,173921,CHEMBL178330,CHEMBL829415,299454,Homo sapiens,Homo sapiens,D,>,400000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
18,173922,CHEMBL359657,CHEMBL829415,299633,Homo sapiens,Homo sapiens,D,=,40200.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
19,173923,CHEMBL178711,CHEMBL829415,299634,Homo sapiens,Homo sapiens,D,=,860.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
20,173924,CHEMBL178090,CHEMBL829415,299641,Homo sapiens,Homo sapiens,D,=,172000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
21,173925,CHEMBL179399,CHEMBL829415,299549,Homo sapiens,Homo sapiens,D,=,4100.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
22,173926,CHEMBL1795039,CHEMBL829415,1158370,Homo sapiens,Homo sapiens,D,>,400000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
23,173927,CHEMBL178681,CHEMBL829415,299621,Homo sapiens,Homo sapiens,D,=,77500.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
24,173928,CHEMBL368883,CHEMBL829415,299573,Homo sapiens,Homo sapiens,D,=,109000.0,nM,IC50,,21214,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
25,173929,CHEMBL351231,CHEMBL832860,267366,Homo sapiens,Homo sapiens,D,=,0.0,%,Inhibition,,21227,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
26,173930,CHEMBL351231,CHEMBL832863,267366,Homo sapiens,Homo sapiens,D,=,1.6,%,Inhibition,,21227,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
27,173931,CHEMBL202376,CHEMBL859099,338398,Homo sapiens,Homo sapiens,D,=,40000.0,nM,Km,,30659,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
28,173932,CHEMBL359657,CHEMBL910038,299633,Homo sapiens,Homo sapiens,D,=,20100.0,nM,Ki,,31860,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
29,173933,CHEMBL217125,CHEMBL910038,361911,Homo sapiens,Homo sapiens,D,=,38900.0,nM,Ki,,31860,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
30,173934,CHEMBL385008,CHEMBL910038,361910,Homo sapiens,Homo sapiens,D,>,400000.0,nM,Ki,,31860,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
31,173935,CHEMBL385023,CHEMBL910038,361896,Homo sapiens,Homo sapiens,D,>,400000.0,nM,Ki,,31860,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
32,173936,CHEMBL218397,CHEMBL910038,361895,Homo sapiens,Homo sapiens,D,=,5200.0,nM,Ki,,31860,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
33,173937,CHEMBL410355,CHEMBL910038,361894,Homo sapiens,Homo sapiens,D,=,9600.0,nM,Ki,,31860,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
34,173938,CHEMBL386250,CHEMBL910038,361880,Homo sapiens,Homo sapiens,D,=,9700.0,nM,Ki,,31860,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
35,173939,CHEMBL215183,CHEMBL910038,361879,Homo sapiens,Homo sapiens,D,>,400000.0,nM,Ki,,31860,20056,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2E1
