,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,179635,CHEMBL17157,CHEMBL869679,19569,Homo sapiens,Homo sapiens,D,=,8100.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
1,179636,CHEMBL382604,CHEMBL869679,347349,Homo sapiens,Homo sapiens,D,=,6700.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
2,179637,CHEMBL206576,CHEMBL869679,347348,Homo sapiens,Homo sapiens,D,=,2200.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
3,179638,CHEMBL204998,CHEMBL869679,347201,Homo sapiens,Homo sapiens,D,=,4200.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
4,179639,CHEMBL383199,CHEMBL869679,347200,Homo sapiens,Homo sapiens,D,=,7600.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
5,179640,CHEMBL378460,CHEMBL869679,347194,Homo sapiens,Homo sapiens,D,=,2500.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
6,179641,CHEMBL204362,CHEMBL869679,347088,Homo sapiens,Homo sapiens,D,=,1900.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
7,179642,CHEMBL207389,CHEMBL869679,347037,Homo sapiens,Homo sapiens,D,=,1300.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
8,179643,CHEMBL207832,CHEMBL869679,347093,Homo sapiens,Homo sapiens,D,=,700.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
9,179644,CHEMBL207831,CHEMBL869679,347092,Homo sapiens,Homo sapiens,D,=,400.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
10,179645,CHEMBL208528,CHEMBL869679,347013,Homo sapiens,Homo sapiens,D,=,400.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
11,179646,CHEMBL207982,CHEMBL869679,347012,Homo sapiens,Homo sapiens,D,=,600.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
12,179647,CHEMBL207278,CHEMBL869679,346954,Homo sapiens,Homo sapiens,D,=,700.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
13,179648,CHEMBL205154,CHEMBL869679,346982,Homo sapiens,Homo sapiens,D,=,700.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
14,179649,CHEMBL208528,CHEMBL869679,347013,Homo sapiens,Homo sapiens,D,=,160.0,nM,Ki,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
15,179650,CHEMBL560740,CHEMBL1058985,557400,,Homo sapiens,H,=,2000.0,nM,IC50,,48132,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
16,179651,CHEMBL556716,CHEMBL1058985,568072,,Homo sapiens,H,=,3000.0,nM,IC50,,48132,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
17,179652,CHEMBL560537,CHEMBL1058985,557391,,Homo sapiens,H,,,,IC50,Not Determined,48132,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
18,179653,CHEMBL589135,CHEMBL1074710,590877,,Homo sapiens,H,=,1400.0,nM,IC50,,49485,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
19,179654,CHEMBL589136,CHEMBL1074710,590878,,Homo sapiens,H,=,20000.0,nM,IC50,,49485,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
20,179655,CHEMBL608263,CHEMBL1074710,591044,,Homo sapiens,H,=,20000.0,nM,IC50,,49485,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
21,179656,CHEMBL589136,CHEMBL1119168,590878,,Homo sapiens,H,=,20000.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
22,179657,CHEMBL1085746,CHEMBL1119168,633367,,Homo sapiens,H,=,2700.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
23,179658,CHEMBL1085745,CHEMBL1119168,633366,,Homo sapiens,H,=,10000.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
24,179659,CHEMBL1082684,CHEMBL1119168,633363,,Homo sapiens,H,=,2000.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
25,179660,CHEMBL1085744,CHEMBL1119168,633365,,Homo sapiens,H,=,10000.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
26,179661,CHEMBL1083622,CHEMBL1119168,633301,,Homo sapiens,H,,,,IC50,Not Determined,51374,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
27,179662,CHEMBL1085743,CHEMBL1119168,633364,,Homo sapiens,H,,,,IC50,Not Determined,51374,100611,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 2J2
28,179663,CHEMBL589135,CHEMBL2072825,590877,Homo sapiens,Homo sapiens,D,=,1400.0,nM,IC50,,62933,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
29,179664,CHEMBL589136,CHEMBL2072825,590878,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,62933,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
30,179665,CHEMBL608263,CHEMBL2072825,591044,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,62933,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
31,179666,CHEMBL1085745,CHEMBL2072825,633366,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,62933,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
32,179667,CHEMBL3327064,CHEMBL3371006,1787887,Homo sapiens,Homo sapiens,D,=,81.6,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
33,179668,CHEMBL3327065,CHEMBL3371006,1787888,Homo sapiens,Homo sapiens,D,,,,Activity,Not Determined,90639,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
34,179669,CHEMBL3327067,CHEMBL3371006,1787890,Homo sapiens,Homo sapiens,D,=,82.6,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
35,179670,CHEMBL1258904,CHEMBL3371006,707919,Homo sapiens,Homo sapiens,D,=,91.9,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
36,179671,CHEMBL3327077,CHEMBL3371006,1787901,Homo sapiens,Homo sapiens,D,=,73.4,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
37,179672,CHEMBL3327078,CHEMBL3371006,1787902,Homo sapiens,Homo sapiens,D,=,60.6,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
38,179673,CHEMBL436774,CHEMBL3371006,359572,Homo sapiens,Homo sapiens,D,=,140.0,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
39,179674,CHEMBL3508698,CHEMBL3509247,1923867,Homo sapiens,Homo sapiens,D,=,67000.0,nM,Km,OUTCOME = Detected,91892,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
40,179675,CHEMBL3508698,CHEMBL3509256,1923867,Homo sapiens,Homo sapiens,D,=,604.4,pmol.min.mg-1,Vmax,OUTCOME = Detected,91892,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
41,179676,CHEMBL3508698,CHEMBL3509265,1923867,Homo sapiens,Homo sapiens,D,=,10.6,ul.min.nmol-1,CL,OUTCOME = Detected,91892,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
42,179677,CHEMBL42,CHEMBL3541780,2261,Homo sapiens,Homo sapiens,D,=,0.7,nmol/min,Drug metabolism,,91913,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
43,179678,CHEMBL1951575,CHEMBL3537740,1280563,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,91984,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
44,179679,CHEMBL3527324,CHEMBL3537745,1925030,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,91984,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
45,179680,CHEMBL3527325,CHEMBL3537745,1925031,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,91984,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
46,179681,CHEMBL1951575,CHEMBL3538082,1280563,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,91984,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
47,179682,CHEMBL42,CHEMBL3541853,2261,Homo sapiens,Homo sapiens,D,=,1.4,nmol/min,Drug metabolism,,91913,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
48,179683,CHEMBL42,CHEMBL3536999,2261,Homo sapiens,Homo sapiens,D,=,0.03,nmol/min,Drug metabolism,,91913,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
49,179684,CHEMBL218394,CHEMBL3541894,360720,Homo sapiens,Homo sapiens,D,,,,Compound recovery,metabolite_not_detected,92054,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
50,179685,CHEMBL42,CHEMBL3539712,2261,Homo sapiens,Homo sapiens,D,=,0.05,nmol/min,Drug metabolism,,91913,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
51,179686,CHEMBL42,CHEMBL3539723,2261,Homo sapiens,Homo sapiens,D,=,0.1,nmol/min,Drug metabolism,,91913,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
52,179687,CHEMBL42,CHEMBL3540041,2261,Homo sapiens,Homo sapiens,D,=,0.009000000000000001,nmol/min,Drug metabolism,,91913,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
53,179688,CHEMBL3527324,CHEMBL3538278,1925030,Homo sapiens,Homo sapiens,D,=,4530.0,nM,Km,,91984,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
54,179689,CHEMBL3527324,CHEMBL3538278,1925030,Homo sapiens,Homo sapiens,D,=,0.584,nmol/min,Vmax,,91984,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
55,179690,CHEMBL3527325,CHEMBL3538278,1925031,Homo sapiens,Homo sapiens,D,=,40700.0,nM,Km,,91984,100611,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 2J2
