0,180251
1,CHEMBL2409414
2,CHEMBL2411839
3,1573837
4,Homo sapiens
5,Homo sapiens
6,D
7,
8,
9,
10,Drug metabolism
11,Active
12,74419
13,107632
14,PROTEIN
15,SINGLE PROTEIN
16,9
pref_name,"['Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1', 'Cytochrome P450 2W1']"
