0,87
1,CHEMBL451887
2,CHEMBL3536619
3,520664
4,Homo sapiens
5,Homo sapiens
6,D
7,=
8,0.012
9,/min
10,Drug metabolism
11,
12,92073
13,106175
14,PROTEIN
15,PROTEIN FAMILY
16,5
pref_name,"['Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A', 'Cytochrome P450 3A']"
