,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,179954,CHEMBL1277122,CHEMBL1286960,713095,Homo sapiens,Homo sapiens,D,=,4720.0,nM,Ki,,53897,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
1,179955,CHEMBL1276946,CHEMBL1286960,712918,Homo sapiens,Homo sapiens,D,=,1530.0,nM,Ki,,53897,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
2,179956,CHEMBL407734,CHEMBL1738361,428233,,Homo sapiens,H,=,5000.0,nM,IC50,Active,51887,103629,PROTEIN,SINGLE PROTEIN,8,Cytochrome b-245 heavy chain
3,179957,CHEMBL541018,CHEMBL1738361,554261,,Homo sapiens,H,=,9000.0,nM,IC50,Active,51887,103629,PROTEIN,SINGLE PROTEIN,8,Cytochrome b-245 heavy chain
4,179958,CHEMBL1517979,CHEMBL1738361,941863,,Homo sapiens,H,>,10000.0,nM,IC50,inactive,51887,103629,PROTEIN,SINGLE PROTEIN,8,Cytochrome b-245 heavy chain
5,179959,CHEMBL1315444,CHEMBL1738361,739328,,Homo sapiens,H,>,50000.0,nM,IC50,inactive,51887,103629,PROTEIN,SINGLE PROTEIN,8,Cytochrome b-245 heavy chain
6,179960,CHEMBL1927145,CHEMBL1931063,1268098,Homo sapiens,Homo sapiens,D,=,1280.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
7,179961,CHEMBL1927146,CHEMBL1931063,1268099,Homo sapiens,Homo sapiens,D,=,365.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
8,179962,CHEMBL1926690,CHEMBL1931063,1268100,Homo sapiens,Homo sapiens,D,=,2015.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
9,179963,CHEMBL1927147,CHEMBL1931063,1268101,Homo sapiens,Homo sapiens,D,=,1340.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
10,179964,CHEMBL1927148,CHEMBL1931063,1268102,Homo sapiens,Homo sapiens,D,=,645.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
11,179965,CHEMBL1927149,CHEMBL1931063,1268103,Homo sapiens,Homo sapiens,D,=,1160.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
12,179966,CHEMBL1927150,CHEMBL1931063,1268104,Homo sapiens,Homo sapiens,D,=,1150.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
13,179967,CHEMBL1927151,CHEMBL1931063,1268105,Homo sapiens,Homo sapiens,D,=,1260.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
14,179968,CHEMBL1927152,CHEMBL1931063,1268106,Homo sapiens,Homo sapiens,D,=,1760.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
15,179969,CHEMBL1927153,CHEMBL1931063,1268107,Homo sapiens,Homo sapiens,D,=,1195.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
16,179970,CHEMBL1927154,CHEMBL1931063,1268108,Homo sapiens,Homo sapiens,D,=,780.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
17,179971,CHEMBL1927155,CHEMBL1931063,1268109,Homo sapiens,Homo sapiens,D,=,1020.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
18,179972,CHEMBL1927156,CHEMBL1931063,1268110,Homo sapiens,Homo sapiens,D,=,1370.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
19,179973,CHEMBL1927157,CHEMBL1931063,1268111,Homo sapiens,Homo sapiens,D,=,1140.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
20,179974,CHEMBL1927158,CHEMBL1931063,1268112,Homo sapiens,Homo sapiens,D,=,510.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
21,179975,CHEMBL1927159,CHEMBL1931063,1268113,Homo sapiens,Homo sapiens,D,=,820.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
22,179976,CHEMBL1927160,CHEMBL1931063,1268114,Homo sapiens,Homo sapiens,D,=,433.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
23,179977,CHEMBL247484,CHEMBL2411713,407499,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
24,179978,CHEMBL151,CHEMBL2411713,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
25,179979,CHEMBL151,CHEMBL2411715,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
26,179980,CHEMBL247484,CHEMBL2411717,407499,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
27,179981,CHEMBL28,CHEMBL2411717,1564,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
28,179982,CHEMBL117,CHEMBL2411717,17853,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
29,179983,CHEMBL151,CHEMBL2411717,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
30,179984,CHEMBL151,CHEMBL2411718,47209,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,74340,103629,PROTEIN,SINGLE PROTEIN,9,Cytochrome b-245 heavy chain
