,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,179901,CHEMBL865,CHEMBL967597,67010,Homo sapiens,Homo sapiens,D,=,1100.0,nM,IC50,,42618,101472,PROTEIN,SINGLE PROTEIN,9,Cytochrome c oxidase subunit 2
1,179902,CHEMBL254418,CHEMBL967597,419345,Homo sapiens,Homo sapiens,D,=,40.0,nM,IC50,,42618,101472,PROTEIN,SINGLE PROTEIN,9,Cytochrome c oxidase subunit 2
2,179903,CHEMBL118,CHEMBL999110,18694,Homo sapiens,Homo sapiens,D,,,,Activity,Active,42185,101472,PROTEIN,SINGLE PROTEIN,9,Cytochrome c oxidase subunit 2
3,179904,CHEMBL272342,CHEMBL999111,438618,,Homo sapiens,H,,,,Activity,Not Active,42185,101472,PROTEIN,SINGLE PROTEIN,8,Cytochrome c oxidase subunit 2
4,179905,CHEMBL404529,CHEMBL999111,438579,,Homo sapiens,H,,,,Activity,Not Active,42185,101472,PROTEIN,SINGLE PROTEIN,8,Cytochrome c oxidase subunit 2
5,179906,CHEMBL118,CHEMBL999112,18694,Homo sapiens,Homo sapiens,D,,,,Activity,Active,42185,101472,PROTEIN,SINGLE PROTEIN,9,Cytochrome c oxidase subunit 2
6,179907,CHEMBL272342,CHEMBL999113,438618,Homo sapiens,Homo sapiens,D,>,95.0,%,Inhibition,,42185,101472,PROTEIN,SINGLE PROTEIN,9,Cytochrome c oxidase subunit 2
7,179908,CHEMBL272342,CHEMBL965440,438618,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,42185,101472,PROTEIN,SINGLE PROTEIN,9,Cytochrome c oxidase subunit 2
8,179909,CHEMBL1689572,CHEMBL1693371,1078156,Homo sapiens,Homo sapiens,D,=,9.0,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,Cytochrome c oxidase subunit 2
9,179910,CHEMBL1689578,CHEMBL1693371,1078162,Homo sapiens,Homo sapiens,D,=,9.0,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,Cytochrome c oxidase subunit 2
