,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,180331,CHEMBL572878,CHEMBL3991682,436277,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
1,180332,CHEMBL2035187,CHEMBL3991682,1344709,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
2,180333,CHEMBL3991928,CHEMBL3991682,2199353,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
3,180334,CHEMBL1908397,CHEMBL3991682,1248758,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
4,180335,CHEMBL507361,CHEMBL3991682,453228,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
5,180336,CHEMBL1230165,CHEMBL3991682,692515,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
6,180337,CHEMBL1614701,CHEMBL3991682,1037712,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
7,180338,CHEMBL3991935,CHEMBL3991682,2199360,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
8,180339,CHEMBL482967,CHEMBL3991682,520120,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
9,180340,CHEMBL475251,CHEMBL3991682,460144,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
10,180341,CHEMBL551064,CHEMBL3991682,562391,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
11,180342,CHEMBL3688339,CHEMBL3991682,2021521,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
12,180343,CHEMBL3545085,CHEMBL3991682,1926934,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
13,180344,CHEMBL288441,CHEMBL3991682,62111,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
14,180345,CHEMBL3544944,CHEMBL3991682,1926793,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
15,180346,CHEMBL3545308,CHEMBL3991682,1927157,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
16,180347,CHEMBL462018,CHEMBL3991682,452471,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
17,180348,CHEMBL3182621,CHEMBL3991682,1671912,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
18,180349,CHEMBL1667969,CHEMBL3991682,1066449,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
19,180350,CHEMBL384304,CHEMBL3991682,361203,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
20,180351,CHEMBL603469,CHEMBL3991682,597145,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
21,180352,CHEMBL1233528,CHEMBL3991682,695878,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
22,180353,CHEMBL3991931,CHEMBL3991682,2199356,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
23,180354,CHEMBL1983111,CHEMBL3991682,1304402,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
