,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,39315,CHEMBL160309,CHEMBL712896,264406,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
1,39316,CHEMBL161717,CHEMBL712896,264382,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
2,39317,CHEMBL506,CHEMBL712896,10389,Canis lupus familiaris,Homo sapiens,H,=,0.052000000000000005,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
3,39318,CHEMBL343320,CHEMBL712896,226933,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
4,39319,CHEMBL160646,CHEMBL712896,264408,Canis lupus familiaris,Homo sapiens,H,=,0.066,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
5,39320,CHEMBL158772,CHEMBL712896,264254,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
6,39321,CHEMBL76,CHEMBL712896,6579,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
7,39322,CHEMBL66165,CHEMBL712896,104641,Canis lupus familiaris,Homo sapiens,H,=,0.0,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
8,39323,CHEMBL345133,CHEMBL712896,264312,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
9,39324,CHEMBL160309,CHEMBL712897,264406,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
10,39325,CHEMBL161717,CHEMBL712897,264382,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,NADH-cytochrome b5 reductase
