,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,180151,CHEMBL590,CHEMBL2175347,19344,Homo sapiens,Homo sapiens,D,=,2.1,umol/L/min,Activity,,65961,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
1,180152,CHEMBL2171357,CHEMBL2175347,1430850,Homo sapiens,Homo sapiens,D,=,1.8,umol/L/min,Activity,,65961,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
2,180153,CHEMBL62074,CHEMBL2175347,95369,Homo sapiens,Homo sapiens,D,=,1.2,umol/L/min,Activity,,65961,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
3,180154,CHEMBL62539,CHEMBL2175347,98572,Homo sapiens,Homo sapiens,D,=,2.2,umol/L/min,Activity,,65961,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
4,180155,CHEMBL64130,CHEMBL2175347,96210,Homo sapiens,Homo sapiens,D,=,3.0,umol/L/min,Activity,,65961,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
5,180156,CHEMBL3764308,CHEMBL3767758,2069091,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
6,180157,CHEMBL3765007,CHEMBL3767758,2069092,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
7,180158,CHEMBL3764604,CHEMBL3767758,2069093,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
8,180159,CHEMBL3764977,CHEMBL3767758,2069094,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
9,180160,CHEMBL3765755,CHEMBL3767758,2069095,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
10,180161,CHEMBL3763851,CHEMBL3767758,2069096,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
11,180162,CHEMBL3765372,CHEMBL3767758,2069097,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
12,180163,CHEMBL3763580,CHEMBL3767758,2069098,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
13,180164,CHEMBL3763610,CHEMBL3767758,2069099,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
14,180165,CHEMBL3764106,CHEMBL3767758,2069100,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
15,180166,CHEMBL3763181,CHEMBL3767758,2069101,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
16,180167,CHEMBL3763954,CHEMBL3767758,2069102,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
17,180168,CHEMBL3765245,CHEMBL3767758,2069103,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
18,180169,CHEMBL3764308,CHEMBL3767761,2069091,Homo sapiens,Homo sapiens,D,=,3.1,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
19,180170,CHEMBL3765007,CHEMBL3767761,2069092,Homo sapiens,Homo sapiens,D,=,8.9,10'6/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
20,180171,CHEMBL3764604,CHEMBL3767761,2069093,Homo sapiens,Homo sapiens,D,=,1.4,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
21,180172,CHEMBL3764977,CHEMBL3767761,2069094,Homo sapiens,Homo sapiens,D,=,1.3,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
22,180173,CHEMBL3765755,CHEMBL3767761,2069095,Homo sapiens,Homo sapiens,D,=,2.9,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
23,180174,CHEMBL3763851,CHEMBL3767761,2069096,Homo sapiens,Homo sapiens,D,=,2.4,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
24,180175,CHEMBL3765372,CHEMBL3767761,2069097,Homo sapiens,Homo sapiens,D,=,5.4,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
25,180176,CHEMBL3763580,CHEMBL3767761,2069098,Homo sapiens,Homo sapiens,D,=,3.7,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
26,180177,CHEMBL3763610,CHEMBL3767761,2069099,Homo sapiens,Homo sapiens,D,=,3.5,10'7/M/s,Kcat/Km,,98303,105242,PROTEIN,SINGLE PROTEIN,9,NADPH--cytochrome P450 reductase
