0,7974
1,CHEMBL10118
2,CHEMBL663989
3,6738
4,
5,Homo sapiens
6,H
7,
8,
9,
10,Activity
11,Active
12,3670
13,10314
14,PROTEIN
15,SINGLE PROTEIN
16,8
pref_name,"['Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein', 'Ubiquinol-cytochrome C reductase complex 7.2 kDa protein']"
