,Molregno IDs having no smiles
0,614400
1,614401
2,1310723
3,1286148
4,1310725
5,1318920
6,1925130
7,1286156
8,2255092
9,2255093
10,1302551
11,1286173
12,1204254
13,107469
14,794656
15,1703971
16,1302566
17,1327143
18,794664
19,2255098
20,1302575
21,1327152
22,73785
23,2255101
24,1531962
25,1302592
26,1310785
27,2255103
28,1294406
29,1318984
30,2255104
31,1310795
32,975321
33,2255105
34,1294417
35,2255106
36,1302615
37,295002
38,1418201
39,2130013
40,1302622
41,73824
42,1310817
43,1418202
44,1302627
45,2255109
46,974944
47,1319014
48,2255110
49,1925219
50,1925220
51,115625
52,1327213
53,2187375
54,2255112
55,1302644
56,1925236
57,1925237
58,1925239
59,1032312
60,1925238
61,1925240
62,1925241
63,2255113
64,1925248
65,1925249
66,1925250
67,1925251
68,1925252
69,1286277
70,1925253
71,950403
72,2255115
73,2255116
74,2255117
75,1302667
76,819341
77,1925265
78,1925266
79,1925267
80,1925268
81,1925269
82,303254
83,303255
84,303256
85,1310873
86,1319066
87,1319067
88,1327260
89,1319069
90,1327262
91,1418213
92,303257
93,1327265
94,1925273
95,1925274
96,1925275
97,1302693
98,131237
99,2255123
100,1294509
101,458929
102,458930
103,458931
104,1302708
105,2255125
106,1015985
107,2146482
108,1302713
109,2255127
110,803005
111,1302719
112,1294531
113,1417412
114,1286341
115,1417414
116,1417415
117,1417416
118,1327305
119,1417418
120,1417419
121,1417420
122,1417421
123,1417422
124,1417423
125,1417417
126,1417425
127,1286354
128,1417427
129,1310932
130,1417428
131,1417429
132,1417431
133,1417432
134,1417433
135,1302746
136,1417434
137,1417436
138,1417435
139,1319134
140,1327326
141,1302751
142,1417438
143,1417442
144,1417437
145,107508
146,1319141
147,1286373
148,1417444
149,1417445
150,1417448
151,1417450
152,1417451
153,1417452
154,1286381
155,115651
156,1417454
157,1417453
158,1417456
159,1417458
160,115652
161,1417455
162,1417457
163,1417459
164,1417463
165,1417464
166,1417465
167,1417462
168,1310971
169,1417468
170,1417467
171,1327358
172,1417469
173,1286400
174,1417473
175,115655
176,1417474
177,1417476
178,1417477
179,1417478
180,115656
181,1417480
182,1417481
183,1417479
184,1417475
185,1417484
186,1417482
187,1417486
188,1417487
189,1417488
190,1417489
191,1417490
192,1319187
193,1294612
194,1302805
195,1417494
196,1417493
197,1417496
198,1417497
199,1417498
200,1417499
201,1319196
202,1327389
203,1417502
204,1327391
205,1417503
206,1417505
207,1417500
208,1417507
209,1311012
210,1417509
211,1417510
212,1417511
213,1417508
214,1417513
215,1417514
216,1417512
217,1417515
218,1417517
219,1417518
220,1417519
221,2072880
222,1417521
223,1294642
224,1417522
225,1417524
226,1417523
227,1417526
228,1417527
229,1417528
230,1417529
231,1417530
232,1417525
233,1417532
234,1417533
235,1286462
236,1417534
237,1417536
238,1294657
239,1417537
240,1417539
241,1417540
242,1417541
243,1417538
244,1417543
245,1417542
246,1417545
247,1417546
248,1417544
249,1294668
250,1417549
251,1417548
252,1417551
253,1417552
254,1417553
255,1417550
256,1417547
257,1417556
258,1417557
259,1327446
260,1417558
261,1417559
262,1311065
263,1417562
264,1417563
265,1417564
266,1417565
267,1286494
268,1327455
269,1417567
270,1417566
271,1417568
272,1417571
273,1417572
274,1417573
275,1417574
276,1417570
277,1417576
278,1417577
279,1286506
280,1417578
281,1417580
282,1417581
283,1417579
284,1417583
285,1417584
286,1417582
287,1417586
288,1417587
289,1294708
290,1417589
291,1327478
292,1417591
293,1417592
294,1417593
295,1327482
296,1294715
297,1302907
298,115679
299,1417595
300,1417599
301,1417598
302,1417597
303,1417596
304,1417603
305,1417602
306,328069
307,328070
308,1417601
309,1417608
310,1417609
311,115682
312,1302923
313,1286540
314,1417612
315,1417614
316,1302927
317,115683
318,1417611
319,1417616
320,1417610
321,1417619
322,1417621
323,1302934
324,1417623
325,1319320
326,328089
327,328090
328,1327514
329,1294748
330,1417624
331,1417626
332,1417631
333,1417625
334,1417632
335,1417633
336,1417635
337,1417636
338,1417637
339,1417629
340,1327527
341,1319336
342,1417641
343,1319338
344,1417642
345,1417639
346,1417638
347,1417640
348,1417643
349,1417648
350,1417649
351,1417650
352,1327539
353,1417651
354,1417653
355,1417652
356,1417655
357,1417654
358,8633
359,1548730
360,1548731
361,1548732
362,1319356
363,1302974
364,1548734
365,1548736
366,1286592
367,16829
368,262595
369,262596
370,262597
371,1548742
372,1417671
373,1417666
374,1327561
375,1417674
376,1302987
377,1417676
378,1548749
379,1417669
380,1417679
381,1548752
382,1548753
383,1548754
384,1548755
385,262612
386,1417680
387,1286614
388,262615
389,1417687
390,1417682
391,1417690
392,1417685
393,1417686
394,1417692
395,1327582
396,1417693
397,1417689
398,1417688
399,1417691
400,1417695
401,1417698
402,1327589
403,1286629
404,1417699
405,1417704
406,1417705
407,1417706
408,1417707
409,1417708
410,1417709
411,1417710
412,262639
413,262640
414,1417711
415,1417712
416,1417713
417,1417714
418,1417717
419,1417718
420,1417719
421,1327608
422,1417721
423,1319418
424,1417720
425,1417723
426,1417725
427,1417726
428,1417727
429,1417728
430,1417729
431,1417730
432,1417722
433,1417732
434,1417724
435,1417734
436,1417735
437,33288
438,1417736
439,1417738
440,1417739
441,1294860
442,1417741
443,1417742
444,1417743
445,1286672
446,1417744
447,1417746
448,1417747
449,1417748
450,1417749
451,1417750
452,1417751
453,1417752
454,1417753
455,1417754
456,1417755
457,1417756
458,1417757
459,1417758
460,1327647
461,1417759
462,1417761
463,1417762
464,1417760
465,1319460
466,1417765
467,1417766
468,1311271
469,1417767
470,1417769
471,1417768
472,1417770
473,1319468
474,262700
475,262702
476,1319471
477,1417774
478,1417773
479,1327666
480,1294899
481,1417779
482,1319477
483,1417781
484,1417777
485,1417775
486,1417778
487,1417786
488,1417787
489,1417788
490,1417789
491,1417790
492,1417791
493,1417792
494,1417793
495,262720
496,1417794
497,1417796
498,1417795
499,1417798
500,1417799
501,1417800
502,1417797
503,1417802
