,Different Cyt enzymes,No. of Not_unique_ids,Percentage of ids
0,"Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c",12,0.000553807983695893
1,Cytochrome c oxidase subunit 1,15,0.008307119755438394
2,Cytochrome P450 2C8,869,0.48125913783173097
3,Cytochrome P450 2A6,2451,1.3573833680386336
4,Cytochrome b5,5,0.002769039918479465
5,Cytochrome P450 3A,12,0.000553807983695893
6,Cytochrome P450 19A1,4948,2.7402419033272785
7,Cytochrome P450 2J2,246,0.13623676398918966
8,"Cytochrome c1, heme protein, mitochondrial",237,0.13125249213592663
9,Cytochrome b-c1 complex subunit 7,31,0.017168047494572684
10,Cytochrome P450 11A1,9,0.000553807983695893
11,Cytochrome P450 2C9,29123,16.12854990917549
12,Cytochrome b-245 heavy chain,166,0.09193212529351823
13,Cytochrome P450 4F12,7,0.003876655885871251
14,Cytochrome P450 26A1,284,0.1572814673696336
15,Cytochrome P450 2C19,26936,14.917371848832573
16,Apoptotic protease-activating factor 1/Caspase-3/Caspase-9/Cytochrome c,6,0.003322847902175358
17,Cytochrome c oxidase subunit 2,51,0.02824420716849054
18,Cytochrome P450 3A4,48036,26.602720304815914
19,Cytochrome P450 17A1,3354,1.857471977316025
20,Cytochrome P450 2W1,13,0.000553807983695893
21,Cytochrome P450 2A13,19,0.010522351690221967
22,NADPH--cytochrome P450 reductase,96,0.05316556643480573
23,Cytochrome P450 11B1,1506,0.8340348234460149
24,Cytochrome P450 4F2,24,0.013291391608701433
25,Cytochrome P450 51,90,0.049842718532630365
26,Cytochrome P450 11B2,2135,1.1823800451907314
27,Cytochrome P450 1A1,523,0.289641575472952
28,Cytochrome P450 3A5,396,0.2193079615435736
29,Cytochrome P450 2E1,2019,1.1181383190820078
30,Cytochrome P450 1A2,23817,13.190044747685082
31,Cytochrome P450 24A1,143,0.07919454166851268
32,NADH-cytochrome b5 reductase,61,0.03378228700544947
33,Cytochrome c,4,0.002215231934783572
34,Cytochrome P450 1B1,558,0.30902485490230824
35,Cytochrome P450 21,731,0.40483363608169776
36,Cytochrome P450 4A11,15,0.008307119755438394
37,Ubiquinol-cytochrome C reductase complex 7.2 kDa protein,11,0.000553807983695893
38,Cytochrome P450 3A43,12,0.000553807983695893
39,Cytochrome P450 26B1,25,0.013845199592397325
40,Cytochrome P450 2B6,834,0.4618758584023748
41,Cytochrome P450 1A,4,0.002215231934783572
42,Cytochrome P450 3A4/3A5,81,0.04485844667936733
43,Cytochrome P450 2C18,40,0.02215231934783572
44,Cytochrome P450 3A7,28,0.015506623543485004
45,Cytochrome P450 2D6,30648,16.973107084311728
