,Different Cyt enzymes,No. of Not_unique_ids,Percentage of ids
0,Cytochrome P450 3A7,28,0.03490227363382529
1,Cytochrome P450 2C9,9751,12.154716792979658
2,Cytochrome P450 51,66,0.08226964499401675
3,Cytochrome P450 2D6,10880,13.562026326286396
4,Cytochrome P450 26B1,25,0.031162744315915435
5,Cytochrome P450 17A1,3041,3.790636218587954
6,Cytochrome P450 3A5,388,0.48364579178300754
7,Cytochrome P450 3A4/3A5,81,0.10096729158356602
8,Cytochrome P450 21,727,0.9062126047068209
9,Cytochrome P450 1A2,5571,6.944305943358596
10,Cytochrome P450 19A1,3931,4.900029916234543
11,Cytochrome P450 11B2,1506,1.877243717590746
12,"Cytochrome c1, heme protein, mitochondrial",237,0.2954228161148783
13,Cytochrome P450 11B1,1188,1.4808536098923015
14,Cytochrome b-c1 complex subunit 7,30,0.037395293179098524
15,Cytochrome P450 2E1,2008,2.502991623454328
16,Cytochrome b-245 heavy chain,123,0.15332070203430395
17,Apoptotic protease-activating factor 1/Caspase-3/Caspase-9/Cytochrome c,6,0.007479058635819704
18,Cytochrome P450 3A4,26179,32.632379337854005
19,NADPH--cytochrome P450 reductase,96,0.11966493817311527
20,Cytochrome P450 4A11,15,0.018697646589549262
21,Cytochrome P450 2B6,769,0.9585660151575588
22,Cytochrome P450 2A6,2430,3.0290187475069805
23,Cytochrome P450 1A1,470,0.5858595931392102
24,Cytochrome P450 1B1,519,0.6469385719984044
25,Cytochrome P450 2C19,8653,10.786049062624652
26,Cytochrome P450 1A,4,0.00498603909054647
27,Cytochrome P450 3A,12,0.0012465097726366175
28,Cytochrome P450 2J2,232,0.2891902672516953
29,Cytochrome P450 4F12,7,0.008725568408456322
30,Cytochrome c oxidase subunit 2,49,0.061078978859194256
31,Cytochrome P450 24A1,121,0.15082768248903072
32,Cytochrome b5,4,0.00498603909054647
33,Cytochrome c oxidase subunit 1,11,0.013711607499002791
34,Cytochrome P450 26A1,252,0.3141204627044276
35,Cytochrome P450 2C8,765,0.9535799760670124
36,Cytochrome P450 2A13,19,0.023683685680095733
37,Cytochrome P450 2W1,13,0.0012465097726366175
38,Cytochrome P450 4F2,24,0.029916234543278818
39,Cytochrome P450 2C18,16,0.01994415636218588
