,ap_id,activity_id,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments,result_flag
0,1,17126237,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
1,2,17126237,ACTIVITY_TEST,,,,RBC (Erythrocytes),ACTIVITY_TEST,,,,RBC (Erythrocytes),,0
2,3,17126237,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3,4,17126237,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
4,5,17126237,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
5,6,17126237,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
6,7,17126237,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
7,8,17126237,TIME,=,3.0,hr,,TIME,=,3.0,hr,,,0
8,9,17126237,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
9,10,17126238,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
