,site_id,site_name,tid
0,2,"UDP-glucuronosyltransferase 1-10, UDPGT domain",104088
1,3,"Mitogen-activated protein kinase 8, Pkinase domain",104254
2,4,"Inosine-5'-monophosphate dehydrogenase 1, IMPDH domain",84
3,5,"Dopamine D1 receptor, 7tm_1 domain",88
4,6,"GABA transporter 1, SNF domain",113
5,7,"LDL-associated phospholipase A2, PAF-AH_p_II domain",10138
6,8,"Purinergic receptor P2Y1, 7tm_1 domain",10544
7,9,"3-phosphoinositide dependent protein kinase-1, Pkinase domain",10612
8,10,"Tyrosine-protein kinase CSK, Pkinase_Tyr domain",10844
9,11,"Carbonic anhydrase VA, Carb_anhydrase domain",11042
