,tissue_id,uberon_id,pref_name,efo_id,chembl_id,bto_id,caloha_id
0,2,UBERON:0000002,Uterine cervix,,CHEMBL3988026,,
1,4,UBERON:0000004,Nose,,CHEMBL3987869,,
2,7,UBERON:0000007,Pituitary gland,UBERON:0000007,CHEMBL3638173,BTO:0001073,TS-0798
3,9,UBERON:0000009,Submucosa,,CHEMBL3987982,,
4,14,UBERON:0000014,Zone of skin,UBERON:0000014,CHEMBL3638174,,
5,23,UBERON:0000023,Wing,,CHEMBL3988049,,
6,25,UBERON:0000025,Tube,,CHEMBL3988015,,
7,29,UBERON:0000029,Lymph node,UBERON:0000029,CHEMBL3638175,BTO:0000784,TS-0579
8,30,UBERON:0000030,Lamina propria,,CHEMBL3987795,,
9,33,UBERON:0000033,Head,,CHEMBL3987761,,
