,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_active_size,Val_active_size,Test_active_size,Train_inactive_size,Val_inactive_size,Test_inactive_size,Train_indeterminate_size,Val_indeterminate_size,Test_indeterminate_size,Accuracy_Val,TP_val_0,TN_val_0,FP_val_0,FN_val_0,TP_val_1,TN_val_1,FP_val_1,FN_val_1,TP_val_2,TN_val_2,FP_val_2,FN_val_2,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,Precision_2_Val,Recall_2_Val,F1_Score_2_Val,AUC_output_0_Val,AUC_output_1_Val,AUC_output_2_Val,Log_Loss_Val,Accuracy_Test,TP_test_0,TN_test_0,FP_test_0,FN_test_0,TP_test_1,TN_test_1,FP_test_1,FN_test_1,TP_test_2,TN_test_2,FP_test_2,FN_test_2,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,Precision_2_Test,Recall_2_Test,F1 Score_2_Test,AUC_output_0_Test,AUC_output_1_Test,AUC_output_2_Test,Log_Loss_Test
0,Cytochrome_P450_26A1,morgan_fp,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.001,149,103,23,23,78,18,18,7,1,1,18,4,4,0.826,17,2,3,1,1,22,0,0,1,18,1,3,0.425,0.850,0.944,0.895,1.000,1.000,1.000,0.500,0.250,0.333,0.672,1.000,0.599,0.335,0.696,14,2,3,4,0,22,0,1,2,15,4,2,0.191,0.824,0.778,0.800,0.000,0.000,0.000,0.333,0.500,0.400,0.589,0.500,0.645,1.903
1,Cytochrome_P450_26A1,morgan_fp,DecisionTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'presort': [False], 'random_state': [None], 'splitter': ['best']}",0.000,149,103,23,23,78,18,18,7,1,1,18,4,4,0.826,17,2,3,1,1,22,0,0,1,18,1,3,0.425,0.850,0.944,0.895,1.000,1.000,1.000,0.500,0.250,0.333,0.672,1.000,0.599,6.007,0.826,15,4,1,3,1,22,0,0,3,16,3,1,0.574,0.938,0.833,0.882,1.000,1.000,1.000,0.500,0.750,0.600,0.817,1.000,0.796,6.007
2,Cytochrome_P450_26A1,morgan_fp,AdaBoostClassifier_default,"{'algorithm': ['SAMME.R'], 'base_estimator': [None], 'learning_rate': [1.0], 'n_estimators': [50], 'random_state': [None]}",0.004,149,103,23,23,78,18,18,7,1,1,18,4,4,0.870,17,3,2,1,1,22,0,0,2,18,1,2,0.603,0.895,0.944,0.919,1.000,1.000,1.000,0.667,0.500,0.571,0.772,1.000,0.724,0.379,0.783,16,3,2,2,0,22,0,1,2,16,3,2,0.378,0.889,0.889,0.889,0.000,0.000,0.000,0.400,0.500,0.444,0.744,0.500,0.671,0.604
3,Cytochrome_P450_26A1,morgan_fp,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",0.012,149,103,23,23,78,18,18,7,1,1,18,4,4,0.826,17,2,3,1,1,22,0,0,1,18,1,3,0.425,0.850,0.944,0.895,1.000,1.000,1.000,0.500,0.250,0.333,0.672,1.000,0.599,0.522,0.739,14,4,1,4,0,22,0,1,3,14,5,1,0.392,0.933,0.778,0.848,0.000,0.000,0.000,0.375,0.750,0.500,0.789,0.500,0.743,0.884
4,Cytochrome_P450_26A1,morgan_fp,GradientBoostingClassifier_default,"{'criterion': ['friedman_mse'], 'init': [None], 'learning_rate': [0.1], 'loss': ['deviance'], 'max_depth': [3], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': [100], 'n_iter_no_change': [None], 'presort': ['auto'], 'random_state': [None], 'subsample': [1.0], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.009,149,103,23,23,78,18,18,7,1,1,18,4,4,0.870,18,2,3,0,1,22,0,0,1,19,0,3,0.527,0.857,1.000,0.923,1.000,1.000,1.000,1.000,0.250,0.400,0.700,1.000,0.625,0.438,0.783,16,2,3,2,0,22,0,1,2,17,2,2,0.327,0.842,0.889,0.865,0.000,0.000,0.000,0.500,0.500,0.500,0.644,0.500,0.697,0.767
5,Cytochrome_P450_26A1,morgan_fp,LinearDiscriminantAnalysis_default,"{'n_components': [None], 'priors': [None], 'shrinkage': [None], 'solver': ['svd'], 'store_covariance': [False], 'tol': [0.0001]}",0.001,149,103,23,23,78,18,18,7,1,1,18,4,4,0.783,15,3,2,3,1,22,0,0,2,16,3,2,0.431,0.882,0.833,0.857,1.000,1.000,1.000,0.400,0.500,0.444,0.717,1.000,0.671,7.508,0.739,15,3,2,3,0,22,0,1,2,15,4,2,0.307,0.882,0.833,0.857,0.000,0.000,0.000,0.333,0.500,0.400,0.717,0.500,0.645,7.556
6,Cytochrome_P450_26A1,morgan_fp,QuadraticDiscriminantAnalysis_default,"{'priors': [None], 'reg_param': [0.0], 'store_covariance': [False], 'tol': [0.0001]}",0.001,149,103,23,23,78,18,18,7,1,1,18,4,4,0.217,0,5,0,18,1,21,1,0,4,2,17,0,0.065,0.000,0.000,0.000,0.500,1.000,0.667,0.190,1.000,0.320,0.500,0.977,0.553,27.030,0.130,0,5,0,18,0,20,2,1,3,1,18,1,-0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.750,0.240,0.500,0.455,0.401,30.034
7,Cytochrome_P450_26A1,morgan_fp,LogisticRegression_default,"{'C': [1.0], 'class_weight': [None], 'dual': [False], 'fit_intercept': [True], 'intercept_scaling': [1], 'l1_ratio': [None], 'max_iter': [100], 'multi_class': ['warn'], 'n_jobs': [None], 'penalty': ['l2'], 'random_state': [None], 'solver': ['warn'], 'tol': [0.0001], 'verbose': [0], 'warm_start': [False]}",0.000,149,103,23,23,78,18,18,7,1,1,18,4,4,0.870,18,2,3,0,1,22,0,0,1,19,0,3,0.527,0.857,1.000,0.923,1.000,1.000,1.000,1.000,0.250,0.400,0.700,1.000,0.625,0.320,0.739,15,3,2,3,0,22,0,1,2,15,4,2,0.307,0.882,0.833,0.857,0.000,0.000,0.000,0.333,0.500,0.400,0.717,0.500,0.645,0.488
8,Cytochrome_P450_26A1,morgan_fp,KNeighborsClassifier_default,"{'algorithm': ['auto'], 'leaf_size': [30], 'metric': ['minkowski'], 'metric_params': [None], 'n_jobs': [None], 'n_neighbors': [5], 'p': [2], 'weights': ['uniform']}",0.001,149,103,23,23,78,18,18,7,1,1,18,4,4,0.826,17,2,3,1,1,22,0,0,1,18,1,3,0.425,0.850,0.944,0.895,1.000,1.000,1.000,0.500,0.250,0.333,0.672,1.000,0.599,1.814,0.739,17,2,3,1,0,21,1,1,0,17,2,4,0.138,0.850,0.944,0.895,0.000,0.000,0.000,0.000,0.000,0.000,0.672,0.477,0.447,0.415
9,Cytochrome_P450_26A1,morgan_fp,MultinomialNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True]}",0.000,149,103,23,23,78,18,18,7,1,1,18,4,4,0.826,16,3,2,2,1,22,0,0,2,17,2,2,0.511,0.889,0.889,0.889,1.000,1.000,1.000,0.500,0.500,0.500,0.744,1.000,0.697,1.875,0.826,17,3,2,1,0,21,1,1,2,18,1,2,0.471,0.895,0.944,0.919,0.000,0.000,0.000,0.667,0.500,0.571,0.772,0.477,0.724,2.400
