,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,Smiles,-log10(M) Values,Label
0,CHEMBL572878,CHEMBL3991682,436277,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,4.523,indeterminate
1,CHEMBL2035187,CHEMBL3991682,1344709,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5cccc(COC\C=C\COCc2c3)c5,4.523,indeterminate
2,CHEMBL3991928,CHEMBL3991682,2199353,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,CC(C)Nc1cc(c(Cl)cn1)c2c[nH]c(c2)C(=O)NC(CO)c3cccc(Cl)c3,4.523,indeterminate
3,CHEMBL1908397,CHEMBL3991682,1248758,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,O=C(N1CCNCC1)c2ccc(\C=C\c3n[nH]c4ccccc34)cc2,4.523,indeterminate
4,CHEMBL507361,CHEMBL3991682,453228,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,4.523,indeterminate
5,CHEMBL1230165,CHEMBL3991682,692515,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,OC(=O)c1ccc2c(c1)nc(Nc3cccc(Cl)c3)c4ccncc24,4.523,indeterminate
6,CHEMBL1614701,CHEMBL3991682,1037712,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO,4.523,indeterminate
7,CHEMBL3991935,CHEMBL3991682,2199360,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,Cl.CN1CC[C@H]([C@@H]1CO)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,4.523,indeterminate
8,CHEMBL482967,CHEMBL3991682,520120,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,Cc1nc(N)sc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,4.523,indeterminate
9,CHEMBL475251,CHEMBL3991682,460144,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,4.523,indeterminate
10,CHEMBL551064,CHEMBL3991682,562391,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,Nc1ncnc2c1c(cn2[C@@H]3C[C@H](C3)N4CCC4)c5cccc(OCc6ccccc6)c5,4.523,indeterminate
11,CHEMBL3688339,CHEMBL3991682,2021521,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C,4.523,indeterminate
12,CHEMBL3545085,CHEMBL3991682,1926934,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,CC(C)c1cc(CNc2nc(Nc3cc([nH]n3)C4CC4)cc(n2)N5CCN(C)CC5)on1,4.523,indeterminate
13,CHEMBL288441,CHEMBL3991682,62111,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,4.523,indeterminate
14,CHEMBL3544944,CHEMBL3991682,1926793,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,Clc1ccc2oc3C(=O)NC(=Nc3c2c1)C4CCCN4,4.523,indeterminate
15,CHEMBL3545308,CHEMBL3991682,1927157,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,COc1cc(ccc1Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)N4CCN(CC4)C(=O)C,4.523,indeterminate
16,CHEMBL462018,CHEMBL3991682,452471,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,CN1N=C(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c4ncnc1c24,4.523,indeterminate
17,CHEMBL3182621,CHEMBL3991682,1671912,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,CN1C(=O)C(=CC(=C1Nc2ccc(I)cc2F)C(=O)NOCCO)C,4.523,indeterminate
18,CHEMBL1667969,CHEMBL3991682,1066449,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,O=C1NC=Cc2cc(OC3CCNCC3)ccc12,4.523,indeterminate
19,CHEMBL384304,CHEMBL3991682,361203,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,COc1ccc(F)c(F)c1C(=O)c2cnc(NC3CCN(CC3)S(=O)(=O)C)nc2N,4.523,indeterminate
20,CHEMBL603469,CHEMBL3991682,597145,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,4.523,indeterminate
21,CHEMBL1233528,CHEMBL3991682,695878,"Cytochrome c1, heme protein, mitochondrial",Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,CC[C@H]1N(C(C)C)c2nc(Nc3ccc(cc3OC)C(=O)N[C@@H]4CC[C@H](CC4)N5CCN(CC6CC6)CC5)ncc2N(C)C1=O,4.523,indeterminate
