,file_name,Size,Active,Inactive,Indeterminate
0,maccs_fp-NADPH_cytochrome_P450_reductase.npy,22,8,10,4
1,rdk_fp-Cytochrome_P450_26A1.npy,148,113,9,26
2,ecfp2_fp-Cytochrome_P450_2A13.npy,9,2,2,5
3,rdk_fp-Cytochrome_P450_1A.npy,2,2,0,0
4,ecfp2_fp-Cytochrome_P450_26B1.npy,24,11,13,0
5,rdk_fp-NADPH_cytochrome_P450_reductase.npy,31,8,15,8
6,maccs_fp-Cytochrome_P450_24A1.npy,55,39,3,13
7,avalon_fp-Cytochrome_b_c1_complex_subunit_7.npy,21,3,18,0
8,maccs_fp-Cytochrome_P450_2W1.npy,1,1,0,0
9,maccs_fp-Cytochrome_P450_2C9.npy,5144,1931,1278,1935
10,ecfp2_fp-Cytochrome_P450_26A1.npy,146,111,9,26
11,morgan_fp-Cytochrome_P450_2A6.npy,306,93,99,114
12,maccs_fp-Cytochrome_P450_2E1.npy,115,10,76,29
13,morgan_fp-Cytochrome_P450_4A11.npy,2,1,1,0
14,avalon_fp-Cytochrome_P450_19A1.npy,1567,1000,201,366
15,maccs_fp-Cytochrome_P450_17A1.npy,616,465,61,90
16,ecfp2_fp-Cytochrome_P450_2A6.npy,290,88,93,109
17,rdk_fp-Cytochrome_P450_21.npy,28,13,15,0
18,maccs_fp-Cytochrome_P450_4A11.npy,2,1,1,0
19,rdk_fp-Cytochrome_P450_24A1.npy,63,47,3,13
20,morgan_fp-Cytochrome_P450_3A7.npy,4,3,1,0
21,rdk_fp-Cytochrome_P450_2W1.npy,1,1,0,0
22,morgan_fp-Cytochrome_P450_1A2.npy,2180,539,585,1056
23,ecfp2_fp-Cytochrome_b_245_heavy_chain.npy,39,19,16,4
24,rdk_fp-Cytochrome_P450_1A2.npy,2172,537,581,1054
25,morgan_fp-Cytochrome_P450_2B6.npy,289,23,142,124
26,ecfp6_fp-Cytochrome_P450_3A7.npy,4,3,1,0
27,morgan_fp-Cytochrome_P450_26B1.npy,24,11,13,0
28,rdk_fp-Cytochrome_b5.npy,1,1,0,0
29,avalon_fp-Cytochrome_P450_3A7.npy,4,3,1,0
30,morgan_fp-Cytochrome_P450_2J2.npy,94,21,51,22
31,morgan_fp-Cytochrome_P450_2D6.npy,6429,2422,1481,2526
32,rdk_fp-Cytochrome_c_oxidase_subunit_2.npy,4,3,1,0
33,morgan_fp-Cytochrome_c1_heme_protein_mitochondrial.npy,236,1,235,0
34,maccs_fp-Cytochrome_P450_26B1.npy,19,10,9,0
35,avalon_fp-Cytochrome_P450_1A2.npy,2152,525,579,1048
36,rdk_fp-Cytochrome_P450_4A11.npy,2,1,1,0
37,morgan_fp-Cytochrome_P450_2E1.npy,117,10,76,31
38,maccs_fp-Cytochrome_P450_2D6.npy,5642,2082,1352,2208
39,avalon_fp-Cytochrome_P450_2W1.npy,1,1,0,0
40,maccs_fp-Cytochrome_P450_11B1.npy,653,525,4,124
41,avalon_fp-Cytochrome_P450_3A4.npy,10770,1504,6934,2332
42,ecfp6_fp-Cytochrome_P450_1A1.npy,229,140,32,57
43,ecfp6_fp-Cytochrome_P450_2C8.npy,378,72,122,184
44,ecfp2_fp-Cytochrome_P450_4A11.npy,2,1,1,0
45,morgan_fp-Cytochrome_P450_1A.npy,2,2,0,0
46,ecfp2_fp-Cytochrome_P450_51.npy,53,13,28,12
47,morgan_fp-Cytochrome_P450_3A5.npy,59,13,27,19
48,morgan_fp-Cytochrome_P450_1B1.npy,233,169,18,46
49,ecfp6_fp-Cytochrome_P450_2D6.npy,6438,2428,1482,2528
50,rdk_fp-Cytochrome_b_c1_complex_subunit_7.npy,19,3,16,0
51,ecfp2_fp-Cytochrome_P450_2W1.npy,1,1,0,0
52,maccs_fp-Cytochrome_P450_4F2.npy,7,2,3,2
53,maccs_fp-Cytochrome_c1_heme_protein_mitochondrial.npy,235,1,234,0
54,ecfp2_fp-Cytochrome_P450_11B2.npy,835,791,4,40
55,avalon_fp-Cytochrome_P450_3A4_3A5.npy,44,19,11,14
56,rdk_fp-Cytochrome_P450_2C9.npy,5707,2175,1369,2163
57,ecfp6_fp-Cytochrome_P450_51.npy,53,13,28,12
58,avalon_fp-Cytochrome_P450_2C9.npy,5684,2156,1370,2158
59,morgan_fp-Cytochrome_P450_19A1.npy,1595,1023,204,368
60,ecfp6_fp-Cytochrome_P450_1B1.npy,234,170,18,46
61,rdk_fp-Cytochrome_P450_2C8.npy,375,69,122,184
62,ecfp6_fp-Cytochrome_P450_2B6.npy,292,23,142,127
63,avalon_fp-Cytochrome_P450_51.npy,53,13,28,12
64,topological_fp-Cytochrome_P450_21.npy,28,13,15,0
65,maccs_fp-Cytochrome_P450_2C8.npy,350,69,112,169
66,rdk_fp-Cytochrome_P450_2D6.npy,6404,2407,1479,2518
67,avalon_fp-Cytochrome_P450_11B1.npy,837,671,4,162
68,ecfp2_fp-Cytochrome_P450_1B1.npy,205,143,18,44
69,morgan_fp-Cytochrome_b_245_heavy_chain.npy,42,22,16,4
70,avalon_fp-Cytochrome_P450_24A1.npy,63,47,3,13
71,ecfp2_fp-Cytochrome_P450_2D6.npy,6221,2321,1455,2445
72,rdk_fp-Cytochrome_P450_2E1.npy,119,10,78,31
73,ecfp6_fp-Cytochrome_P450_1A2.npy,2185,542,587,1056
74,rdk_fp-Cytochrome_P450_26B1.npy,24,11,13,0
75,maccs_fp-Cytochrome_P450_21.npy,25,12,13,0
76,topological_fp-Apoptotic_protease_activating_factor_1_Caspase_3_Caspase_9_Cytochrome_c.npy,2,2,0,0
77,avalon_fp-Cytochrome_P450_2C19.npy,5260,2403,1222,1635
78,avalon_fp-Cytochrome_P450_2C8.npy,372,70,121,181
79,maccs_fp-Cytochrome_c_oxidase_subunit_2.npy,4,3,1,0
80,ecfp6_fp-Cytochrome_c_oxidase_subunit_2.npy,4,3,1,0
81,rdk_fp-Cytochrome_P450_4F2.npy,8,2,4,2
82,ecfp6_fp-Cytochrome_P450_3A4_3A5.npy,44,19,11,14
83,rdk_fp-Cytochrome_P450_11B1.npy,838,673,4,161
84,maccs_fp-Cytochrome_P450_3A4.npy,9367,1317,6002,2048
85,morgan_fp-Cytochrome_P450_26A1.npy,149,114,9,26
86,avalon_fp-Cytochrome_P450_2E1.npy,117,10,76,31
87,topological_fp-Cytochrome_b5.npy,1,1,0,0
88,maccs_fp-Apoptotic_protease_activating_factor_1_Caspase_3_Caspase_9_Cytochrome_c.npy,2,2,0,0
89,topological_fp-Cytochrome_P450_2W1.npy,1,1,0,0
90,maccs_fp-Cytochrome_P450_2B6.npy,270,23,139,108
91,avalon_fp-Cytochrome_P450_2A13.npy,9,2,2,5
92,morgan_fp-Cytochrome_b_c1_complex_subunit_7.npy,21,3,18,0
93,avalon_fp-Cytochrome_P450_26A1.npy,148,113,9,26
94,avalon_fp-Cytochrome_P450_11B2.npy,876,828,4,44
95,morgan_fp-Cytochrome_P450_1A1.npy,228,139,32,57
96,maccs_fp-Cytochrome_P450_1A1.npy,171,97,28,46
97,rdk_fp-Cytochrome_P450_2A13.npy,9,2,2,5
98,ecfp2_fp-Cytochrome_b_c1_complex_subunit_7.npy,20,3,17,0
99,rdk_fp-Cytochrome_P450_3A4_3A5.npy,44,19,11,14
100,avalon_fp-Cytochrome_P450_1A1.npy,210,122,32,56
101,maccs_fp-Cytochrome_P450_2C19.npy,4649,2048,1156,1445
102,ecfp6_fp-Cytochrome_P450_19A1.npy,1607,1032,206,369
103,morgan_fp-Cytochrome_P450_4F2.npy,8,2,4,2
104,ecfp6_fp-Cytochrome_b_245_heavy_chain.npy,42,22,16,4
105,topological_fp-Cytochrome_b_245_heavy_chain.npy,42,22,16,4
106,ecfp6_fp-Apoptotic_protease_activating_factor_1_Caspase_3_Caspase_9_Cytochrome_c.npy,2,2,0,0
107,maccs_fp-Cytochrome_P450_3A5.npy,56,13,26,17
108,avalon_fp-Cytochrome_c_oxidase_subunit_2.npy,4,3,1,0
109,ecfp2_fp-Cytochrome_P450_24A1.npy,57,43,3,11
110,ecfp2_fp-Cytochrome_P450_1A.npy,2,2,0,0
111,rdk_fp-Cytochrome_P450_3A5.npy,59,13,27,19
112,maccs_fp-Cytochrome_P450_1A.npy,2,2,0,0
113,rdk_fp-Cytochrome_P450_1A1.npy,225,136,32,57
114,ecfp2_fp-Cytochrome_P450_2B6.npy,279,23,139,117
115,rdk_fp-Cytochrome_P450_11B2.npy,879,831,4,44
116,ecfp6_fp-Cytochrome_P450_1A.npy,2,2,0,0
117,morgan_fp-Cytochrome_P450_2W1.npy,1,1,0,0
118,maccs_fp-Cytochrome_P450_1A2.npy,1922,474,522,926
119,avalon_fp-Cytochrome_P450_3A5.npy,59,13,27,19
120,ecfp6_fp-Cytochrome_P450_26B1.npy,24,11,13,0
121,maccs_fp-Cytochrome_P450_2A13.npy,9,2,2,5
122,ecfp6_fp-Cytochrome_b5.npy,1,1,0,0
123,avalon_fp-Cytochrome_P450_2A6.npy,305,93,98,114
124,morgan_fp-Cytochrome_b5.npy,1,1,0,0
125,maccs_fp-Cytochrome_b_245_heavy_chain.npy,32,13,15,4
126,maccs_fp-Cytochrome_b5.npy,1,1,0,0
127,ecfp2_fp-Apoptotic_protease_activating_factor_1_Caspase_3_Caspase_9_Cytochrome_c.npy,2,2,0,0
128,ecfp2_fp-Cytochrome_P450_2C9.npy,5586,2120,1347,2119
129,rdk_fp-Cytochrome_P450_19A1.npy,1565,994,206,365
130,rdk_fp-Cytochrome_P450_3A4.npy,10755,1497,6910,2348
131,ecfp6_fp-Cytochrome_P450_2J2.npy,94,21,51,22
132,avalon_fp-Cytochrome_P450_2B6.npy,289,23,143,123
133,ecfp6_fp-Cytochrome_c1_heme_protein_mitochondrial.npy,236,1,235,0
134,avalon_fp-Cytochrome_P450_17A1.npy,742,570,68,104
135,rdk_fp-Cytochrome_P450_51.npy,53,13,28,12
136,ecfp2_fp-NADPH_cytochrome_P450_reductase.npy,29,8,14,7
137,ecfp6_fp-NADPH_cytochrome_P450_reductase.npy,31,8,15,8
138,morgan_fp-Cytochrome_P450_24A1.npy,63,47,3,13
139,ecfp2_fp-Cytochrome_P450_3A7.npy,4,3,1,0
140,ecfp6_fp-Cytochrome_b_c1_complex_subunit_7.npy,21,3,18,0
141,avalon_fp-Cytochrome_P450_2D6.npy,6409,2418,1478,2513
142,ecfp2_fp-Cytochrome_P450_4F2.npy,8,2,4,2
143,morgan_fp-Cytochrome_P450_3A4.npy,10866,1514,6992,2360
144,maccs_fp-Cytochrome_P450_3A7.npy,4,3,1,0
145,rdk_fp-Cytochrome_P450_2A6.npy,305,93,99,113
146,morgan_fp-Cytochrome_P450_21.npy,28,13,15,0
147,ecfp2_fp-Cytochrome_c_oxidase_subunit_2.npy,4,3,1,0
148,avalon_fp-Cytochrome_b_245_heavy_chain.npy,38,18,16,4
149,ecfp2_fp-Cytochrome_P450_1A2.npy,2113,514,567,1032
150,ecfp6_fp-Cytochrome_P450_11B1.npy,840,674,4,162
151,topological_fp-Cytochrome_P450_3A7.npy,4,3,1,0
152,ecfp2_fp-Cytochrome_P450_2J2.npy,92,19,51,22
153,morgan_fp-Apoptotic_protease_activating_factor_1_Caspase_3_Caspase_9_Cytochrome_c.npy,2,2,0,0
154,maccs_fp-Cytochrome_P450_1B1.npy,164,111,17,36
155,rdk_fp-Cytochrome_P450_3A7.npy,4,3,1,0
156,morgan_fp-Cytochrome_P450_11B1.npy,840,674,4,162
157,ecfp6_fp-Cytochrome_P450_3A5.npy,59,13,27,19
158,ecfp2_fp-Cytochrome_P450_19A1.npy,1520,976,190,354
159,avalon_fp-Cytochrome_c1_heme_protein_mitochondrial.npy,235,1,234,0
160,ecfp6_fp-Cytochrome_P450_2A13.npy,9,2,2,5
161,avalon_fp-NADPH_cytochrome_P450_reductase.npy,31,8,15,8
162,morgan_fp-Cytochrome_P450_2C8.npy,375,70,121,184
163,rdk_fp-Cytochrome_P450_1B1.npy,229,165,18,46
164,rdk_fp-Cytochrome_c1_heme_protein_mitochondrial.npy,236,1,235,0
165,morgan_fp-Cytochrome_P450_17A1.npy,744,572,68,104
166,ecfp2_fp-Cytochrome_P450_3A4_3A5.npy,44,19,11,14
167,ecfp6_fp-Cytochrome_P450_2C9.npy,5727,2182,1372,2173
168,ecfp6_fp-Cytochrome_P450_2C19.npy,5293,2415,1227,1651
169,ecfp2_fp-Cytochrome_P450_3A4.npy,10470,1487,6678,2305
170,ecfp2_fp-Cytochrome_P450_3A5.npy,59,13,27,19
171,ecfp6_fp-Cytochrome_P450_26A1.npy,149,114,9,26
172,rdk_fp-Apoptotic_protease_activating_factor_1_Caspase_3_Caspase_9_Cytochrome_c.npy,2,2,0,0
173,maccs_fp-Cytochrome_b_c1_complex_subunit_7.npy,19,3,16,0
174,avalon_fp-Cytochrome_b5.npy,1,1,0,0
175,avalon_fp-Cytochrome_P450_21.npy,28,13,15,0
176,ecfp6_fp-Cytochrome_P450_2A6.npy,307,93,100,114
177,maccs_fp-Cytochrome_P450_3A4_3A5.npy,44,19,11,14
178,ecfp6_fp-Cytochrome_P450_2W1.npy,1,1,0,0
179,avalon_fp-Cytochrome_P450_4F2.npy,8,2,4,2
180,morgan_fp-Cytochrome_P450_3A4_3A5.npy,44,19,11,14
181,ecfp2_fp-Cytochrome_P450_11B1.npy,801,646,4,151
182,rdk_fp-Cytochrome_P450_2J2.npy,92,19,51,22
183,rdk_fp-Cytochrome_P450_2C19.npy,5281,2410,1225,1646
184,ecfp6_fp-Cytochrome_P450_21.npy,28,13,15,0
185,ecfp2_fp-Cytochrome_P450_2E1.npy,114,10,73,31
186,maccs_fp-Cytochrome_P450_51.npy,50,12,28,10
187,morgan_fp-Cytochrome_P450_2C9.npy,5723,2180,1371,2172
188,ecfp2_fp-Cytochrome_c1_heme_protein_mitochondrial.npy,236,1,235,0
189,topological_fp-Cytochrome_c_oxidase_subunit_2.npy,4,3,1,0
190,ecfp2_fp-Cytochrome_P450_17A1.npy,727,560,66,101
191,ecfp6_fp-Cytochrome_P450_4A11.npy,2,1,1,0
192,morgan_fp-Cytochrome_P450_2A13.npy,9,2,2,5
