,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL112715,CHEMBL3789262,187744,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,59.0,%,Inhibition,,98833,115648,PROTEIN,SINGLE PROTEIN,9,CC1(C)CCC(C)(C)c2cc(ccc12)C3(OCCO3)c4ccc(cc4)C(=O)O
1,CHEMBL3787627,CHEMBL3789263,2077731,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,14500.0,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,CC1(C)CCC(C)(C)c2cc(ccc12)C3(OCCO3)c4ccc(CCC(=O)O)cc4
2,CHEMBL3785624,CHEMBL3789263,2077732,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,>,5000.0,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)c3ccc(CCC(=O)O)cc3
3,CHEMBL3785701,CHEMBL3789263,2077733,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,4400.0,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,CC1(C)CCC(C)(C)c2cc(ccc12)C3(SCCS3)c4ccc(\C=C\C(=O)O)cc4
4,CHEMBL389433,CHEMBL3789263,374553,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,18.0,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,Clc1cccc(c1)C(c2ccc3nc[nH]c3c2)n4ccnc4
5,CHEMBL459505,CHEMBL3789263,470953,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,0.46,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,CCC(CC)C(c1ccc(Nc2nc3ccccc3s2)cc1)n4cncn4
6,CHEMBL1023,CHEMBL3789263,119498,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,5900.0,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C
7,CHEMBL309282,CHEMBL3789263,127324,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,520.0,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)c3ccc4cc(ccc4c3)C(=O)O
8,CHEMBL3786620,CHEMBL3789263,2077724,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,1030.0,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,CC1(C)CCC(C)(C)c2cc(ccc12)C3(OCCO3)c4ccc5cc(ccc5c4)C(=O)O
9,CHEMBL3786184,CHEMBL3789263,2077725,Cytochrome P450 26B1,Homo sapiens,Homo sapiens,D,=,1030.0,nM,IC50,,98833,115648,PROTEIN,SINGLE PROTEIN,9,CC1(C)CCC(C)(C)c2cc(ccc12)C3(SCCS3)c4ccc5cc(ccc5c4)C(=O)O
