,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL121241,CHEMBL660380,199700,Cytochrome P450 2C18,,Homo sapiens,H,=,30000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,NCCCc1ccc(cc1)S(=O)(=O)N(CCCO)c2ccnn2c3ccccc3
1,CHEMBL414238,CHEMBL660380,199609,Cytochrome P450 2C18,,Homo sapiens,H,=,9000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,CC(C)CCN(c1ccnn1c2ccccc2)S(=O)(=O)c3ccc(N)cc3
2,CHEMBL121420,CHEMBL660380,199521,Cytochrome P450 2C18,,Homo sapiens,H,=,4000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,OCCCCN(c1ccnn1c2ccccc2)S(=O)(=O)c3ccc(cc3)c4cccc(c4)[N+](=O)[O-]
3,CHEMBL333108,CHEMBL660380,200345,Cytochrome P450 2C18,,Homo sapiens,H,=,20000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)Nc3ccnn3c4ccccc4
4,CHEMBL333210,CHEMBL660380,199666,Cytochrome P450 2C18,,Homo sapiens,H,=,18000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,OCCCN(c1ccnn1c2ccccc2)S(=O)(=O)c3ccc(CC=C)cc3
5,CHEMBL120797,CHEMBL660380,198863,Cytochrome P450 2C18,,Homo sapiens,H,=,7000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Nc1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)c3ccnn3c4ccccc4
6,CHEMBL120426,CHEMBL660380,198977,Cytochrome P450 2C18,,Homo sapiens,H,=,5000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,[O-][N+](=O)c1cccc(c1)c2ccc(cc2)S(=O)(=O)Nc3ccnn3c4ccccc4
7,CHEMBL332690,CHEMBL660380,199562,Cytochrome P450 2C18,,Homo sapiens,H,=,125000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,C=CCc1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)c3ccnn3c4ccccc4
8,CHEMBL331431,CHEMBL660380,199110,Cytochrome P450 2C18,,Homo sapiens,H,=,65000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,NCCc1ccc(cc1)S(=O)(=O)N(CCCO)c2ccnn2c3ccccc3
9,CHEMBL121522,CHEMBL660380,199552,Cytochrome P450 2C18,,Homo sapiens,H,=,8000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,OCCCN(c1ccnn1c2ccccc2)S(=O)(=O)c3ccc(cc3)c4cccc(c4)[N+](=O)[O-]
10,CHEMBL333704,CHEMBL660380,199564,Cytochrome P450 2C18,,Homo sapiens,H,=,10000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,CN(c1ccnn1c2ccccc2)S(=O)(=O)c3ccc(CC=C)cc3
11,CHEMBL121503,CHEMBL660380,199554,Cytochrome P450 2C18,,Homo sapiens,H,=,3000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)N(CCCO)c3ccnn3c4ccccc4
12,CHEMBL121048,CHEMBL660380,199523,Cytochrome P450 2C18,,Homo sapiens,H,=,9000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,OCCN(c1ccnn1c2ccccc2)S(=O)(=O)c3ccc(cc3)c4cccc(c4)[N+](=O)[O-]
13,CHEMBL332994,CHEMBL660380,198943,Cytochrome P450 2C18,,Homo sapiens,H,=,150000.0,nM,IC50,,16166,11186,PROTEIN,SINGLE PROTEIN,8,C=CCc1ccc(cc1)S(=O)(=O)Nc2ccnn2c3ccccc3
