,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL17157,CHEMBL869679,19569,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,8100.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
1,CHEMBL382604,CHEMBL869679,347349,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,6700.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,OC(C1CCN(CCCC(=O)c2ccc3OCOc3c2)CC1)(c4ccccc4)c5ccccc5
2,CHEMBL206576,CHEMBL869679,347348,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,2200.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,OC(C1CCN(CCCC(=O)c2ccc(CC(F)F)cc2)CC1)(c3ccccc3)c4ccccc4
3,CHEMBL204998,CHEMBL869679,347201,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,4200.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,OC(C1CCN(CCCC(=O)c2ccc(Br)cc2)CC1)(c3ccccc3)c4ccccc4
4,CHEMBL383199,CHEMBL869679,347200,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,7600.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,COc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
5,CHEMBL378460,CHEMBL869679,347194,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,2500.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,CC(=O)OCCCc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
6,CHEMBL204362,CHEMBL869679,347088,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,1900.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,OCCCc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
7,CHEMBL207389,CHEMBL869679,347037,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,1300.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,OCCc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
8,CHEMBL207832,CHEMBL869679,347093,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,700.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,CCCCc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
9,CHEMBL207831,CHEMBL869679,347092,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,400.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,OC(C1CCN(CCCC(=O)c2ccc(CC=C)cc2)CC1)(c3ccccc3)c4ccccc4
10,CHEMBL208528,CHEMBL869679,347013,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,400.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,CCCc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
11,CHEMBL207982,CHEMBL869679,347012,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,600.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,CCc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
12,CHEMBL207278,CHEMBL869679,346954,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,700.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,Cc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
13,CHEMBL205154,CHEMBL869679,346982,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,700.0,nM,IC50,,31079,100611,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
14,CHEMBL208528,CHEMBL869679,347013,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,160.0,nM,Ki,,31079,100611,PROTEIN,SINGLE PROTEIN,9,CCCc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
15,CHEMBL560740,CHEMBL1058985,557400,Cytochrome P450 2J2,,Homo sapiens,H,=,2000.0,nM,IC50,,48132,100611,PROTEIN,SINGLE PROTEIN,8,Fc1ccc(cc1)C(CCNC(=O)c2ccc(OCC(F)(F)F)nc2)c3ccc(F)cc3
16,CHEMBL556716,CHEMBL1058985,568072,Cytochrome P450 2J2,,Homo sapiens,H,=,3000.0,nM,IC50,,48132,100611,PROTEIN,SINGLE PROTEIN,8,CS(=O)(=O)c1ccc(cc1)C(CCNC(=O)c2ccc(cc2)C#N)c3ccc(F)cc3
17,CHEMBL560537,CHEMBL1058985,557391,Cytochrome P450 2J2,,Homo sapiens,H,,,,IC50,Not Determined,48132,100611,PROTEIN,SINGLE PROTEIN,8,O=C(NCCC(c1ccccc1)c2ccccc2)c3cccnc3
18,CHEMBL589135,CHEMBL1074710,590877,Cytochrome P450 2J2,,Homo sapiens,H,=,1400.0,nM,IC50,,49485,100611,PROTEIN,SINGLE PROTEIN,8,Clc1ccc(CNC(=O)N2CCC(CC2)Oc3ccccc3)c(Cl)c1
19,CHEMBL589136,CHEMBL1074710,590878,Cytochrome P450 2J2,,Homo sapiens,H,=,20000.0,nM,IC50,,49485,100611,PROTEIN,SINGLE PROTEIN,8,Clc1ccc(CNC(=O)N2CCC(CC2)Oc3ncccn3)c(Cl)c1
20,CHEMBL608263,CHEMBL1074710,591044,Cytochrome P450 2J2,,Homo sapiens,H,=,20000.0,nM,IC50,,49485,100611,PROTEIN,SINGLE PROTEIN,8,OC(=O)c1ccc(OC2CCN(CC2)C(=O)NCc3ccc(Cl)cc3Cl)cc1
21,CHEMBL589136,CHEMBL1119168,590878,Cytochrome P450 2J2,,Homo sapiens,H,=,20000.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,Clc1ccc(CNC(=O)N2CCC(CC2)Oc3ncccn3)c(Cl)c1
22,CHEMBL1085746,CHEMBL1119168,633367,Cytochrome P450 2J2,,Homo sapiens,H,=,2700.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,Clc1ccc(CNC(=O)N2CCC(CC2)Oc3ccncc3)c(Cl)c1
23,CHEMBL1085745,CHEMBL1119168,633366,Cytochrome P450 2J2,,Homo sapiens,H,=,10000.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,FC(F)(F)Oc1ccccc1CNC(=O)N2CCC(C2)c3ccncc3
24,CHEMBL1082684,CHEMBL1119168,633363,Cytochrome P450 2J2,,Homo sapiens,H,=,2000.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,FC(F)(F)Oc1ccccc1CNC(=O)N2CCC(CC2)Oc3ncccn3
25,CHEMBL1085744,CHEMBL1119168,633365,Cytochrome P450 2J2,,Homo sapiens,H,=,10000.0,nM,IC50,,51374,100611,PROTEIN,SINGLE PROTEIN,8,FC(F)(F)Oc1ccccc1CNC(=O)N2CCC(CC2)Oc3ccncc3
26,CHEMBL1083622,CHEMBL1119168,633301,Cytochrome P450 2J2,,Homo sapiens,H,,,,IC50,Not Determined,51374,100611,PROTEIN,SINGLE PROTEIN,8,Fc1ccc(cc1)C(CCNC(=O)N2CCC(CC2)Oc3cnccn3)c4ccc(F)cc4
27,CHEMBL1085743,CHEMBL1119168,633364,Cytochrome P450 2J2,,Homo sapiens,H,,,,IC50,Not Determined,51374,100611,PROTEIN,SINGLE PROTEIN,8,Fc1ccc(cc1)C(CCNC(=O)N2CCC(C2)c3cnccn3)c4ccc(F)cc4
28,CHEMBL589135,CHEMBL2072825,590877,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,1400.0,nM,IC50,,62933,100611,PROTEIN,SINGLE PROTEIN,9,Clc1ccc(CNC(=O)N2CCC(CC2)Oc3ccccc3)c(Cl)c1
29,CHEMBL589136,CHEMBL2072825,590878,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,62933,100611,PROTEIN,SINGLE PROTEIN,9,Clc1ccc(CNC(=O)N2CCC(CC2)Oc3ncccn3)c(Cl)c1
30,CHEMBL608263,CHEMBL2072825,591044,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,62933,100611,PROTEIN,SINGLE PROTEIN,9,OC(=O)c1ccc(OC2CCN(CC2)C(=O)NCc3ccc(Cl)cc3Cl)cc1
31,CHEMBL1085745,CHEMBL2072825,633366,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,>,10000.0,nM,IC50,,62933,100611,PROTEIN,SINGLE PROTEIN,9,FC(F)(F)Oc1ccccc1CNC(=O)N2CCC(C2)c3ccncc3
32,CHEMBL3327064,CHEMBL3371006,1787887,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,81.6,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,CC(C)C(=O)N1CCC(CC1)NC(=O)Nc2ccc(cc2)C(F)(F)F
33,CHEMBL3327065,CHEMBL3371006,1787888,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,,,,Activity,Not Determined,90639,100611,PROTEIN,SINGLE PROTEIN,9,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)C3CC3)cc1
34,CHEMBL3327067,CHEMBL3371006,1787890,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,82.6,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,CC[C@H](C)C(=O)N1CCC(CC1)NC(=O)Nc2ccc(cc2)C(F)(F)F
35,CHEMBL1258904,CHEMBL3371006,707919,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,91.9,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,CCC(=O)N1CCC(CC1)NC(=O)Nc2ccc(OC(F)(F)F)cc2
36,CHEMBL3327077,CHEMBL3371006,1787901,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,73.4,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,CC(C)C(=O)N1CCC(CC1)NC(=O)Nc2ccc(OC(F)(F)F)cc2
37,CHEMBL3327078,CHEMBL3371006,1787902,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,60.6,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,CC[C@H](C)C(=O)N1CCC(CC1)NC(=O)Nc2ccc(OC(F)(F)F)cc2
38,CHEMBL436774,CHEMBL3371006,359572,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,140.0,%,Activity,,90639,100611,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCC(CC1)NC(=O)NC23CC4CC(CC(C4)C2)C3
39,CHEMBL3508698,CHEMBL3509247,1923867,Cytochrome P450 2J2,Homo sapiens,Homo sapiens,D,=,67000.0,nM,Km,OUTCOME = Detected,91892,100611,PROTEIN,SINGLE PROTEIN,9,[14CH3]C([14CH3])(CNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C)C(=O)N.OC(=O)\C=C\C(=O)O
