,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL524809,CHEMBL997007,511469,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,1.0,nM,ED50,,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cc1c(C)c2O[C@](C)(CCCCCCCCCn3ccnc3)CCc2c(C)c1O
1,CHEMBL524615,CHEMBL997007,511539,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cc1c(C)c2O[C@](C)(CCCCCCCCCn3nc4ccccc4n3)CCc2c(C)c1O
2,CHEMBL497279,CHEMBL997007,511538,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cc1c(C)c2O[C@](C)(CCCCCCCCCn3nnc4ccccc34)CCc2c(C)c1O
3,CHEMBL497110,CHEMBL997007,511537,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cc1c(C)c2O[C@](C)(CCCCCCCCCn3cnc4ccccc34)CCc2c(C)c1O
4,CHEMBL524809,CHEMBL997008,511469,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,,,,Activity,Active,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cc1c(C)c2O[C@](C)(CCCCCCCCCn3ccnc3)CCc2c(C)c1O
5,CHEMBL497696,CHEMBL997011,511470,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,42.0,%,Inhibition,,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cc1c(C)c2O[C@](C)(CCCCCCCCCn3cncn3)CCc2c(C)c1O
6,CHEMBL523260,CHEMBL997012,511536,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,36.0,%,Inhibition,,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cc1c(C)c2O[C@](C)(CCCCCCCCCn3ccnn3)CCc2c(C)c1O
7,CHEMBL182310,CHEMBL2155872,310169,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,<,5000.0,nM,IC50,,65414,10743,PROTEIN,SINGLE PROTEIN,9,OC(=O)CCCCCCCCCCCCCCCC#C
8,CHEMBL3508698,CHEMBL3509252,1923867,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,11300.0,nM,Km,OUTCOME = Detected,91892,10743,PROTEIN,SINGLE PROTEIN,9,[14CH3]C([14CH3])(CNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C)C(=O)N.OC(=O)\C=C\C(=O)O
9,CHEMBL3508698,CHEMBL3509261,1923867,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,89.1,pmol.min.mg-1,Vmax,OUTCOME = Detected,91892,10743,PROTEIN,SINGLE PROTEIN,9,[14CH3]C([14CH3])(CNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C)C(=O)N.OC(=O)\C=C\C(=O)O
10,CHEMBL3508698,CHEMBL3509270,1923867,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,7.9,ul.min.nmol-1,CL,OUTCOME = Detected,91892,10743,PROTEIN,SINGLE PROTEIN,9,[14CH3]C([14CH3])(CNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C)C(=O)N.OC(=O)\C=C\C(=O)O
11,CHEMBL1650002,CHEMBL3536993,1061352,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,91988,10743,PROTEIN,SINGLE PROTEIN,9,CO\N=C(\N)/c1ccc(nc1)c2oc(cc2)c3ccc(cn3)\C(=N\O)\N
12,CHEMBL3526190,CHEMBL3537358,1923884,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,91988,10743,PROTEIN,SINGLE PROTEIN,9,Cl.CO\N=C(/N)\c1ccc(nc1)c2oc(cc2)c3ccc(cn3)\C(=N\OC)\N
13,CHEMBL3526818,CHEMBL3537258,1924519,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_not_detected,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cl.CCCCCCCCc1ccc(CC[14C](N)(CO)CO)cc1
14,CHEMBL157101,CHEMBL3532910,255904,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,1600.0,nM,IC50,,92030,10743,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
15,CHEMBL157101,CHEMBL3532911,255904,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,740.0,nM,Ki,,92030,10743,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
16,CHEMBL3526818,CHEMBL3535835,1924519,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,45000.0,nM,Km,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cl.CCCCCCCCc1ccc(CC[14C](N)(CO)CO)cc1
17,CHEMBL3526818,CHEMBL3535836,1924519,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,1049.0,pmol/min,Vmax,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cl.CCCCCCCCc1ccc(CC[14C](N)(CO)CO)cc1
18,CHEMBL3526818,CHEMBL3535837,1924519,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,23.0,uL/min,CL,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cl.CCCCCCCCc1ccc(CC[14C](N)(CO)CO)cc1
19,CHEMBL3526818,CHEMBL3535848,1924519,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_not_detected,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cl.CCCCCCCCc1ccc(CC[14C](N)(CO)CO)cc1
20,CHEMBL3526819,CHEMBL3532998,1924520,Cytochrome P450 4F2,Homo sapiens,Homo sapiens,D,=,2.99,%,Compound recovery,,92030,10743,PROTEIN,SINGLE PROTEIN,9,NC(CO)(CO)CCc1ccc(CCCCCCCCO)cc1
