,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL54768,CHEMBL705239,80863,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.01,ug.mL-1,IC50,,1096,11188,PROTEIN,SINGLE PROTEIN,8,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn3cncn3)cc1
1,CHEMBL64391,CHEMBL705239,97867,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.06,ug.mL-1,IC50,,1096,11188,PROTEIN,SINGLE PROTEIN,8,CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4
2,CHEMBL106,CHEMBL705239,13758,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.042,ug.mL-1,IC50,,1096,11188,PROTEIN,SINGLE PROTEIN,8,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
3,CHEMBL422025,CHEMBL705239,271468,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.08,ug.mL-1,IC50,,1096,11188,PROTEIN,SINGLE PROTEIN,8,CCCCCCC\C=C\C[C@@H]1OC[C@H](C)[C@H](OC)[C@H]1COC(=O)CN
4,CHEMBL349069,CHEMBL705239,271926,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.032,ug.mL-1,IC50,,1096,11188,PROTEIN,SINGLE PROTEIN,8,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn3ccnc3)cc1
5,CHEMBL106,CHEMBL760336,13758,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.042,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
6,CHEMBL106,CHEMBL762239,13758,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.039,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
7,CHEMBL415943,CHEMBL762240,81137,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.024,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,CO\N=C\1/[C@@H](Cn2cncn2)[C@H](COc3ccc(OC(F)(F)F)cc3)CCC1(C)C
8,CHEMBL53214,CHEMBL762240,81195,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.026,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,CCc1ccc(CC[C@@H]2CCC(C)(C)\C(=N\O)\[C@H]2Cn3cncn3)cc1
9,CHEMBL51326,CHEMBL762240,81106,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.049,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,COC1[C@@H](Cn2cncn2)[C@H](COc3ccc(OC(F)(F)F)cc3)CCC1(C)C
10,CHEMBL53213,CHEMBL762240,81104,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.032,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,CCc1ccc(CC[C@@H]2CCC(C)(C)C(OCCO)[C@H]2Cn3cncn3)cc1
11,CHEMBL298394,CHEMBL762240,81194,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.032,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,CCc1ccc(CC[C@@H]2CCC(C)(C)\C(=N\OC)\[C@H]2Cn3cncn3)cc1
12,CHEMBL54768,CHEMBL762240,80863,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.01,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn3cncn3)cc1
13,CHEMBL52311,CHEMBL762240,81102,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.01,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,CC1(C)CC[C@@H](COc2ccc(OC(F)(F)F)cc2)[C@H](Cn3cncn3)C1OCCO
14,CHEMBL415955,CHEMBL762240,81306,Cytochrome P450 51,Candida albicans,Homo sapiens,H,=,0.054,ug.mL-1,IC50,,2668,11188,PROTEIN,SINGLE PROTEIN,8,CC1(C)CC[C@@H](COc2ccc(OC(F)(F)F)cc2)[C@H](Cn3cncn3)/C/1=N\O
15,CHEMBL127685,CHEMBL819751,209080,Cytochrome P450 51,Saccharomyces cerevisiae,Homo sapiens,H,=,25000.0,nM,Kd,,262,11188,PROTEIN,SINGLE PROTEIN,8,[N-]=[N+]=Nc1ccc(cc1)n2ccnc2
16,CHEMBL339057,CHEMBL819752,209118,Cytochrome P450 51,Saccharomyces cerevisiae,Homo sapiens,H,=,18000.0,nM,Kd,,262,11188,PROTEIN,SINGLE PROTEIN,8,[N-]=[N+]=Nc1ccc(cc1)C(=O)Cn2ccnc2
17,CHEMBL447478,CHEMBL819752,209117,Cytochrome P450 51,Saccharomyces cerevisiae,Homo sapiens,H,=,15000.0,nM,Kd,,262,11188,PROTEIN,SINGLE PROTEIN,8,[N-]=[N+]=Nc1ccc(Cn2ccnc2)cc1
18,CHEMBL127866,CHEMBL819752,209119,Cytochrome P450 51,Saccharomyces cerevisiae,Homo sapiens,H,=,1400.0,nM,Kd,,262,11188,PROTEIN,SINGLE PROTEIN,8,OC(Cn1ccnc1)c2ccc(cc2)N=[N+]=[N-]
19,CHEMBL157101,CHEMBL823964,255904,Cytochrome P450 51,,Homo sapiens,H,=,24.5,nM,Ki,,11901,11188,PROTEIN,SINGLE PROTEIN,8,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
20,CHEMBL305220,CHEMBL823964,114153,Cytochrome P450 51,,Homo sapiens,H,=,40.4,nM,Ki,,11901,11188,PROTEIN,SINGLE PROTEIN,8,Nc1ccc(SC[C@H]2CO[C@@](CCc3ccc(Cl)cc3)(Cn4ccnc4)O2)cc1
21,CHEMBL157101,CHEMBL824123,255904,Cytochrome P450 51,,Homo sapiens,H,=,63.5,nM,Ki,,11901,11188,PROTEIN,SINGLE PROTEIN,8,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
22,CHEMBL305220,CHEMBL824123,114153,Cytochrome P450 51,,Homo sapiens,H,=,17.7,nM,Ki,,11901,11188,PROTEIN,SINGLE PROTEIN,8,Nc1ccc(SC[C@H]2CO[C@@](CCc3ccc(Cl)cc3)(Cn4ccnc4)O2)cc1
