,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL1669041,CHEMBL1671404,1067915,Cytochrome b-c1 complex subunit 7,,Homo sapiens,H,,,,Activity,Active,55354,103899,PROTEIN,SINGLE PROTEIN,8,Oc1ccc(NS(=O)(=O)Oc2ccc3SC(=O)c4cccc2c34)c5ccccc15
1,CHEMBL1669041,CHEMBL1671405,1067915,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Activity,Active,55354,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)Oc2ccc3SC(=O)c4cccc2c34)c5ccccc15
2,CHEMBL1669042,CHEMBL1671406,1067916,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Activity,Active,55354,103899,PROTEIN,SINGLE PROTEIN,9,C[C@H](CO)C1=C(O)C(=O)[C@@]2(C)C\C=C(/C)\CC\C=C(/C)\CC[C@H](O)\C(=C\C[C@H]12)\C
3,CHEMBL1669042,CHEMBL1671407,1067916,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Activity,Active,55354,103899,PROTEIN,SINGLE PROTEIN,9,C[C@H](CO)C1=C(O)C(=O)[C@@]2(C)C\C=C(/C)\CC\C=C(/C)\CC[C@H](O)\C(=C\C[C@H]12)\C
4,CHEMBL1669041,CHEMBL1671407,1067915,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Activity,Active,55354,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)Oc2ccc3SC(=O)c4cccc2c34)c5ccccc15
5,CHEMBL1669041,CHEMBL1671408,1067915,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Activity,Dose-dependent effect,55354,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)Oc2ccc3SC(=O)c4cccc2c34)c5ccccc15
6,CHEMBL3360255,CHEMBL3387788,1824432,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Cc1ccc(cc1)S(=O)(=O)Nc2ccc(O)cc2
7,CHEMBL3360256,CHEMBL3387788,1824433,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,CCc1ccc(cc1)S(=O)(=O)Nc2ccc(O)cc2
8,CHEMBL188279,CHEMBL3387788,313899,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,5000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(O)cc2
9,CHEMBL3360257,CHEMBL3387788,1824434,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(O)c3ccccc23
10,CHEMBL3360258,CHEMBL3387788,1824435,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(O)c3ncccc23
11,CHEMBL3360259,CHEMBL3387788,1824436,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,2500.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)cc1
12,CHEMBL3360260,CHEMBL3387788,1824437,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)cc1F
13,CHEMBL3360261,CHEMBL3387788,1824438,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)cc1Cl
14,CHEMBL3360262,CHEMBL3387788,1824439,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,OC(=O)c1cc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)ccc1O
15,CHEMBL3360263,CHEMBL3387788,1824440,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)c4ccccc14
16,CHEMBL3360264,CHEMBL3387788,1824441,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1cccc2c(NS(=O)(=O)c3ccc(cc3)c4ccccc4)cccc12
17,CHEMBL3360268,CHEMBL3387788,1824445,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2cc3SC(=O)c4cccc(c2)c34)c5ccccc15
18,CHEMBL3360267,CHEMBL3387788,1824444,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,5000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,[K+].[O-]c1ccc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)cc1
19,CHEMBL185823,CHEMBL3387788,313539,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,8000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2cccc(O)c2
20,CHEMBL186268,CHEMBL3387788,313538,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,8000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccccc2O
21,CHEMBL1530310,CHEMBL3387788,954194,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1
22,CHEMBL3360266,CHEMBL3387788,1824443,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1
23,CHEMBL3360265,CHEMBL3387788,1824442,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1cccc2cccc(NS(=O)(=O)c3ccc(cc3)c4ccccc4)c12
24,CHEMBL2322452,CHEMBL3387788,1516601,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,>,20000.0,nM,IC50,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc2cccc(NS(=O)(=O)c3ccc(cc3)c4ccccc4)c2c1
25,CHEMBL3360259,CHEMBL3387789,1824436,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,40.0,%,Inhibition,,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)cc1
26,CHEMBL188279,CHEMBL3387789,313899,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,=,40.0,%,Inhibition,,89406,103899,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(O)cc2
27,CHEMBL188279,CHEMBL3388445,313899,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Inhibition,Dose-dependent effect,89406,103899,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(O)cc2
28,CHEMBL3360259,CHEMBL3388445,1824436,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Inhibition,Dose-dependent effect,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)cc1
29,CHEMBL188279,CHEMBL3388446,313899,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,89406,103899,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(O)cc2
30,CHEMBL3360259,CHEMBL3388446,1824436,Cytochrome b-c1 complex subunit 7,Homo sapiens,Homo sapiens,D,,,,Inhibition,Active,89406,103899,PROTEIN,SINGLE PROTEIN,9,Oc1ccc(NS(=O)(=O)c2ccc(cc2)c3ccccc3)cc1
