,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL160309,CHEMBL712896,264406,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,OC(=O)C(CCCNc1ccnc2cc(Cl)ccc12)Nc3ccnc4cc(Cl)ccc34
1,CHEMBL161717,CHEMBL712896,264382,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,OC(=O)C(CCCCNc1ccnc2cc(Cl)ccc12)Nc3ccnc4cc(Cl)ccc34
2,CHEMBL506,CHEMBL712896,10389,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.052,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,COc1cc(NC(C)CCCN)c2ncccc2c1
3,CHEMBL343320,CHEMBL712896,226933,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,Clc1ccc2c(NCCN3CCN(CC3)c4ccnc5cc(Cl)ccc45)ccnc2c1
4,CHEMBL160646,CHEMBL712896,264408,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.066,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,Clc1ccc2c(NCCNCCCCNCCNc3ccnc4cc(Cl)ccc34)ccnc2c1
5,CHEMBL158772,CHEMBL712896,264254,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,[O-][N+](=O)c1cc2c(NCCCCNc3ccnc4cc(Cl)c(cc34)[N+](=O)[O-])ccnc2cc1Cl
6,CHEMBL76,CHEMBL712896,6579,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
7,CHEMBL66165,CHEMBL712896,104641,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.0,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,Clc1ccc2c(NCCCCNc3ccnc4cc(Cl)ccc34)ccnc2c1
8,CHEMBL345133,CHEMBL712896,264312,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,N\C(=N/CCCC(Nc1ccnc2cc(Cl)ccc12)C(=O)O)\Nc3ccnc4cc(Cl)ccc34
9,CHEMBL160309,CHEMBL712897,264406,NADH-cytochrome b5 reductase,Canis lupus familiaris,Homo sapiens,H,=,0.067,nM min-1 (mg of protein)-1,Activity,,3537,11511,PROTEIN,SINGLE PROTEIN,8,OC(=O)C(CCCNc1ccnc2cc(Cl)ccc12)Nc3ccnc4cc(Cl)ccc34
