,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL389014,CHEMBL917755,374069,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,7.4,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CCS(=N)(=O)c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
1,CHEMBL224719,CHEMBL917755,374114,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,28.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CCS(=O)(=O)c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
2,CHEMBL1627205,CHEMBL917755,1050096,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,549.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@@H](\C=C\[S+](=N)([O-])c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
3,CHEMBL1627234,CHEMBL917755,1050125,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,>,1000.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](\C=C\[S+](=N)([O-])c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
4,CHEMBL1627208,CHEMBL917755,1050099,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,>,1000.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](\C=C(/F)\[S+](=N)([O-])c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
5,CHEMBL1627207,CHEMBL917755,1050098,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,44.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CC[S+](=N)([O-])c1ccc(F)cc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
6,CHEMBL1627207,CHEMBL917755,1050098,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,28.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CC[S+](=N)([O-])c1ccc(F)cc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
7,CHEMBL1627203,CHEMBL917755,1050094,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,50.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CC1(CC1)[S+](=N)([O-])c2ccccc2)[C@H]3CC[C@H]4\C(=C\C=C/5\C[C@@H](O)C[C@H](O)C5=C)\CCC[C@]34C
8,CHEMBL1627203,CHEMBL917755,1050094,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,20.5,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CC1(CC1)[S+](=N)([O-])c2ccccc2)[C@H]3CC[C@H]4\C(=C\C=C/5\C[C@@H](O)C[C@H](O)C5=C)\CCC[C@]34C
9,CHEMBL1627204,CHEMBL917755,1050095,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,75.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CC[S+](=N)([O-])c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)CCC4=C)\CCC[C@]23C
10,CHEMBL1627206,CHEMBL917755,1050097,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,9.7,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CC[S+](=N)([O-])c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C4C[C@@H](O)C[C@H](O)C4)\CCC[C@]23C
11,CHEMBL1627206,CHEMBL917755,1050097,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,13.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CC[S+](=N)([O-])c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C4C[C@@H](O)C[C@H](O)C4)\CCC[C@]23C
12,CHEMBL389014,CHEMBL917755,374069,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,28.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CCS(=N)(=O)c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
13,CHEMBL157101,CHEMBL917755,255904,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,312.0,nM,IC50,,35331,100474,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
14,CHEMBL253613,CHEMBL926258,419399,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,15.0,nM,IC50,,37969,100474,PROTEIN,SINGLE PROTEIN,9,Clc1ccc(cc1)c2ccc(cc2)C(=O)NCC(c3ccccc3)n4ccnc4
15,CHEMBL564855,CHEMBL1055571,555306,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,2.0,%,Activity,,47896,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@H](O)[C@@H](OCCCO)[C@@H](O)C3=C)\CCC[C@]12C
16,CHEMBL157101,CHEMBL1177227,255904,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,126.0,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
17,CHEMBL157101,CHEMBL1177228,255904,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,312.0,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
18,CHEMBL389014,CHEMBL1177228,374069,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,7.4,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,C[C@H](CCS(=N)(=O)c1ccccc1)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
19,CHEMBL157101,CHEMBL1177229,255904,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,520.0,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
20,CHEMBL1171489,CHEMBL1177229,649868,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,4000.0,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,O=C(NCC(c1ccccc1)n2ccnc2)c3oc4ccccc4c3
21,CHEMBL1171659,CHEMBL1177229,649869,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,36900.0,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,COc1ccc2cc(oc2c1)C(=O)NCC(c3ccccc3)n4ccnc4
22,CHEMBL1171660,CHEMBL1177229,649870,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,6400.0,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,[O-][N+](=O)c1ccc2oc(cc2c1)C(=O)NCC(c3ccccc3)n4ccnc4
23,CHEMBL1171662,CHEMBL1177229,649873,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,2800.0,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,Fc1ccc(cc1)C(CNC(=O)c2oc3ccccc3c2)n4ccnc4
24,CHEMBL1171105,CHEMBL1177229,649874,Cytochrome P450 24A1,Homo sapiens,Homo sapiens,D,=,10600.0,nM,IC50,,51817,100474,PROTEIN,SINGLE PROTEIN,9,Clc1ccc(cc1)C(CNC(=O)c2oc3ccccc3c2)n4ccnc4
