,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL323337,CHEMBL660389,167715,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,=,92.1,%,Control of P-450 marker,,17212,12911,PROTEIN,SINGLE PROTEIN,9,CC(=O)NC[C@H]1CC(=NO1)c2ccc(N3CCOCC3)c(F)c2
1,CHEMBL323337,CHEMBL660390,167715,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,=,95.8,%,Control of P-450 marker,,17212,12911,PROTEIN,SINGLE PROTEIN,9,CC(=O)NC[C@H]1CC(=NO1)c2ccc(N3CCOCC3)c(F)c2
2,CHEMBL276140,CHEMBL660391,14101,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,15851,12911,PROTEIN,SINGLE PROTEIN,9,CSc1cc2CCN(C(=O)Nc3cccnc3)c2cc1C(F)(F)F
3,CHEMBL14563,CHEMBL660391,14131,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,15851,12911,PROTEIN,SINGLE PROTEIN,9,Cc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2cc1Cl
4,CHEMBL14460,CHEMBL660391,14132,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,=,23000.0,nM,IC50,,15851,12911,PROTEIN,SINGLE PROTEIN,9,Cc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2cc1C(F)(F)F
5,CHEMBL14276,CHEMBL660391,14075,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,=,82000.0,nM,IC50,,15851,12911,PROTEIN,SINGLE PROTEIN,9,COc1cc2CCN(C(=O)Nc3cc(F)cc(c3)c4cccnc4)c2cc1C(F)(F)F
6,CHEMBL355905,CHEMBL660393,240452,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,=,24200.0,nM,IC50,,17273,12911,PROTEIN,SINGLE PROTEIN,9,CSC1=C(C(=N)N2C=CC=CC2=N1)S(=O)(=O)c3ccccc3
7,CHEMBL297784,CHEMBL660394,62720,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,14157,12911,PROTEIN,SINGLE PROTEIN,9,Cn1ccc2cc3N(CCc3cc12)C(=O)Nc4cccnc4
8,CHEMBL3706623,CHEMBL660395,2038629,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,>,30000.0,nM,IC50,,5668,12911,PROTEIN,SINGLE PROTEIN,9,O[C@@H](C[C@@H](Cc1ccccc1)C(=O)N[C@@H]2[C@H](O)COc3ccccc23)CN4CCN(Cc5oc(cc5)c6cccnc6)C[C@H]4C(=O)NCC(F)(F)F
9,CHEMBL115,CHEMBL660395,17170,Cytochrome P450 2C9,Homo sapiens,Homo sapiens,D,>,30000.0,nM,IC50,,5668,12911,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@@H]4[C@H](O)Cc5ccccc45
