,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL323337,CHEMBL665728,167715,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,=,100.9,%,Control of P-450 marker,,17212,11365,PROTEIN,SINGLE PROTEIN,9,CC(=O)NC[C@H]1CC(=NO1)c2ccc(N3CCOCC3)c(F)c2
1,CHEMBL323337,CHEMBL663529,167715,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,=,103.1,%,Control of P-450 marker,,17212,11365,PROTEIN,SINGLE PROTEIN,9,CC(=O)NC[C@H]1CC(=NO1)c2ccc(N3CCOCC3)c(F)c2
2,CHEMBL276140,CHEMBL663530,14101,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,=,110.0,nM,IC50,,15851,11365,PROTEIN,SINGLE PROTEIN,9,CSc1cc2CCN(C(=O)Nc3cccnc3)c2cc1C(F)(F)F
3,CHEMBL14563,CHEMBL663530,14131,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,15851,11365,PROTEIN,SINGLE PROTEIN,9,Cc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2cc1Cl
4,CHEMBL14460,CHEMBL663530,14132,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,15851,11365,PROTEIN,SINGLE PROTEIN,9,Cc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2cc1C(F)(F)F
5,CHEMBL14276,CHEMBL663530,14075,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,=,21000.0,nM,IC50,,15851,11365,PROTEIN,SINGLE PROTEIN,9,COc1cc2CCN(C(=O)Nc3cc(F)cc(c3)c4cccnc4)c2cc1C(F)(F)F
6,CHEMBL387326,CHEMBL663531,371643,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,=,610.0,nM,IC50,,16961,11365,PROTEIN,SINGLE PROTEIN,9,COc1ccc2nccc([C@@H](O)[C@@H]3CC4CCN3C[C@@H]4C=C)c2c1
7,CHEMBL1294,CHEMBL663531,255477,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,=,3.3,nM,IC50,,16961,11365,PROTEIN,SINGLE PROTEIN,9,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1
8,CHEMBL355539,CHEMBL663531,282510,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,=,74200.0,nM,IC50,,16961,11365,PROTEIN,SINGLE PROTEIN,9,COc1ccc2C(=CC(=O)Oc2c1)CN(C)C
9,CHEMBL170988,CHEMBL663531,282509,Cytochrome P450 2D6,Homo sapiens,Homo sapiens,D,=,27000.0,nM,IC50,,16961,11365,PROTEIN,SINGLE PROTEIN,9,NC(=N)NC(=N)NCCc1ccccc1
