,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL1277122,CHEMBL1286960,713095,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,4720.0,nM,Ki,,53897,103629,PROTEIN,SINGLE PROTEIN,9,CC1=C2C(=CC(=O)N1Cc3cccnc3)NN(C2=O)c4ccccc4
1,CHEMBL1276946,CHEMBL1286960,712918,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1530.0,nM,Ki,,53897,103629,PROTEIN,SINGLE PROTEIN,9,CC1=C2C(=CC(=O)N1Cc3ccccn3)NN(C2=O)c4ccccc4Cl
2,CHEMBL1927145,CHEMBL1931063,1268098,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1280.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,CC(C)(C)OC(=O)N1CCCN2C(=O)C=C3NN(C(=O)C3=C2C1)c4ccccc4Cl
3,CHEMBL1927146,CHEMBL1931063,1268099,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,365.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1N2NC3=CC(=O)N4CCCNCC4=C3C2=O
4,CHEMBL1926690,CHEMBL1931063,1268100,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,2015.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1N2NC3=CC(=O)N4CCN(Cc5ccccc5)CC4=C3C2=O
5,CHEMBL1927147,CHEMBL1931063,1268101,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1340.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1N2NC3=CC(=O)N4CCCN(Cc5ccccc5)CC4=C3C2=O
6,CHEMBL1927148,CHEMBL1931063,1268102,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,645.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.COc1ccccc1N2NC3=CC(=O)N4CCCN(Cc5ccccc5)CC4=C3C2=O
7,CHEMBL1927149,CHEMBL1931063,1268103,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1160.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1CN2CCCN3C(=O)C=C4NN(C(=O)C4=C3C2)c5ccccc5Cl
8,CHEMBL1927150,CHEMBL1931063,1268104,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1150.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1cccc(CN2CCCN3C(=O)C=C4NN(C(=O)C4=C3C2)c5ccccc5Cl)c1
9,CHEMBL1927151,CHEMBL1931063,1268105,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1260.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccc(CN2CCCN3C(=O)C=C4NN(C(=O)C4=C3C2)c5ccccc5Cl)cc1
10,CHEMBL1927152,CHEMBL1931063,1268106,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1760.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.COc1ccccc1CN2CCCN3C(=O)C=C4NN(C(=O)C4=C3C2)c5ccccc5Cl
11,CHEMBL1927153,CHEMBL1931063,1268107,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1195.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.COc1cccc(CN2CCCN3C(=O)C=C4NN(C(=O)C4=C3C2)c5ccccc5Cl)c1
12,CHEMBL1927154,CHEMBL1931063,1268108,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,780.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.COc1ccc(CN2CCCN3C(=O)C=C4NN(C(=O)C4=C3C2)c5ccccc5Cl)cc1
13,CHEMBL1927155,CHEMBL1931063,1268109,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1020.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1N2NC3=CC(=O)N4CCCN(Cc5cocc5)CC4=C3C2=O
14,CHEMBL1927156,CHEMBL1931063,1268110,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,1370.0,nM,Ki,,60426,103629,PROTEIN,SINGLE PROTEIN,9,Cl.Clc1ccccc1N2NC3=CC(=O)N4CCCN(Cc5cccnc5)CC4=C3C2=O
