,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
0,CHEMBL865,CHEMBL967597,67010,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,1100.0,nM,IC50,,42618,101472,PROTEIN,SINGLE PROTEIN,9,Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N
1,CHEMBL254418,CHEMBL967597,419345,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,40.0,nM,IC50,,42618,101472,PROTEIN,SINGLE PROTEIN,9,O.Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)NO
2,CHEMBL118,CHEMBL999110,18694,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,,,,Activity,Active,42185,101472,PROTEIN,SINGLE PROTEIN,9,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F
3,CHEMBL118,CHEMBL999112,18694,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,,,,Activity,Active,42185,101472,PROTEIN,SINGLE PROTEIN,9,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F
4,CHEMBL272342,CHEMBL999113,438618,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,>,95.0,%,Inhibition,,42185,101472,PROTEIN,SINGLE PROTEIN,9,OC(=O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccc(Cl)c(Cl)c3)n(C(c4ccccc4)c5ccccc5)c6ccc(Cl)cc26)cc1
5,CHEMBL272342,CHEMBL965440,438618,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,42185,101472,PROTEIN,SINGLE PROTEIN,9,OC(=O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccc(Cl)c(Cl)c3)n(C(c4ccccc4)c5ccccc5)c6ccc(Cl)cc26)cc1
6,CHEMBL1689572,CHEMBL1693371,1078156,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,9.0,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,CC(=O)c1c(c2ccc(Cl)cc2)c(c3CC(C)(C)Cn13)c4ccccc4
7,CHEMBL1689578,CHEMBL1693371,1078162,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,9.0,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,CCC(=O)OCC(=O)c1c(c2ccc(Cl)cc2)c(c3CC(C)(C)Cn13)c4ccccc4
8,CHEMBL1689577,CHEMBL1693371,1078161,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,9.0,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,CC(=O)OCC(=O)c1c(c2ccc(Cl)cc2)c(c3CC(C)(C)Cn13)c4ccccc4
9,CHEMBL1689576,CHEMBL1693371,1078160,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,9.0,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,CC1(C)Cc2c(c3ccccc3)c(c4ccc(Cl)cc4)c(C(=O)COC=O)n2C1
10,CHEMBL1689575,CHEMBL1693371,1078159,Cytochrome c oxidase subunit 2,Homo sapiens,Homo sapiens,D,=,9.0,%,Inhibition,,56056,101472,PROTEIN,SINGLE PROTEIN,9,CC1(C)Cc2c(c3ccccc3)c(c4ccc(Cl)cc4)c(C(=O)CCl)n2C1
