"protein_class_id","parent_id","pref_name","short_name","protein_class_desc","definition","class_level"
0,,"Protein class","Protein class","protein class","Root of the ChEMBL protein family classification",0
1,0,"Enzyme","Enzyme","enzyme","Biological molecules that possess catalytic activity. They may occur naturally or be synthetically created. Enzymes are usually proteins, however CATALYTIC RNA and CATALYTIC DNA molecules have also been identified. [MESH:D004798]",1
2,0,"Adhesion","Adhesion","adhesion","Surface ligands, usually glycoproteins, that mediate cell-to-cell adhesion. Their functions include the assembly and interconnection of various vertebrate systems, as well as maintenance of tissue integration, wound healing, morphogenic movements, cellular migrations, and metastasis. [MESH:D015815]",1
3,0,"Secreted protein","Secreted","secreted",,1
4,0,"Structural protein","Structural","structural",,1
5,0,"Other nuclear protein","Nuclear other","nuclear other",,1
6,1,"Kinase","Kinase","enzyme  kinase","A rather large group of enzymes comprising not only those transferring phosphate but also diphosphate, nucleotidyl residues, and others. These have also been subdivided according to the acceptor group. (From Enzyme Nomenclature, 1992) EC 2.7. [MESH:D010770]",2
7,0,"Other membrane protein","Membrane other","membrane other",,1
8,0,"Other cytosolic protein","Cytosolic other","cytosolic other",,1
9,0,"Surface antigen","Surface antigen","surface antigen","Antigens on surfaces of cells, including infectious or foreign cells or viruses. They are usually protein-containing groups on cell membranes or walls and may be isolated. [MESH:D000954]",1
10,1,"Oxidoreductase","Reductase","enzyme  reductase","The class of all enzymes catalyzing oxidoreduction reactions. The substrate that is oxidized is regarded as a hydrogen donor. The systematic name is based on donor:acceptor oxidoreductase. The recommended name will be dehydrogenase, wherever this is possible; as an alternative, reductase can be used. Oxidase is only used in cases where O2 is the acceptor. (Enzyme Nomenclature, 1992, p9) [MESH:D010088]",2
11,0,"Membrane receptor","Membrane receptor","membrane receptor","Cell surface proteins that bind signalling molecules external to the cell with high affinity and convert this extracellular event into one or more intracellular signals that alter the behavior of the target cell (From Alberts, Molecular Biology of the Cell, 2nd ed, pp693-5). Cell surface receptors, unlike enzymes, do not chemically alter their ligands. [MESH:D011956]",1
12,0,"Transcription factor","Transcription Factor","transcription factor","Endogenous substances, usually proteins, which are effective in the initiation, stimulation, or termination of the genetic transcription process. [MESH:D014157]",1
13,1031,"Cytochrome P450 CAM family","CYP_CAM","enzyme  cytochrome p450  cyp_cam","A soluble cytochrome P-450 enzyme that catalyzes camphor monooxygenation in the presence of putidaredoxin, putidaredoxin reductase, and molecular oxygen. This enzyme, encoded by the CAMC gene also known as CYP101, has been crystallized from bacteria and the structure is well defined. Under anaerobic conditions, this enzyme reduces the polyhalogenated compounds bound at the camphor-binding site. [MESH:D019475]",3
14,1136,"Serine protease S6 family","S6","enzyme  protease  serine  pas  s6",,5
15,1119,"Serine protease S8A subfamily","S8A","enzyme  protease  serine  sb  s8a","A serine endopeptidase isolated from Bacillus subtilis. It hydrolyzes proteins with broad specificity for peptide bonds, and a preference for a large uncharged residue in P1. It also hydrolyzes peptide amides. (From Enzyme Nomenclature, 1992) EC 3.4.21.62. [MESH:D020860]",5
16,1119,"Serine protease S8B subfamily","S8B","enzyme  protease  serine  sb  s8b",,5
18,1120,"Serine protease S10 family","S10","enzyme  protease  serine  sc  s10","A carboxypeptidase that catalyzes the release of a C-terminal amino acid with a broad specificity. It also plays a role in the LYSOSOMES by protecting BETA-GALACTOSIDASE and NEURAMINIDASE from degradation. It was formerly classified as EC 3.4.12.1 and EC 3.4.21.13. [MESH:D043402]",5
19,1120,"Serine protease S28 family","S28","enzyme  protease  serine  sc  s28",,5
20,1120,"Serine protease S33 family","S33","enzyme  protease  serine  sc  s33",,5
21,1120,"Serine protease S9A subfamily","S9A","enzyme  protease  serine  sc  s9a",,5
22,1120,"Serine protease S9B subfamily","S9B","enzyme  protease  serine  sc  s9b","A serine protease that catalyses the release of an N-terminal dipeptide. Several biologically-active peptides have been identified as dipeptidyl peptidase 4 substrates including INCRETINS; NEUROPEPTIDES; and CHEMOKINES. The protein is also found bound to ADENOSINE DEAMINASE on the T-CELL surface and is believed to play a role in T-cell activation. [MESH:D018819]",5
