Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
1,NA_0_S,+,0.159929,0.0109061
2,Span,+,0.128045,0.00909542
3,atom_area,+,0.114559,0.0102443
4,BASE_GROUP_In_AromaticRing,-,0.0975834,0.00667585
5,nucleophilicity,+,0.0947687,0.00487777
6,NA_0_O,-,0.0888122,0.00651604
7,BASE_GROUP_In_InMultipleRings,-,0.0731068,0.00536561
8,bond_length,+,0.0709983,0.00512005
9,self_charge_D1_sum,-,0.0672071,0.00573302
10,self_charge,+,0.0666271,0.00533073
11,NA_0_C,-,0.0658688,0.00556997
12,atom_area_D2_min,+,0.0623355,0.00793678
13,LLipo_1,-,0.0613503,0.00968291
14,NA_0_A,+,0.0569212,0.00603418
15,NA_1_A,+,0.0538816,0.0056609
16,LLipo_3,+,0.0524099,0.00515512
17,ee_repulsion,-,0.0509349,0.00435126
18,BASE_GROUP_In_InRing7,+,0.0477568,0.00331757
19,en_attraction,+,0.0464318,0.00404674
20,PA_1_A,+,0.0431144,0.00422412
21,BASE_GROUP_ROTATABLE_BONDS_2,+,0.0431041,0.00443271
22,electronic_energy,+,0.0430613,0.00382525
23,NA_3_X,+,0.0424858,0.00373147
24,PA_2_A,+,0.0418875,0.00537164
25,NA_0_N,+,0.0418242,0.00382837
26,nucleophilicity_D1_min,+,0.0413688,0.0056182
27,NA_3_H,+,0.0408386,0.00355972
28,PA_3_O,-,0.0407323,0.00372621
29,BASE_GROUP_ROTATABLE_BONDS,+,0.0395572,0.00262795
30,NA_4_S,-,0.0393224,0.00391273
31,BASE_GROUP_ROTATABLE_BONDS_3,+,0.039238,0.00245385
32,NA_1_D,-,0.0389019,0.00533152
33,NA_1_C,-,0.038023,0.00356752
34,pi_pi_bo_D1_BS_min,+,0.0364344,0.00397822
35,NA_4_C,-,0.0357705,0.00194271
36,atom_area_D1_min,+,0.0353002,0.00447705
37,electrophilicity_D1_min,-,0.0343492,0.0052608
38,PA_4_S,-,0.0327424,0.0036652
39,BASE_GROUP_ROTATABLE_BONDS_1,-,0.0314633,0.00388708
40,PA_4_OTHER,-,0.0310974,0.00272448
41,PA_3_OTHER,-,0.0310974,0.00272448
42,PA_2_OTHER,-,0.0310974,0.00272448
43,NA_4_OTHER,-,0.0310974,0.00272448
44,NA_3_OTHER,-,0.0310974,0.00272448
45,NA_2_OTHER,-,0.0310974,0.00272448
46,NA_0_OTHER,-,0.0310974,0.00272448
47,NA_4_N,-,0.0303003,0.0026402
48,self_charge_D2_min,-,0.0290516,0.00401213
49,PA_2_N,+,0.0288639,0.00489021
50,NA_1_Hp,-,0.0288326,0.0029104
51,self_charge_D1_min,-,0.0285333,0.00317096
52,PA_3_Hp,+,0.0284468,0.00432501
53,PA_1_N,-,0.0283585,0.00329715
54,BASE_GROUP_RingSize,+,0.028341,0.00394862
55,NA_0_P,+,0.0281976,0.00268484
56,electronic_energy_D1_mean,+,0.0279503,0.00219715
57,PA_3_D,-,0.0279158,0.0034796
58,LLipo_4,-,0.0275792,0.00318183
59,NA_3_S,-,0.0272934,0.00259469
60,nucleophilicity_D2_min,-,0.0269789,0.00311343
61,active_charge,-,0.0269266,0.00295334
62,en_attraction_D1_mean,+,0.0266586,0.00235994
63,NA_4_Hp,-,0.0259562,0.00180936
64,NA_0_H,+,0.0259365,0.00279756
65,nucleophilicity_D2_mean,+,0.0256923,0.00413684
66,PA_1_D,-,0.0254476,0.00359794
67,PA_1_Po,-,0.025137,0.00358644
68,Hydrophobic_Moment,-,0.0249933,0.00095077
69,ee_repulsion_D1_mean,-,0.0247896,0.00260216
70,BASE_GROUP_HYD_BOND_COUNT,+,0.0245806,0.00426437
71,sig_sig_mulliken_D1_BS_min,+,0.0243374,0.00229909
72,PA_3_C,+,0.0240914,0.00293595
73,PA_4_H,+,0.0240237,0.00241619
74,PA_4_Po,-,0.0239034,0.00254777
75,sig_pi_mulliken_D1_BS_sum,+,0.0238276,0.00259911
76,total_ene_D1_MS_sum,-,0.0233949,0.00201714
77,electronic_energy_D1_sum,+,0.0228643,0.00267839
78,electrophilicity,-,0.0225079,0.00710568
79,LLipo_5,-,0.0216738,0.00221174
80,fukui_D2_min,-,0.0213989,0.00291763
81,NA_2_O,-,0.0210792,0.0038202
82,NA_1_H,+,0.0210409,0.00459598
83,PA_3_N,-,0.0209451,0.00282189
84,self_charge_D2_norm,+,0.020895,0.00413129
85,PA_3_S,-,0.0207585,0.0024836
86,coulomb_energy_D1_MS_sum,-,0.0207354,0.00205538
87,self_charge_D2_max,+,0.020688,0.00296877
88,en_attraction_D1_sum,+,0.0206144,0.00247719
89,resonance_energy_MS_norm,+,0.0203822,0.00256112
90,resonance_energy_MS_min,+,0.0197473,0.00249735
91,resonance_energy_MS_max,+,0.0197473,0.00249735
92,resonance_energy_MS_sum,+,0.0197473,0.00249735
93,resonance_energy_MS_mean,+,0.0197473,0.00249735
94,NA_4_Po,-,0.0197395,0.00340145
95,sig_sig_bo_D1_BS_max,-,0.0196673,0.00225488
96,PA_2_Hp,-,0.0195664,0.00337008
97,ee_repulsion_D1_min,-,0.0194464,0.003434
98,PA_3_A,-,0.0193707,0.00226234
99,sig_pi_bo_D1_MS_mean,+,0.0193613,0.00257378
100,electronic_energy_D1_max,+,0.0193197,0.00329981
101,bond_degree_D1_MS_sum,+,0.0191423,0.00199671
102,electron_density,-,0.0190793,0.00233992
103,en_attraction_D1_max,+,0.0190729,0.00332537
104,coulomb_energy_D1_BS_sum,+,0.0187583,0.00134423
105,PA_2_Po,+,0.0187462,0.0036197
106,sig_pi_bo_D1_BS_sum,-,0.0184886,0.00372379
107,BASE_GROUP_In_Ring3,-,0.018398,0.00163985
108,fukui_D2_norm,+,0.0182651,0.0027962
109,PA_3_Po,-,0.0181173,0.00366197
110,electron_density_D1_sum,-,0.018078,0.00268481
111,electrophilicity_D1_mean,-,0.0179204,0.00384341
112,pi_pi_bo_D1_MS_mean,+,0.0178949,0.00264668
113,NA_2_D,-,0.0176654,0.00148012
114,total_ene_D1_BS_min,+,0.0172947,0.00163606
115,ee_repulsion_D1_sum,-,0.0168712,0.00218912
116,NA_0_D,-,0.0167748,0.00379978
117,NA_1_Po,-,0.0165182,0.00484107
118,electron_density_D1_mean,-,0.0164433,0.00245513
119,self_charge_D1_norm,-,0.0164179,0.00432436
120,bond_degree_D1_MS_max,-,0.0162537,0.00310284
121,NA_3_N,-,0.0160765,0.00313546
122,self_charge_D2_mean,-,0.0158476,0.00277463
123,sig_pi_bo_D1_BS_norm,-,0.0157671,0.0031539
124,fukui_D2_max,+,0.0155051,0.00400463
125,NA_3_O,-,0.0154686,0.00271377
126,NA_4_O,+,0.0154048,0.00365561
127,pi_pi_mulliken_D1_MS_sum,-,0.0153275,0.00136166
128,coulomb_energy_BS_min,+,0.0152511,0.00181667
129,coulomb_energy_BS_max,+,0.0152511,0.00181667
130,coulomb_energy_BS_sum,+,0.0152511,0.00181667
131,coulomb_energy_BS_mean,+,0.0152511,0.00181667
132,pi_pi_bo_D1_MS_min,+,0.015118,0.00222595
133,atom_area_D1_mean,-,0.0150358,0.00279368
134,sig_pi_mulliken_BS_norm,-,0.0149075,0.00289921
135,electrophilicity_D2_max,+,0.0148493,0.0044021
136,PA_2_C,-,0.0148121,0.0024758
137,BASE_GROUP_In_InRing5,+,0.014693,0.00233116
138,self_charge_D2_sum,+,0.0145763,0.00297787
139,BASE_GROUP_ROTATABLE_BONDS_0,-,0.0145333,0.000642218
140,total_ene_D1_MS_max,-,0.0144013,0.00216263
141,bond_degree_D1_BS_max,-,0.0143354,0.00153587
142,exchange_energy_D1_BS_min,+,0.0142893,0.00144787
143,sig_pi_bo_D1_MS_norm,+,0.0142243,0.00195657
144,pi_pi_bo_D1_MS_norm,+,0.0142189,0.0018586
145,NA_2_X,+,0.0142132,0.00333079
146,sig_sig_mulliken_D1_MS_sum,+,0.0141978,0.00161044
147,NA_4_P,-,0.0141695,0.00155157
148,LLipo_2,+,0.0141524,0.0033693
149,pi_pi_bo_D1_MS_sum,+,0.0141117,0.0019522
150,PA_4_P,-,0.0140494,0.00150719
151,PA_4_Hp,-,0.0140156,0.0018837
152,pi_pi_bo_BS_norm,-,0.0139944,0.00249822
153,pi_pi_bo_BS_min,-,0.0139944,0.00249822
154,pi_pi_bo_BS_max,-,0.0139944,0.00249822
155,pi_pi_bo_BS_sum,-,0.0139944,0.00249822
156,pi_pi_bo_BS_mean,-,0.0139944,0.00249822
157,sig_pi_mulliken_D1_BS_mean,+,0.013958,0.00299039
158,atom_area_D2_max,-,0.0139475,0.0034928
159,sig_sig_bo_D1_BS_min,-,0.0136727,0.00146594
160,NA_2_Hp,-,0.0135644,0.00202854
161,active_charge_D1_sum,-,0.0131725,0.00224756
162,active_charge_D1_mean,-,0.0131685,0.00264686
163,sig_sig_bo_D1_MS_max,-,0.0131499,0.00173766
164,pi_pi_bo_D1_MS_max,+,0.0130784,0.00184248
165,PA_1_OTHER,-,0.0130349,0.0015345
166,NA_0_Po,-,0.0129325,0.00429064
167,NA_1_OTHER,-,0.0128599,0.00153363
168,electron_density_D1_norm,-,0.0128399,0.00255108
169,sig_pi_bo_D1_BS_max,-,0.0127847,0.00272676
170,NA_2_Po,+,0.012732,0.00341802
171,electrophilicity_D2_norm,+,0.012648,0.0044764
172,NA_3_Hp,-,0.0123689,0.00108701
173,NA_3_D,-,0.0123594,0.00358364
174,PA_1_C,+,0.0122509,0.00303338
175,NA_1_S,+,0.0122273,0.00267861
176,sig_sig_mulliken_D1_BS_sum,-,0.0121492,0.00116326
177,sig_pi_mulliken_D1_BS_norm,+,0.0121276,0.00145174
178,BASE_GROUP_NON_HYD_BOND_COUNT,+,0.012126,0.00421404
179,electronic_energy_D1_norm,-,0.0120831,0.00249654
180,total_ene_BS_norm,-,0.0120053,0.00187689
181,total_ene_BS_min,+,0.0120053,0.00187689
182,total_ene_BS_max,+,0.0120053,0.00187689
183,total_ene_BS_sum,+,0.0120053,0.00187689
184,total_ene_BS_mean,+,0.0120053,0.00187689
185,exchange_energy_D1_MS_mean,-,0.0120042,0.00219236
186,electronic_energy_D1_min,+,0.0117862,0.0025477
187,nucleophilicity_D1_max,+,0.0117479,0.00268134
188,ee_repulsion_D2_sum,-,0.0117142,0.00128852
189,sig_pi_bo_D1_BS_mean,-,0.0116594,0.00358992
190,bond_degree_BS_norm,-,0.0116548,0.00234781
191,bond_degree_BS_min,-,0.0116548,0.00234781
192,bond_degree_BS_max,-,0.0116548,0.00234781
193,bond_degree_BS_sum,-,0.0116548,0.00234781
194,bond_degree_BS_mean,-,0.0116548,0.00234781
195,NA_3_Po,-,0.0116023,0.00270516
196,coulomb_energy_D1_MS_max,-,0.0114778,0.00194066
197,self_charge_D1_mean,-,0.0114284,0.00229442
198,electron_density_D1_min,-,0.0112575,0.0036112
199,resonance_energy_D1_MS_max,-,0.0112507,0.00120346
200,en_attraction_D2_sum,+,0.0111405,0.00128372
201,active_charge_D2_sum,-,0.0110847,0.00150355
202,resonance_energy_D1_MS_mean,+,0.0110835,0.00204404
203,PA_4_A,-,0.0109827,0.00230704
204,total_ene_D1_MS_norm,-,0.0109636,0.00171143
205,PA_2_S,-,0.0108901,0.00267194
206,self_charge_D1_max,-,0.0108833,0.0026846
207,PA_4_X,+,0.0108007,0.0023512
208,electronic_energy_D2_sum,+,0.0107235,0.00129257
209,ee_repulsion_D2_min,-,0.0107052,0.00217533
210,pi_pi_mulliken_D1_BS_sum,-,0.0105828,0.0019675
211,sig_pi_bo_D1_MS_max,+,0.0105605,0.00169252
212,pi_pi_bo_D1_BS_sum,+,0.0105584,0.0019774
