Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
1,NA_0_S,+,0.163515,0.012471
2,Span,+,0.128478,0.00877702
3,atom_area,+,0.108583,0.00807291
4,nucleophilicity,+,0.0959441,0.00885453
5,BASE_GROUP_In_AromaticRing,-,0.0931262,0.0100137
6,NA_0_O,-,0.0929327,0.00840393
7,bond_length,+,0.0759339,0.00869767
8,BASE_GROUP_In_InMultipleRings,-,0.0739538,0.00467001
9,atom_area_D2_min,+,0.0667808,0.00343606
10,NA_0_C,-,0.065311,0.00442048
11,self_charge_D1_sum,-,0.0644362,0.00510004
12,self_charge,+,0.0611132,0.00307957
13,LLipo_1,-,0.0604768,0.00617763
14,NA_0_A,+,0.0539198,0.00732917
15,LLipo_3,+,0.0536611,0.00370785
16,NA_1_A,+,0.0525542,0.00679805
17,ee_repulsion,-,0.0505909,0.00423372
18,en_attraction,+,0.0466319,0.00410327
19,nucleophilicity_D1_min,+,0.0462396,0.00415824
20,BASE_GROUP_In_InRing7,+,0.0455402,0.00387385
21,NA_0_N,+,0.0449616,0.00519125
22,BASE_GROUP_ROTATABLE_BONDS_2,+,0.0437452,0.00335609
23,electronic_energy,+,0.0436584,0.00400367
24,PA_1_A,+,0.0430503,0.00524229
25,PA_2_A,+,0.0425587,0.00287357
26,atom_area_D1_min,+,0.0413938,0.00638312
27,NA_3_X,+,0.041158,0.00325329
28,PA_3_O,-,0.0410986,0.00270708
29,NA_4_S,-,0.0404912,0.00232245
30,NA_3_H,+,0.040043,0.00301021
31,pi_pi_bo_D1_BS_min,+,0.0379029,0.00517279
32,BASE_GROUP_ROTATABLE_BONDS,+,0.0364661,0.00237231
33,NA_1_D,-,0.0361001,0.00489885
34,NA_1_C,-,0.0358092,0.00326347
35,NA_4_C,-,0.0357546,0.00290899
36,BASE_GROUP_ROTATABLE_BONDS_3,+,0.0352925,0.00198317
37,PA_4_S,-,0.034109,0.0021354
38,BASE_GROUP_ROTATABLE_BONDS_1,-,0.0335934,0.00295929
39,electrophilicity_D1_min,-,0.0330028,0.0062159
40,NA_4_N,-,0.032803,0.00258133
41,self_charge_D2_min,-,0.0314565,0.00186627
42,nucleophilicity_D2_min,-,0.0304139,0.00456788
43,PA_4_OTHER,-,0.0301979,0.00336599
44,PA_3_OTHER,-,0.0301979,0.00336599
45,PA_2_OTHER,-,0.0301979,0.00336599
46,NA_4_OTHER,-,0.0301979,0.00336599
47,NA_3_OTHER,-,0.0301979,0.00336599
48,NA_2_OTHER,-,0.0301979,0.00336599
49,NA_0_OTHER,-,0.0301979,0.00336599
50,PA_3_Hp,+,0.0293639,0.00336506
51,PA_2_N,+,0.0289035,0.0039682
52,nucleophilicity_D2_mean,+,0.0284283,0.00259057
53,LLipo_4,-,0.028142,0.00139947
54,NA_4_Hp,-,0.0271294,0.0021202
55,PA_3_D,-,0.0269791,0.00344611
56,PA_1_N,-,0.026891,0.00315758
57,BASE_GROUP_RingSize,+,0.0264459,0.00431447
58,NA_3_S,-,0.0261773,0.00449896
59,PA_4_Po,-,0.0261114,0.00217846
60,NA_0_P,+,0.0259373,0.00273907
61,electronic_energy_D1_mean,+,0.025933,0.00456252
62,fukui_D2_min,-,0.0256724,0.0035921
63,NA_0_H,+,0.0255187,0.00238297
64,NA_1_Hp,-,0.0254974,0.00312386
65,active_charge,-,0.0253654,0.00221393
66,PA_4_H,+,0.0249902,0.00211978
67,en_attraction_D1_mean,+,0.024899,0.00473362
68,PA_2_Hp,-,0.0238185,0.00249803
69,PA_3_C,+,0.0237381,0.00235105
70,ee_repulsion_D1_mean,-,0.0233806,0.00494438
71,sig_sig_mulliken_D1_BS_min,+,0.0233006,0.00332041
72,PA_1_D,-,0.022869,0.00422025
73,total_ene_D1_MS_sum,-,0.0224779,0.00268374
74,self_charge_D1_min,-,0.0220485,0.00383691
75,bond_degree_D1_MS_sum,+,0.022036,0.00245093
76,self_charge_D2_norm,+,0.022021,0.00214363
77,NA_4_Po,-,0.0219404,0.00200207
78,PA_1_Po,-,0.0218359,0.00308018
79,LLipo_5,-,0.0217027,0.00316823
80,sig_pi_mulliken_D1_BS_sum,+,0.0215463,0.00161269
81,Hydrophobic_Moment,-,0.021477,0.00248154
82,electronic_energy_D1_sum,+,0.0214409,0.00194347
83,resonance_energy_MS_norm,+,0.021285,0.00178844
84,resonance_energy_MS_min,+,0.0210701,0.00187227
85,resonance_energy_MS_max,+,0.0210701,0.00187227
86,resonance_energy_MS_sum,+,0.0210701,0.00187227
87,resonance_energy_MS_mean,+,0.0210701,0.00187227
88,PA_2_Po,+,0.0208636,0.00267269
89,BASE_GROUP_HYD_BOND_COUNT,+,0.0203196,0.00597126
90,PA_3_N,-,0.0199516,0.00175437
91,PA_3_A,-,0.0198756,0.00251761
92,sig_pi_bo_D1_MS_mean,+,0.0198227,0.00328406
93,self_charge_D2_mean,-,0.0196318,0.00167751
94,coulomb_energy_D1_MS_sum,-,0.0196226,0.0023688
95,PA_3_S,-,0.0195446,0.0039672
96,NA_2_O,-,0.0195157,0.00200697
97,sig_sig_bo_D1_BS_max,-,0.0194866,0.00311584
98,en_attraction_D1_sum,+,0.0191616,0.00187405
99,BASE_GROUP_In_Ring3,-,0.0187912,0.00153464
100,ee_repulsion_D1_min,-,0.0182888,0.0065338
101,electronic_energy_D1_max,+,0.0182781,0.00591472
102,en_attraction_D1_max,+,0.0181355,0.00617671
103,electron_density,-,0.018102,0.00209443
104,LLipo_2,+,0.0181009,0.003574
105,NA_2_D,-,0.0180726,0.0032073
106,pi_pi_bo_D1_MS_mean,+,0.0179517,0.00155224
107,PA_3_Po,-,0.0179101,0.00325593
108,electrophilicity_D1_mean,-,0.0178924,0.00339372
109,electron_density_D1_sum,-,0.0176363,0.00240979
110,self_charge_D2_max,+,0.0171934,0.00259564
111,NA_2_Hp,-,0.0169713,0.00222022
112,NA_3_O,-,0.0168785,0.00294094
113,PA_2_C,-,0.0166759,0.00183308
114,NA_2_X,+,0.0164667,0.00394663
115,NA_3_N,-,0.0164437,0.00249605
116,NA_1_H,+,0.0163375,0.00634276
117,atom_area_D2_max,-,0.016312,0.00390527
118,electrophilicity_D2_max,+,0.0162209,0.00377329
119,bond_degree_D1_MS_max,-,0.0161406,0.00329455
120,NA_0_D,-,0.0160978,0.00375418
121,NA_2_Po,+,0.0158329,0.00195193
122,fukui_D2_max,+,0.0158074,0.00183755
123,NA_4_P,-,0.015728,0.00138822
124,PA_4_P,-,0.015617,0.00140844
125,NA_1_Po,-,0.0155546,0.00505217
126,sig_pi_bo_D1_BS_sum,-,0.0154842,0.00230202
127,ee_repulsion_D1_sum,-,0.0154687,0.00180797
128,electrophilicity,-,0.0154359,0.0083164
129,sig_pi_bo_D1_BS_max,-,0.0153641,0.00163255
130,sig_pi_bo_D1_BS_norm,-,0.015331,0.00180793
131,PA_4_Hp,-,0.0152127,0.00202371
132,PA_1_OTHER,-,0.014734,0.00187039
133,total_ene_D1_BS_min,+,0.0146748,0.00171135
134,electrophilicity_D2_norm,+,0.0146375,0.00370099
135,NA_1_OTHER,-,0.0145905,0.00186728
136,pi_pi_bo_D1_MS_min,+,0.0143855,0.00328091
137,sig_sig_mulliken_D1_MS_sum,+,0.0142309,0.00253221
138,NA_3_Hp,-,0.0141718,0.00215271
139,NA_4_O,+,0.0140569,0.00411093
140,electron_density_D1_mean,-,0.0139184,0.00446164
141,exchange_energy_D1_BS_min,+,0.0138855,0.00163491
142,pi_pi_bo_D1_MS_norm,+,0.0138522,0.000954414
143,bond_degree_D1_BS_max,-,0.0136949,0.00162467
144,sig_sig_bo_D1_BS_min,-,0.0135818,0.00249693
145,sig_pi_bo_D1_MS_norm,+,0.0134946,0.00202966
146,exchange_energy_D1_MS_mean,-,0.0133889,0.00113541
147,pi_pi_bo_D1_MS_max,+,0.0131875,0.00133272
148,pi_pi_bo_BS_norm,-,0.0131193,0.00167806
149,pi_pi_bo_BS_min,-,0.0131193,0.00167806
150,pi_pi_bo_BS_max,-,0.0131193,0.00167806
151,pi_pi_bo_BS_sum,-,0.0131193,0.00167806
152,pi_pi_bo_BS_mean,-,0.0131193,0.00167806
153,fukui_D1_sum,-,0.0131148,0.00188335
154,sig_sig_mulliken_D1_BS_sum,-,0.0130031,0.000635497
155,sig_pi_mulliken_D1_MS_sum,-,0.0130018,0.00189682
156,electron_density_D1_norm,-,0.0129937,0.00255664
157,resonance_energy_D1_MS_mean,+,0.0129921,0.00178052
158,ne_energy_D1_MS_max,+,0.0129519,0.00134439
159,active_charge_D1_sum,-,0.0129487,0.00241761
160,fukui,+,0.0128887,0.00315671
161,nn_energy_D1_MS_min,-,0.0128701,0.00141002
162,total_ene_D1_MS_max,-,0.0128613,0.00142361
163,sig_sig_bo_D1_MS_max,-,0.0128285,0.00166859
164,repulsion_energy_D1_MS_min,-,0.0128283,0.00130422
165,active_charge_D1_mean,-,0.0128168,0.00458526
166,NA_2_H,+,0.0128015,0.00346327
167,pi_pi_bo_D1_MS_sum,+,0.012782,0.000644224
168,NA_0_Hp,-,0.012632,0.00217888
169,nucleophilicity_D1_mean,+,0.012452,0.00309272
170,atom_area_D1_max,-,0.0124311,0.00281266
171,BASE_GROUP_In_InRing5,+,0.0124161,0.0030671
172,NA_3_D,-,0.0122943,0.00438468
173,coulomb_energy_D1_BS_sum,+,0.0122797,0.000829397
174,pi_pi_mulliken_D1_MS_sum,-,0.0122279,0.00269613
175,PA_2_S,-,0.0121131,0.00260715
176,PA_4_X,+,0.0120628,0.000897871
177,electronic_energy_D1_norm,-,0.0119013,0.00204508
178,NA_0_Po,-,0.0118993,0.00384133
179,sig_pi_mulliken_D1_MS_norm,-,0.0118927,0.00281105
180,coulomb_energy_D1_MS_min,+,0.0118553,0.00251139
181,electronic_energy_D1_min,+,0.0117911,0.00171067
182,sig_pi_bo_D1_BS_mean,-,0.011685,0.00297976
183,BASE_GROUP_ROTATABLE_BONDS_0,-,0.0115648,0.00147279
184,self_charge_D1_mean,-,0.0115279,0.0020178
185,self_charge_D1_norm,-,0.0115077,0.00384101
186,nucleophilicity_D2_norm,+,0.011479,0.00195973
187,self_charge_D1_max,-,0.0114623,0.00266172
188,bond_degree_BS_norm,-,0.0113451,0.00138997
189,bond_degree_BS_min,-,0.0113451,0.00138997
190,bond_degree_BS_max,-,0.0113451,0.00138997
191,bond_degree_BS_sum,-,0.0113451,0.00138997
192,bond_degree_BS_mean,-,0.0113451,0.00138997
193,nucleophilicity_D1_sum,-,0.0113104,0.00239972
194,coulomb_energy_BS_min,+,0.0112734,0.00222794
195,coulomb_energy_BS_max,+,0.0112734,0.00222794
196,coulomb_energy_BS_sum,+,0.0112734,0.00222794
