Compound,Class,Set
Acenocoumarol,P+,Training
Adinazolam,P+,Training
Albendazole,P+,Training
Almotriptan,P+,Training
Alosetron,P+,Training
Alpidem,P+,Training
Alprazolam,P+,Training
Ambroxol,P+,Training
Aminopyrine,P+,Training
Amiodarone,P+,Training
Amoxapine,P+,Training
Amprenavir,P+,Training
Anastrozole,P+,Training
Apomorphine,P+,Training
Aprepitant,P+,Training
Argatroban,P+,Training
Aripiprazole,P+,Training
Artemisinin,P+,Training
Atomoxetine,P+,Training
Atorvastatin,P+,Training
Avitriptan,P+,Training
Azimilide,P+,Training
Barnidipine,P+,Training
Benzfetamine,P+,Training
Benzydamine,P+,Training
Bepridil,P+,Training
Bexarotene,P+,Training
Bezafibrate,P+,Training
Bisoprolol,P+,Training
Boldenone,P+,Training
Bortezomib,P+,Training
Bosentan,P+,Training
Brinzolamide,P+,Training
Bromazepam,P+,Training
Bromocriptine,P+,Training
Brotizolam,P+,Training
Bufuralol,P+,Training
Buprenorphine,P+,Training
Bupropion,P+,Training
Busulfan,P+,Training
Caffeine,P+,Training
Carbamazepine,P+,Training
Carbaril,P+,Training
Carvedilol,P+,Training
Celecoxib,P+,Training
Cerivastatin,P+,Training
Cevimeline,P+,Training
Chlordiazepoxide,P+,Training
Chloroquine,P+,Training
Chlorpromazine,P+,Training
Chlorpyrifos,P+,Training
Chlorzoxazone,P+,Training
Cibenzoline,P+,Training
Ciclosporin,P+,Training
Cilnidipine,P+,Training
Cilostazol,P+,Training
Cimetidine,P+,Training
Ciprofibrate,P+,Training
Citalopram,P+,Training
Clarithromycin,P+,Training
Clindamycin,P+,Training
Clofibrate,P+,Training
Clofibric acid,P+,Training
Clomethiazole,P+,Training
Clomipramine,P+,Training
Clopidogrel,P+,Training
Clotrimazole,P+,Training
Clozapine,P+,Training
Cocaine,P+,Training
Codeine,P+,Training
Colchicine,P+,Training
Cortisol,P+,Training
Cortisone,P+,Training
Cyproterone,P+,Training
Dantrolene,P+,Training
Dapsone,P+,Training
Delavirdine,P+,Training
Dexamethasone,P+,Training
Dextromethorphan,P+,Training
Diazepam,P+,Training
Diclofenac,P+,Training
Diethylstilbestrol,P+,Training
Digitoxin,P+,Training
Dihydralazine,P+,Training
