,drug_name,drug_type,Smiles
0,Acetylsalicylic Acid,Inducer,CC(=O)OC1=C(C=CC=C1)C(O)=O
1,Adriamycin,Substrate,COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(=O)CO)C(O)=C3C2=O
2,Amyl Nitrite,Substrate,CC(C)CCON=O
3,Artemisinin,Inhibitor,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
4,Artemisinin,Substrate,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
5,Ascorbic Acid (vit C),Inhibitor,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
6,Ascorbic Acid (vit C),Inducer,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
7,Betacarotene,Inducer,CC1=C(C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC2=C(C)CCCC2(C)C)C(C)(C)CCC1
8,Bucladesine,Inducer,CCCC(=O)NC1=C2N=CN([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3OC(=O)CCC)C2=NC=N1
9,Busulfan,Substrate,CS(=O)(=O)OCCCCOS(C)(=O)=O
10,Camphora,Inducer,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2
11,Capsaicin,Inhibitor,COC1=C(O)C=CC(CNC(=O)CCCCC=CC(C)C)=C1
12,Carmustine,Substrate,ClCCNC(=O)N(CCCl)N=O
13,Chenodeoxycholic Acid,Inhibitor,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
14,Chinin,Inhibitor,COC1=CC2=C(C=CN=C2C=C1)[C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C
15,Chlorambucil,Inducer,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
16,Chloroform,Inhibitor,ClC(Cl)Cl
17,Chloroquine,Inhibitor,CCN(CC)CCC[C@@H](C)NC1=CC=NC2=C1C=CC(Cl)=C2
18,Cisapride,Inducer,CO[C@@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C3=C(OC)C=C(N)C(Cl)=C3
19,Cisplatin,Substrate,N[Pt](N)(Cl)Cl
20,Cisplatin,Inducer,N[Pt](N)(Cl)Cl
21,Clofibrate,Substrate,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
22,Clomipramine,Inhibitor,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=C(Cl)C=C13
23,Cocaine,Inducer,COC(=O)[C@H]1[C@H](C[C@H]2CC[C@@H]1N2C)OC(=O)C3=CC=CC=C3
24,Cyproterone,Inducer,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C
25,Dactinomycin,Inhibitor,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)C2=C3N=C4C(OC3=C(C)C=C2)=C(C)C(=O)C(N)=C4C(=O)N[C@@H]5[C@H](C)OC(=O)[C@@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@H]6CCCN6C(=O)[C@@H](NC5=O)C(C)C)[C@H](C)OC(=O)[C@@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@H]7CCCN7C1=O
