,drug_name,drug_type
0,Amfetamine,Inhibitor
1,Amlodipine,Inhibitor
2,Amobarbital,Inducer
3,Artemisinin,Substrate
4,Artesunate,Substrate
5,Azelastine,Inhibitor
6,Azithromycin,Inhibitor
7,Buprenorphine,Inhibitor
8,Bupropion,Substrate
9,Carbamazepine,Inducer
10,Chloroform,Substrate
11,Chloroxylenol,Substrate
12,Chlorzoxazone,Substrate
13,Cinnarizin,Substrate
14,Cisapride,Substrate
15,Clofibrate,Inhibitor
16,Clomethiazole,Substrate
17,Clomifene,Inhibitor
18,Clotrimazole,"Inducer,Inhibitor"
19,Clozapine,Substrate
20,Cocaine,Inducer
21,Cyclophosphamide,Substrate
22,Desipramine,Inhibitor
23,Dexfenfluramine,Inhibitor
24,Dexmedetomidine,Substrate
25,Diethyl Ether,Substrate
26,Diethyltoluamide,Substrate
27,Disulfiram,"Inhibitor,Substrate"
28,Dronabinol,Substrate
29,Eletriptan,Inducer
30,Entacapone,Inhibitor
31,Flunarizine,Substrate
32,Flunitrazepam,Substrate
33,Fluorouracil,Substrate
34,Fomepizole,Inhibitor
35,Formoterol,Substrate
36,Halothane,Substrate
37,Histamine,Inhibitor
38,Ifosfamide,Substrate
39,Indigo Carmine,Inhibitor
40,Isoniazid,Inhibitor
41,Isopropanol,Inhibitor
42,Ketoconazole,Inhibitor
43,Letrozole,"Substrate,Inhibitor"
44,Levoverbenone,Substrate
45,Lidocain,Substrate
46,Medifoxamine,Substrate
47,Memantine,Inhibitor
48,Menadione,Inhibitor
49,Methoxsalen,"Substrate,Inhibitor"
50,Methoxyflurane,Substrate
51,Metyrapone,Inhibitor
52,Miconazole,Inhibitor
53,Nicotine,"Inhibitor,Substrate"
54,Nicotinyl Alcohol (pyridylcarbinol),Substrate
55,Nilvadipine,Inhibitor
56,Norfloxacin,Inhibitor
57,Orphenadrine (citrate),Inhibitor
58,Paracetamol,Substrate
59,Perazine,Substrate
60,Phenacetin,Substrate
61,Phenazone,Substrate
62,Phenobarbital,"Inducer,Inhibitor"
63,Pilocarpine,"Inhibitor,Substrate"
64,Prednisolone,Inhibitor
65,Progesterone,Substrate
66,Propofol,Substrate
67,Rifampicin,"Inducer,Inhibitor,Substrate"
68,Rosiglitazone,Inhibitor
69,Roxatidine,Substrate
70,Selegiline,Substrate
71,Seratrodast,Inhibitor
72,Sevoflurane,Substrate
73,Sulconazole,Inhibitor
74,Sulfaphenazole,Inhibitor
75,Tamoxifen,Substrate
76,Tegafur,Substrate
77,Thalidomide,Substrate
78,Thiamazole,Inhibitor
79,Tranylcypromine,Inhibitor
80,Tretinoin,Substrate
81,Troleandomycin,Inhibitor
82,Trospium,Inhibitor
83,Valproic Acid,Substrate
84,Zidovudine,Substrate
