,drug_name,drug_type
0,Amitriptyline,Substrate
1,Amlodipine,Inhibitor
2,Amprenavir,Inhibitor
3,Aprobarbital,Inducer
4,Artemisinin,"Inducer,Substrate"
5,Azelastine,Inhibitor
6,Barnidipine,Inhibitor
7,Brompheniramine,Substrate
8,Bupropion,"Inhibitor,Substrate"
9,Capsaicin,Substrate
10,Carbamazepine,"Inducer,Substrate"
11,Carbinoxamine,Substrate
12,Chlorpromazine,Inducer
13,Cinnarizin,Substrate
14,Cisapride,Substrate
15,Cisplatin,Inhibitor
16,Citalopram,Inhibitor
17,Clobazam,Substrate
18,Clofibrate,Inducer
19,Clomethiazole,Substrate
20,Clonazepam,"Inducer,Inhibitor"
21,Clopidogrel,"Inhibitor,Substrate"
22,Clotiazepam,Substrate
23,Clotrimazole,"Inducer,Inhibitor"
24,Colchicine,Inhibitor
25,Colecalciferol,Inhibitor
26,Cyclophosphamide,"Inducer,Substrate"
27,Desipramine,Inhibitor
28,Dexamethasone,Inducer
29,Dextromethorphan,Substrate
30,Diazepam,Substrate
31,Diclofenac,Substrate
32,Diethyltoluamide,Substrate
33,Disulfiram,"Inhibitor,Substrate"
34,Domperidone,Substrate
35,Doxorubicin,Inhibitor
36,Efavirenz,"Inducer,Inhibitor,Substrate"
37,Epinastine,Substrate
38,Erythromycin,Substrate
39,Esketamine,Substrate
40,Estrone,Substrate
41,Ethanol,Inhibitor
42,Ethinylestradiol,Inhibitor
43,Ethylmorphine,Substrate
44,Flunitrazepam,Substrate
45,Fluoxetine,"Inhibitor,Substrate"
46,Fluvoxamine,Inhibitor
47,Fosphenytoin,Inhibitor
48,Halothane,Substrate
49,Ifosfamide,Substrate
50,Imipramine,Substrate
51,Irinotecan,Substrate
52,Isoflurane,"Inducer,Inhibitor,Substrate"
53,Ketamine,Substrate
54,Ketobemidone,Substrate
55,Ketoconazole,Inhibitor
56,Levoverbenone,Substrate
57,Lidocain,Substrate
58,Loperamide,Substrate
59,Lopinavir,Inhibitor
60,Malathion,Substrate
61,Memantine,Inhibitor
62,Metamizole Sodium,Inducer
63,Methadone,Substrate
64,Methoxyflurane,Substrate
65,Methylphenobarbital,Substrate
66,Methyltestosterone,Substrate
67,Mexiletine,Substrate
68,Mianserin,Substrate
69,Miconazole,Inhibitor
70,Midazolam,Substrate
71,Modafinil,"Inducer,Inhibitor"
72,Nelfinavir,Inhibitor
73,Nevirapine,"Inducer,Substrate"
74,Nicardipine,Inducer
75,Nicotine,Substrate
76,Nifedipine,Inducer
77,Orphenadrine (citrate),Inhibitor
78,Paroxetine,Inhibitor
79,Perhexiline,Substrate
80,Permethrin,"Inducer,Substrate"
81,Perphenazine,Substrate
82,Pethidine,Substrate
83,Phenazone,"Inhibitor,Substrate"
84,Phenobarbital,Inducer
85,Phenytoin,Inducer
86,Primidone,Inducer
87,Promethazine,Substrate
88,Propofol,Substrate
89,Quinidine,Inhibitor
90,Retinol (vit A),Inhibitor
91,Rifampicin,"Substrate,Inducer"
92,Ritonavir,"Substrate,Inhibitor,Inducer"
93,Ropivacaine,Substrate
94,Roxithromycin,Inhibitor
95,Selegiline,Substrate
96,Sertraline,"Inhibitor,Substrate"
97,Sevoflurane,Substrate
98,Sulconazole,Inhibitor
99,Sulfaphenazole,Inhibitor
100,Sulfinpyrazon,Inducer
101,Tamoxifen,"Inhibitor,Substrate"
102,Temazepam,Substrate
103,Testosterone,"Substrate,Inducer"
104,Thalidomide,Substrate
105,Thiamazole,Inhibitor
106,Thiotepa,Inhibitor
107,Thiram,Inducer
108,Ticlopidine,Inhibitor
109,Tramadol,Substrate
110,Tretinoin,Substrate
111,Triclosan,Inhibitor
112,Trofosfamide,Substrate
113,Troglitazone,Inducer
114,Venlafaxine,Inhibitor
115,Verapamil,"Inducer,Substrate"
116,Zotepine,Substrate
