,drug_name,drug_type
0,Aceclofenac,Substrate
1,Acenocoumarol,"Inhibitor,Substrate"
2,Acetylsalicylic Acid,Substrate
3,Adefovir Dipivoxil,Inhibitor
4,Alosetron,Substrate
5,Aminophenazone,Inhibitor
6,Amiodarone,Inhibitor
7,Amitriptyline,Substrate
8,Amlodipine,Inhibitor
9,Amodiaquine,Inhibitor
10,Amprenavir,Substrate
11,Anastrozole,Inhibitor
12,Aprepitant,"Inducer,Inhibitor"
13,Atovaquone,Inhibitor
14,Azapropazone,Inhibitor
15,Azelastine,Inhibitor
16,Barnidipine,Inhibitor
17,Benidipine,Inhibitor
18,Benzbromarone,Inhibitor
19,Benzethonium,Inhibitor
20,Bexarotene,Substrate
21,Bicalutamide,Inhibitor
22,Bortezomib,"Inhibitor,Substrate"
23,Bosentan,"Inducer,Substrate"
24,Brompheniramine,Substrate
25,Bupropion,Substrate
26,Caffeine,Substrate
27,Candesartan,"Inhibitor,Substrate"
28,Capecitabine,Inhibitor
29,Capsaicin,Substrate
30,Carbamazepine,Inducer
31,Carbinoxamine,Substrate
32,Carvedilol,Substrate
33,Celecoxib,Substrate
34,Chinin,Inhibitor
35,Chloramphenicol,Inhibitor
36,Chlorpropamide,Substrate
37,Ciclosporin,Inhibitor
38,Cimetidine,Inhibitor
39,Cinnarizin,Substrate
40,Cisapride,Substrate
41,Clevidipine,Inhibitor
42,Clopidogrel,"Substrate,Inhibitor"
43,Clotrimazole,Inhibitor
44,Clozapine,"Substrate,Inhibitor"
45,Cocaine,Inhibitor
46,Colchicine,"Inducer,Inhibitor"
47,Colecalciferol,Inhibitor
48,Cyamemazine,Substrate
49,Cyclizine,Inhibitor
50,Cyclophosphamide,"Substrate,Inducer"
51,Dapsone,"Inducer,Substrate"
52,Delavirdine,Inhibitor
53,Desloratadine,Inhibitor
54,Desogestrel,Substrate
55,Dexamethasone,Inducer
56,Dexfenfluramine,Inhibitor
57,Dexibuprofen,Inhibitor
58,Dexmedetomidine,Inhibitor
59,Dextromethorphan,Substrate
60,Dextropropoxyphene,Inhibitor
61,Diazepam,"Substrate,Inhibitor"
62,Diclofenac,"Substrate,Inhibitor"
63,Diclofenamide,Inducer
64,Dicoumarol,"Inhibitor,Substrate"
65,Diltiazem,"Inhibitor,Substrate"
66,Disulfiram,Inhibitor
67,Dolasetron,Substrate
68,Dopamine,Substrate
69,Dorzolamide,Substrate
70,Doxepin,Substrate
71,Dronabinol,Substrate
72,Efavirenz,Inhibitor
