,drug_name,drug_type
0,Aminophenazone,Substrate
1,Buprenorphine,Substrate
2,Clobazam,Substrate
3,Clotiazepam,Substrate
4,Cyclophosphamide,Substrate
5,Dapsone,Substrate
6,Dexamethasone,Inducer
7,Diazepam,Substrate
8,Diclofenac,Substrate
9,Fluconazole,Inhibitor
10,Ifosfamide,Substrate
11,Imipramine,Substrate
12,Lansoprazole,Substrate
13,Lidocain,Substrate
14,Mephenytoin,Substrate
15,Methadone,Substrate
16,Omeprazole,Substrate
17,Perphenazine,Substrate
18,Phenazone,Substrate
19,Phenobarbital,Inducer
20,Phenytoin,"Substrate,Inducer"
21,Propofol,Substrate
22,Rifampicin,Inducer
23,Thalidomide,Substrate
24,Tolbutamide,Substrate
25,Troleandomycin,Inhibitor
26,Valproic Acid,Inhibitor
27,Warfarin,Substrate
