,drug_name,drug_type,Smiles
0,Acebutolol,Inhibitor,CCCC(=O)NC1=CC(C(C)=O)=C(OC[C@@H](O)CNC(C)C)C=C1
1,Acetylcholin,Substrate,CC(=O)OCC[N+](C)(C)C
2,Ajmaline,Inhibitor,CCC1C(O)N2C3CC1C4C(O)C5(CC24)C3N(C)C6=C5C=CC=C6
3,Ajmaline,Substrate,CCC1C(O)N2C3CC1C4C(O)C5(CC24)C3N(C)C6=C5C=CC=C6
4,Almotriptan,Substrate,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N3CCCC3)C=C2
5,Alprenolol,Substrate,CC(C)NC[C@H](O)COC1=CC=CC=C1CC=C
6,Amfetamine,Inhibitor,C[C@@H](N)CC1=CC=CC=C1
7,Amfetamine,Substrate,C[C@@H](N)CC1=CC=CC=C1
8,Aminobutyric Acid,Substrate,NCCCC(O)=O
9,Aminophenazone,Substrate,CN(C)C1=C(C)N(C)N(C2=CC=CC=C2)C1=O
10,Amiodarone,Inhibitor,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C3=CC=CC=C3O1
11,Amiodarone,Substrate,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C3=CC=CC=C3O1
12,Amitriptyline,Substrate,CN(C)CCC=C1/C2=C(CCC3=C1C=CC=C3)C=CC=C2
13,Amitriptyline,Inhibitor,CN(C)CCC=C1/C2=C(CCC3=C1C=CC=C3)C=CC=C2
14,Amlodipine,Inhibitor,CCOC(=O)C1=C(COCCN)NC(C)=C([C@H]1C2=C(Cl)C=CC=C2)C(=O)OC
15,Amodiaquine,Inhibitor,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
16,Amprenavir,Substrate,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)C3=CC=C(N)C=C3
17,Amsacrine,Substrate,COC1=C(NC2=C3C=CC=CC3=NC4=CC=CC=C24)C=CC(NS(C)(=O)=O)=C1
18,Aprindine,Substrate,CCN(CC)CCCN([C@H]1CC2=CC=CC=C2C1)C3=CC=CC=C3
19,Aripiprazole,Substrate,ClC1=C(Cl)C(=CC=C1)N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2
20,Aripiprazole,Inhibitor,ClC1=C(Cl)C(=CC=C1)N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2
21,Aripiprazole,Inducer,ClC1=C(Cl)C(=CC=C1)N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2
