,drug_name,drug_type,Smiles
0,Aminogluthetimide,Inhibitor,CC[C@]1(CCC(=O)NC1=O)C2=CC=C(N)C=C2
1,Anastrozole,Inhibitor,CC(C)(C#N)C1=CC(CN2C=NC=N2)=CC(=C1)C(C)(C)C#N
2,Androstanolone,Substrate,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
3,Betamethason,Inducer,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
4,Betamethason,Substrate,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
5,Bifonazole,Inhibitor,C1=CC=C(C=C1)[C@H](N2C=CN=C2)C3=CC=C(C=C3)C4=CC=CC=C4
6,Bucladesine,Inducer,CCCC(=O)NC1=C2N=CN([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3OC(=O)CCC)C2=NC=N1
7,Buserelin,Inducer,CCNC(=O)[C@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](COC(C)(C)C)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C34)NC(=O)[C@H](CC5=CNC=N5)NC(=O)[C@H]6CCC(=O)N6
8,Clofenotane,Inhibitor,ClC1=CC=C(C=C1)C(C2=CC=C(Cl)C=C2)C(Cl)(Cl)Cl
9,Clomifene,Inhibitor,CCN(CC)CCOC1=CC=C(C=C1)C(=C(/Cl)C2=CC=CC=C2)C3=CC=CC=C3
10,Clonidine,Inducer,ClC1=CC=CC(Cl)=C1NC2=NCCN2
11,Clotrimazole,Inhibitor,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4
12,Cyproterone,Inhibitor,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C
13,Danazol,Inhibitor,C[C@]12CC3=C(ON=C3)C=C1CC[C@@H]4[C@@H]2CC[C@@]5(C)[C@H]4CC[C@@]5(O)C#C
14,Dibutylphthalate,Inducer,CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCC
15,Diethylstilbestrol,Inducer,CCC(C1=CC=C(O)C=C1)=C(CC)C2=CC=C(O)C=C2
16,Dinoprostone,Inducer,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
17,Dopamine,Inhibitor,NCCC1=CC(O)=C(O)C=C1
18,Econazole,Inhibitor,ClC1=CC=C(CO[C@@H](C[C@H]2C=NC=N2)C3=C(Cl)C=C(Cl)C=C3)C=C1
19,Ethanol,Inducer,CCO
20,Etomidate,Inhibitor,CCOC(=O)C1=CN=CN1[C@@H](C)C2=CC=CC=C2
21,Etretinate,Inhibitor,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)C(C)=C(OC)C=C1C
22,Exemestane,Inhibitor,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
23,Fluconazole,Inhibitor,OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3
24,Formestane,Inhibitor,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@]34C)[C@@H]1CCC2=O
25,Glutathione,Inducer,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
