,drug_name,drug_type
0,Bupropion,Substrate
1,Ciclosporin,Inhibitor
2,Cimetidine,Substrate
3,Ciprofloxacin,Substrate
4,Cladribine,Substrate
5,Daunorubicin,Substrate
6,Dexamethasone,Inducer
7,Diclofenac,Substrate
8,Dipyridamole,"Inhibitor,Substrate"
9,Doxorubicin,Substrate
10,Doxycycline,Inducer
11,Estradiol,Inducer
12,Estrone,Substrate
13,Etoposide,Substrate
14,Fluorouracil,Substrate
15,Folic Acid,"Substrate,Inducer"
16,Ganciclovir,Substrate
17,Gefitinib,"Inhibitor,Substrate"
18,Glafenine,Inhibitor
19,Glibenclamide,Substrate
20,Glutathione,Substrate
21,Grepafloxacin,Substrate
22,Imatinib,"Inducer,Substrate,Inhibitor"
23,Insulin (human),Inducer
24,Irinotecan,Substrate
25,Itraconazole,Inhibitor
26,Ketoconazole,Inhibitor
27,Lamivudine,Substrate
28,Leflunomide,Inhibitor
29,Lopinavir,Inhibitor
30,Menadione,Substrate
31,Metformin,Substrate
32,Methotrexate,"Inhibitor,Substrate"
33,Mitoxantrone,"Substrate,Inhibitor"
34,Nelfinavir,Inhibitor
35,Nicardipine,Inhibitor
36,Nimodipine,Inhibitor
37,Nitrofurantoin,Substrate
38,Norfloxacin,Substrate
39,Omeprazole,Substrate
40,Oxycodone,Inducer
41,Oxygen,Inducer
42,Pantoprazole,"Substrate,Inhibitor"
43,Plicamycin,Inhibitor
44,Prazosin,Substrate
45,Progesterone,"Inhibitor,Inducer"
46,Propafenone,Inhibitor
47,Rabeprazole,Substrate
48,Reserpine,Inhibitor
49,Riboflavin (vit B2),Substrate
50,Riluzole,Substrate
51,Ritonavir,Inhibitor
52,Rosiglitazone,Inducer
53,Rosuvastatin,Substrate
54,Rutoside,Inhibitor
55,Saquinavir,Substrate
56,Sirolimus,Inhibitor
57,Sulfasalazine,Substrate
58,Tacrolimus,Inhibitor
59,Topotecan,"Substrate,Inducer"
60,Toremifene,Inhibitor
