,drug_name,drug_type
0,Aldosterone,Substrate
1,Alfentanil,Substrate
2,Alprazolam,Substrate
3,Amiodarone,Inhibitor
4,Amitriptyline,Substrate
5,Amlodipine,Substrate
6,Amprenavir,Substrate
7,Aprepitant,Substrate
8,Argatroban,Substrate
9,Aripiprazole,Substrate
10,Astemizole,Substrate
11,Atazanavir,"Inhibitor,Substrate"
12,Atorvastatin,Substrate
13,Aztreonam,Substrate
14,Beclometasone,Inducer
15,Buspirone,Substrate
16,Caffeine,Substrate
17,Carbamazepine,"Inducer,Substrate"
18,Cerivastatin,Substrate
19,Chinin,Substrate
20,Chloroquine,Substrate
21,Chlorphenamine,Substrate
22,Chlorpromazine,Inducer
23,Ciclosporin,"Substrate,Inhibitor,Inducer"
24,Cimetidine,Inhibitor
25,Cisapride,Substrate
26,Clarithromycin,Substrate
27,Clopidogrel,Substrate
28,Cocaine,"Inducer,Substrate"
29,Codeine,Substrate
30,Cortisone,Substrate
31,Cyclobarbital,Inducer
32,Dapsone,Substrate
33,Daunorubicin,Inducer
34,Dexamethasone,"Inducer,Substrate"
35,Dextromethorphan,Substrate
36,Diazepam,Substrate
37,Diethyltoluamide,Substrate
38,Diltiazem,"Substrate,Inhibitor"
39,Disulfiram,Substrate
40,Docetaxel,Substrate
41,Domperidone,Substrate
42,Doxorubicin,Substrate
43,Doxylamin,Inducer
44,Dutasteride,Substrate
45,Eplerenone,Substrate
46,Erythromycin,"Substrate,Inhibitor"
47,Estradiol,Substrate
48,Estrone,Substrate
49,Ethinylestradiol,Substrate
50,Ethosuximide,Substrate
51,Etoposide,"Inducer,Substrate"
52,Felodipine,Substrate
53,Fentanyl,Substrate
54,Finasteride,Substrate
55,Fluconazole,"Inducer,Inhibitor"
56,Flutamide,Substrate
57,Fluvoxamine,Inhibitor
58,Glycyrrhizic Acid,"Inducer,Substrate"
59,Granisetron,Substrate
60,Halofantrine,Substrate
61,Haloperidol,Substrate
62,Hydrocortisone,Substrate
63,Ifosfamide,Substrate
64,Imatinib,"Inhibitor,Substrate"
65,Indinavir,"Substrate,Inhibitor"
66,Irinotecan,Substrate
67,Ketoconazole,"Inducer,Inhibitor,Substrate"
68,Lercanidipine,Substrate
69,Levacetylmethadol,Substrate
70,Lidocain,Substrate
71,Linopirdine,Substrate
72,Losartan,Substrate
73,Lovastatin,Substrate
74,Mepacrine,Substrate
75,Mephenytoin,Substrate
76,Methadone,Substrate
77,Mibefradil,Inhibitor
78,Midazolam,Substrate
79,Mifepristone,"Substrate,Inhibitor"
80,Modafinil,"Inducer,Inhibitor"
81,Nateglinide,Substrate
82,Nefazodone,Inhibitor
83,Nelfinavir,"Inhibitor,Substrate"
84,Neostigmine,Inhibitor
85,Nicardipine,Inhibitor
86,Nifedipine,Substrate
87,Nimodipine,Substrate
88,Nisoldipine,Substrate
89,Nitrendipine,Substrate
90,Norethisterone,Substrate
91,Norfloxacin,Inhibitor
92,Octopamine,Substrate
93,Omeprazole,"Substrate,Inhibitor,Inducer"
94,Ondansetron,Substrate
95,Ornidazole,Substrate
96,Oxazepam,Substrate
97,Oxcarbazepine,Inducer
98,Oxybutynin,Substrate
99,Oxycodone,Substrate
100,Paclitaxel,Substrate
101,Paracetamol,"Inducer,Substrate"
102,Paraoxon,Substrate
103,Pethidine,Inducer
104,Phenelzine,"Inhibitor,Substrate"
105,Phenobarbital,Inducer
106,Phenytoin,Inducer
107,Physostigmine,Inhibitor
108,Pimozide,Substrate
109,Pleconaril,Inducer
110,Pravastatin,Substrate
111,Praziquantel,Substrate
112,Prednisolone,"Substrate,Inducer"
113,Progesterone,Substrate
114,Propranolol,Substrate
115,Quetiapine,Substrate
116,Ranitidine,Inhibitor
117,Reserpine,Inducer
118,Rifampicin,"Inducer,Inhibitor,Substrate"
119,Rifapentine,Inducer
120,Risperidone,Substrate
121,Ritonavir,"Substrate,Inhibitor,Inducer"
122,Rosuvastatin,Inhibitor
123,Salmeterol,Substrate
124,Saquinavir,"Inhibitor,Substrate"
125,Sildenafil,Substrate
126,Simvastatin,Substrate
127,Sirolimus,Substrate
128,Spironolactone,Inducer
129,Sulfasalazine,Substrate
130,Tacrolimus,Substrate
131,Tamoxifen,Substrate
132,Tegafur,Substrate
133,Telithromycin,Substrate
134,Teniposide,Substrate
135,Terfenadine,Substrate
136,Testosterone,Substrate
137,Thalidomide,Substrate
138,Tocopherol (vit E),Inducer
139,Trazodone,Substrate
140,Triamcinolone,Inducer
141,Triazolam,Substrate
142,Troglitazone,"Inhibitor,Inducer"
143,Vardenafil,Substrate
144,Verapamil,"Inhibitor,Substrate"
145,Vinblastine,Substrate
146,Vincristine,Substrate
147,Zalcitabine,Substrate
148,Zaleplon,Substrate
149,Ziprasidone,Substrate
150,Zolpidem,Substrate
151,Zonisamide,Substrate
152,Zotepine,Substrate
