,drug_name,drug_type
0,Alfentanil,Substrate
1,Alprazolam,Substrate
2,Aminophenazone,Substrate
3,Amiodarone,Inhibitor
4,Amlodipine,Substrate
5,Aprepitant,Substrate
6,Aripiprazole,Substrate
7,Astemizole,Substrate
8,Atazanavir,"Inhibitor,Substrate"
9,Atorvastatin,Substrate
10,Aztreonam,Substrate
11,Buspirone,Substrate
12,Caffeine,Substrate
13,Carbamazepine,Substrate
14,Cerivastatin,Substrate
15,Chinin,Substrate
16,Chlorphenamine,Substrate
17,Ciclosporin,"Inducer,Substrate"
18,Cimetidine,Inhibitor
19,Cisapride,Substrate
20,Clarithromycin,Substrate
21,Clotiapine,Substrate
22,Clotrimazole,Inducer
23,Cocaine,Substrate
24,Codeine,Substrate
25,Cortisone,Substrate
26,Cyclophosphamide,Substrate
27,Dapsone,Substrate
28,Dexamethasone,"Inducer,Substrate"
29,Dextromethorphan,Substrate
30,Dextropropoxyphene,Inducer
31,Diazepam,Substrate
32,Diltiazem,Substrate
33,Docetaxel,Substrate
34,Domperidone,Substrate
35,Doxylamin,Inducer
36,Eplerenone,Substrate
37,Erythromycin,Substrate
38,Estradiol,Substrate
39,Estriol,Substrate
40,Ethinylestradiol,Substrate
41,Ethosuximide,Substrate
42,Ethylmorphine,Substrate
43,Felodipine,Substrate
44,Fentanyl,Substrate
45,Finasteride,Substrate
46,Fluvoxamine,Inhibitor
47,Glycyrrhizic Acid,"Inducer,Substrate"
48,Haloperidol,Substrate
49,Hydrocortisone,Substrate
50,Ifosfamide,Substrate
51,Imatinib,Substrate
52,Imipramine,Substrate
53,Indinavir,"Inhibitor,Substrate"
54,Irinotecan,Substrate
55,Ketoconazole,Inhibitor
56,Lercanidipine,Substrate
57,Levacetylmethadol,Substrate
58,Lidocain,Substrate
59,Linopirdine,Substrate
60,Lovastatin,Substrate
61,Methadone,Substrate
62,Mibefradil,Inhibitor
63,Midazolam,"Inhibitor,Substrate"
64,Mifepristone,Inhibitor
65,Nateglinide,Substrate
66,Nefazodone,Inhibitor
67,Nelfinavir,"Inhibitor,Substrate"
68,Neostigmine,Inhibitor
69,Nifedipine,Substrate
70,Nisoldipine,Substrate
71,Nitrendipine,Substrate
72,Norethisterone,Substrate
73,Norfloxacin,Inhibitor
74,Ondansetron,Substrate
75,Ornidazole,Substrate
76,Oxazepam,Substrate
77,Oxycodone,Substrate
78,Paclitaxel,Substrate
79,Phenelzine,Inhibitor
80,Phenobarbital,Inducer
81,Phenytoin,Inducer
82,Pimozide,Substrate
83,Pleconaril,Inducer
84,Prasterone,"Inhibitor,Substrate"
85,Praziquantel,Substrate
86,Progesterone,"Inhibitor,Substrate"
87,Propranolol,Substrate
88,Quetiapine,Substrate
89,Quinidine,Substrate
90,Rifampicin,Inducer
91,Rifapentine,Inducer
92,Risperidone,Substrate
93,Ritonavir,"Inhibitor,Substrate"
94,Salmeterol,Substrate
95,Saquinavir,Substrate
96,Sildenafil,Substrate
97,Simvastatin,Substrate
98,Sirolimus,Substrate
99,Tacrolimus,Substrate
100,Tamoxifen,Substrate
101,Telithromycin,Substrate
102,Terfenadine,Substrate
103,Testosterone,Substrate
104,Trazodone,Substrate
105,Triamcinolone,Inducer
106,Triazolam,Substrate
107,Troglitazone,"Inducer,Inhibitor"
108,Verapamil,"Inhibitor,Substrate"
109,Vincristine,Substrate
110,Zalcitabine,Substrate
111,Zaleplon,Substrate
112,Ziprasidone,Substrate
113,Zolpidem,Substrate
