,drug_name,drug_type
0,Ciprofibrate,Inducer
1,Clofibrate,"Substrate,Inducer"
2,Dexamethasone,Inducer
3,Estrone,Substrate
4,Ethanol,Inducer
5,Lansoprazole,Inducer
6,"Mercury, Metallic",Inhibitor
7,Phenobarbital,Inducer
8,Rifampicin,Inducer
9,Valproic Acid,Inducer
10,Aminophenazone,Substrate
11,Buprenorphine,Substrate
12,Clobazam,Substrate
13,Clotiazepam,Substrate
14,Cyclophosphamide,Substrate
15,Dapsone,Substrate
16,Diazepam,Substrate
17,Diclofenac,Substrate
18,Fluconazole,Inhibitor
19,Ifosfamide,Substrate
20,Imipramine,Substrate
21,Lidocain,Substrate
22,Mephenytoin,Substrate
23,Methadone,Substrate
24,Omeprazole,Substrate
25,Perphenazine,Substrate
26,Phenazone,Substrate
27,Phenytoin,"Substrate,Inducer"
28,Propofol,Substrate
29,Thalidomide,Substrate
30,Tolbutamide,Substrate
31,Troleandomycin,Inhibitor
32,Warfarin,Substrate
33,Aldosterone,Inducer
34,Aminogluthetimide,Inhibitor
35,Androstanolone,Substrate
36,Insulin (human),Inducer
37,Metoclopramide,Inhibitor
38,Progesterone,Inhibitor
39,[32P]Natriumphosphat,Substrate
40,Cefmetazole,Substrate
41,Cefoperazone,Substrate
42,Ceftriaxone,Substrate
43,Dactinomycin,Inhibitor
44,Docetaxel,"Inhibitor,Substrate"
45,Estradiol,Substrate
46,Fluvastatin,Substrate
47,Hydroxycarbamide,Substrate
48,Methotrexate,Substrate
49,Mitoxantrone,Inhibitor
50,Paclitaxel,"Substrate,Inhibitor"
51,Pancreozymin (cholecystokinin),Substrate
52,Sulfobromophthalein,Substrate
53,Technetium (99mTc) Mebrofenin,Substrate
54,Telithromycin,Inhibitor
55,Testosterone,Substrate
56,Anastrozole,Inhibitor
57,Betamethason,"Inducer,Substrate"
58,Bifonazole,Inhibitor
59,Bucladesine,Inducer
60,Buserelin,Inducer
61,Clofenotane,Inhibitor
62,Clomifene,Inhibitor
63,Clonidine,Inducer
64,Clotrimazole,Inhibitor
65,Cyproterone,Inhibitor
66,Danazol,Inhibitor
67,Dibutylphthalate,Inducer
68,Diethylstilbestrol,Inducer
69,Dinoprostone,Inducer
70,Dopamine,Inhibitor
71,Econazole,Inhibitor
72,Etomidate,Inhibitor
73,Etretinate,Inhibitor
74,Exemestane,Inhibitor
75,Formestane,Inhibitor
76,Glutathione,Inducer
77,Isoconazole,Inhibitor
78,Isoprenaline,Inducer
79,Itraconazole,Inhibitor
80,Letrozole,"Inhibitor,Substrate"
81,Levacetylmethadol,Substrate
82,Levonorgestrel,Inhibitor
83,Mefloquine,Inhibitor
84,Melatonin,Inhibitor
85,Methyltestosterone,Inducer
86,Miconazole,Inhibitor
87,Nandrolone,Substrate
88,Norepinephrine,Inhibitor
89,Oxycodone,Inhibitor
90,Phenylephrine,Inducer
91,Prasterone,Substrate
92,Raloxifene,Inhibitor
93,Tamoxifen,Inhibitor
94,Terbinafine,Inhibitor
95,Tibolone,Inhibitor
96,Tinidazole,Inhibitor
97,Tioconazole,Inhibitor
98,Trastuzumab,Inhibitor
99,Troglitazone,Inhibitor
100,Vorozole,Inhibitor
101,Inosine,Inhibitor
102,Mercaptopurine,Substrate
103,Ribavirin,Substrate
104,Tioguanine,Substrate
105,Tretinoin,Inducer
106,Cisplatin,Substrate
107,Silver,Inhibitor
108,Cefalexin,Substrate
109,Chloroquine,"Inhibitor,Substrate"
110,Mephenoxalone,Substrate
111,Metformin,Substrate
112,Trimethoprim,Inhibitor
113,Acarbose,"Inducer,Inhibitor"
114,Acetic Acid,Substrate
115,Ademetionine,"Inhibitor,Substrate"
116,Allopurinol,Inhibitor
117,Alosetron,Inhibitor
118,Aminophylline,Substrate
119,Amitriptyline,"Substrate,Inhibitor"
120,Azelastine,Inhibitor
121,Benzocaine,Inhibitor
122,Benzydamine,Substrate
123,Bromazepam,Inhibitor
124,Brompheniramine,Substrate
125,Bupropion,Substrate
126,Caffeine,Substrate
127,Capsaicin,Substrate
128,Carbamide,Inducer
129,Carbinoxamine,Substrate
130,Carvedilol,Substrate
131,Chloroform,Substrate
132,Chloroxylenol,Substrate
133,Chlorpromazine,Inhibitor
134,Chlorzoxazone,"Inhibitor,Substrate"
135,Cimetidine,Inhibitor
136,Ciprofloxacin,Inducer
137,Citalopram,Substrate
138,Clomethiazole,Inhibitor
139,Clozapine,Inhibitor
140,Colchicine,Inducer
141,Dacarbazine,Substrate
142,Desipramine,Inhibitor
143,Dexfenfluramine,Inhibitor
144,Dextromethorphan,Substrate
145,Diethyl Ether,Inducer
146,Diethyltoluamide,Substrate
147,Disulfiram,"Substrate,Inhibitor"
148,Dorzolamide,Substrate
149,Enflurane,Substrate
150,Entacapone,Inhibitor
151,Eszopiclone,Substrate
152,Ethosuximide,Substrate
153,Etoposide,Substrate
154,Etoricoxib,Inhibitor
155,Felbamate,Substrate
156,Flufenamic Acid,Inducer
157,Flumequine,Inhibitor
158,Fluoxetine,Substrate
