,drug_name,drug_type,Smiles
0,Amitriptyline,Substrate,CN(C)CCC=C1/C2=C(CCC3=C1C=CC=C3)C=CC=C2
1,Amlodipine,Inhibitor,CCOC(=O)C1=C(COCCN)NC(C)=C([C@H]1C2=C(Cl)C=CC=C2)C(=O)OC
2,Amprenavir,Inhibitor,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)C3=CC=C(N)C=C3
3,Aprobarbital,Inducer,CC(C)[C@]1(CC=C)C(=O)NC(=O)NC1=O
4,Artemisinin,Inducer,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
5,Artemisinin,Substrate,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
6,Azelastine,Inhibitor,CN1CCC[C@@H](CC1)N2N=C(CC3=CC=C(Cl)C=C3)C4=CC=CC=C4C2=O
7,Barnidipine,Inhibitor,COC(=O)C1=C(C)NC(C)=C([C@@H]1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)O[C@H]3CCN(C3)CC4=CC=CC=C4
8,Brompheniramine,Substrate,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C2=CC=CC=N2
9,Bupropion,Inhibitor,C[C@H](NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
10,Bupropion,Substrate,C[C@H](NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
11,Capsaicin,Substrate,COC1=C(O)C=CC(CNC(=O)CCCCC=CC(C)C)=C1
12,Carbamazepine,Inducer,NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3
13,Carbamazepine,Substrate,NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3
14,Carbinoxamine,Substrate,CN(C)CCO[C@@H](C1=CC=C(Cl)C=C1)C2=NC=CC=C2
15,Chlorpromazine,Inducer,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
16,Cinnarizin,Substrate,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
17,Cisapride,Substrate,CO[C@@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C3=C(OC)C=C(N)C(Cl)=C3
18,Cisplatin,Inhibitor,N[Pt](N)(Cl)Cl
19,Citalopram,Inhibitor,CN(C)CCC[C@@]1(OCC2=C1C=CC(=C2)C#N)C3=CC=C(F)C=C3
20,Clobazam,Substrate,CN1C(=O)CC(=O)N(C2=CC=CC=C2)C3=C1C=CC(Cl)=C3
21,Clofibrate,Inducer,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
22,Clomethiazole,Substrate,CC1=C(CCCl)SC=N1
23,Clonazepam,Inducer,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C3=C(Cl)C=CC=C3)C=C1
24,Clonazepam,Inhibitor,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C3=C(Cl)C=CC=C3)C=C1
25,Clopidogrel,Inhibitor,COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C3=C(Cl)C=CC=C3
26,Clopidogrel,Substrate,COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C3=C(Cl)C=CC=C3
27,Clotiazepam,Substrate,CCC1=CC2=C(S1)N(C)C(=O)CN=C2C3=C(Cl)C=CC=C3
28,Clotrimazole,Inducer,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4
29,Clotrimazole,Inhibitor,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4
30,Colchicine,Inhibitor,COC1=CC=C2C(=CC1=O)[C@H](CCC3=CC(OC)=C(OC)C(OC)=C23)NC(C)=O
31,Colecalciferol,Inhibitor,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C(CCC[C@]12C)=CC=C3C[C@@H](O)CCC3=C
32,Cyclophosphamide,Inducer,ClCCN(CCCl)[P@]1(=O)NCCCO1
33,Cyclophosphamide,Substrate,ClCCN(CCCl)[P@]1(=O)NCCCO1
34,Desipramine,Inhibitor,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2
35,Dexamethasone,Inducer,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
