,drug_name,drug_type,Smiles
0,Amfetamine,Inhibitor,C[C@@H](N)CC1=CC=CC=C1
1,Amlodipine,Inhibitor,CCOC(=O)C1=C(COCCN)NC(C)=C([C@H]1C2=C(Cl)C=CC=C2)C(=O)OC
2,Amobarbital,Inducer,CC[C@@]1(CCC(C)C)C(=O)NC(=O)NC1=O
3,Artemisinin,Substrate,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
4,Artesunate,Substrate,C[C@H]1CC[C@H]2[C@H](C)[C@H](O[C@H]3O[C@]4(C)CC[C@H]1[C@]23OO4)OC(=O)CCC(O)=O
5,Azelastine,Inhibitor,CN1CCC[C@@H](CC1)N2N=C(CC3=CC=C(Cl)C=C3)C4=CC=CC=C4C2=O
6,Azithromycin,Inhibitor,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
7,Buprenorphine,Inhibitor,CO[C@@]12CC[C@]3(C[C@H]1[C@](C)(O)C(C)(C)C)[C@@H]4CC5=CC=C(O)C6=C5[C@]3(CCN4C[C@@H]7CC7)[C@@H]2O6
8,Bupropion,Substrate,C[C@H](NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
9,Carbamazepine,Inducer,NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3
10,Chloroform,Substrate,ClC(Cl)Cl
11,Chloroxylenol,Substrate,CC1=CC(O)=CC(C)=C1Cl
12,Chlorzoxazone,Substrate,OC1=NC2=C(O1)C=CC(Cl)=C2
13,Cinnarizin,Substrate,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
14,Cisapride,Substrate,CO[C@@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C3=C(OC)C=C(N)C(Cl)=C3
15,Clofibrate,Inhibitor,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
16,Clomethiazole,Substrate,CC1=C(CCCl)SC=N1
17,Clomifene,Inhibitor,CCN(CC)CCOC1=CC=C(C=C1)C(=C(/Cl)C2=CC=CC=C2)C3=CC=CC=C3
18,Clotrimazole,Inducer,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4
19,Clotrimazole,Inhibitor,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4
20,Clozapine,Substrate,CN1CCN(CC1)C2=NC3=C(NC4=C2C=CC=C4)C=CC(Cl)=C3
21,Cocaine,Inducer,COC(=O)[C@H]1[C@H](C[C@H]2CC[C@@H]1N2C)OC(=O)C3=CC=CC=C3
22,Cyclophosphamide,Substrate,ClCCN(CCCl)[P@]1(=O)NCCCO1
23,Desipramine,Inhibitor,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2
24,Dexfenfluramine,Inhibitor,CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F
25,Dexmedetomidine,Substrate,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1
26,Diethyl Ether,Substrate,CCOCC
27,Diethyltoluamide,Substrate,CCN(CC)C(=O)C1=CC=CC(C)=C1
28,Disulfiram,Inhibitor,CCN(CC)C(=S)SSC(=S)N(CC)CC
29,Disulfiram,Substrate,CCN(CC)C(=S)SSC(=S)N(CC)CC
30,Dronabinol,Substrate,CCCCCC1=CC2=C([C@@H]3C=C(C)CC[C@H]3C(C)(C)O2)C(O)=C1
31,Eletriptan,Inducer,CN1CCC[C@@H]1CC2=CNC3=C2C=C(CCS(=O)(=O)C4=CC=CC=C4)C=C3
32,Entacapone,Inhibitor,CCN(CC)C(=O)C(=CC1=CC(=C(O)C(O)=C1)[N+]([O-])=O)C#N
33,Flunarizine,Substrate,FC1=CC=C(C=C1)C(N2CCN(CC2)CC=CC3=CC=CC=C3)C4=CC=C(F)C=C4
34,Flunitrazepam,Substrate,CN1C(=O)CN=C(C2=C(F)C=CC=C2)C3=C1C=CC(=C3)[N+]([O-])=O
35,Fluorouracil,Substrate,FC1=CNC(=O)NC1=O
36,Fomepizole,Inhibitor,CC1=CNN=C1
37,Formoterol,Substrate,COC1=CC=C(C[C@H](C)NC[C@@H](O)C2=CC=C(O)C(NC=O)=C2)C=C1
38,Halothane,Substrate,FC(F)(F)[C@@H](Cl)Br
39,Histamine,Inhibitor,NCCC1=CNC=N1
40,Ifosfamide,Substrate,ClCCN[P@@]1(=O)OCCCN1CCCl
41,Indigo Carmine,Inhibitor,[O-]S(=O)(=O)C1=CC=C2NC(C(=O)C2=C1)=C3NC4=CC=C(C=C4C3=O)S([O-])(=O)=O
42,Isoniazid,Inhibitor,NNC(=O)C1=CC=NC=C1
43,Isopropanol,Inhibitor,CC(C)O
44,Ketoconazole,Inhibitor,CC(=O)N1CCN(CC1)C2=CC=C(OC[C@@H]3CO[C@](CN4C=CN=C4)(O3)C5=C(Cl)C=C(Cl)C=C5)C=C2
45,Letrozole,Substrate,N#CC1=CC=C(C=C1)C(N2C=NC=N2)C3=CC=C(C=C3)C#N
46,Letrozole,Inhibitor,N#CC1=CC=C(C=C1)C(N2C=NC=N2)C3=CC=C(C=C3)C#N
47,Levoverbenone,Substrate,CC1=CC(=O)[C@@H]2C[C@H]1C2(C)C
48,Lidocain,Substrate,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
49,Medifoxamine,Substrate,CN(C)CC(OC1=CC=CC=C1)OC2=CC=CC=C2
50,Memantine,Inhibitor,C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2
51,Menadione,Inhibitor,CC1=CC(=O)C2=C(C=CC=C2)C1=O
