,drug_name,drug_type,Smiles
0,Aceclofenac,2C9-Substrate,OC(=O)COC(=O)CC1=CC=CC=C1NC2=C(Cl)C=CC=C2Cl
1,Acenocoumarol,2C9-Inhibitor,CC(=O)C[C@H](C1=CC=C(C=C1)[N+]([O-])=O)C2=C(O)C3=C(OC2=O)C=CC=C3
2,Acenocoumarol,2C9-Substrate,CC(=O)C[C@H](C1=CC=C(C=C1)[N+]([O-])=O)C2=C(O)C3=C(OC2=O)C=CC=C3
3,Acetylsalicylic Acid,2C9-Substrate,CC(=O)OC1=C(C=CC=C1)C(O)=O
4,Adefovir Dipivoxil,2C9-Inhibitor,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
5,Alosetron,2C9-Substrate,CN1C2=C(C(=O)N(CC2)CC3=C(C)N=CN3)C4=C1C=CC=C4
6,Aminophenazone,2C9-Inhibitor,CN(C)C1=C(C)N(C)N(C2=CC=CC=C2)C1=O
7,Amiodarone,2C9-Inhibitor,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C3=CC=CC=C3O1
8,Amitriptyline,2C9-Substrate,CN(C)CCC=C1/C2=C(CCC3=C1C=CC=C3)C=CC=C2
9,Amlodipine,2C9-Inhibitor,CCOC(=O)C1=C(COCCN)NC(C)=C([C@H]1C2=C(Cl)C=CC=C2)C(=O)OC
10,Amodiaquine,2C9-Inhibitor,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
11,Amprenavir,2C9-Substrate,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)C3=CC=C(N)C=C3
12,Anastrozole,2C9-Inhibitor,CC(C)(C#N)C1=CC(CN2C=NC=N2)=CC(=C1)C(C)(C)C#N
13,Aprepitant,2C9-Inducer,C[C@@H](O[C@@H]1OCCN(CC2=NC(=O)NN2)[C@@H]1C3=CC=C(F)C=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
14,Aprepitant,2C9-Inhibitor,C[C@@H](O[C@@H]1OCCN(CC2=NC(=O)NN2)[C@@H]1C3=CC=C(F)C=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
15,Atovaquone,2C9-Inhibitor,OC1=C([C@H]2CC[C@@H](CC2)C3=CC=C(Cl)C=C3)C(=O)C4=C(C=CC=C4)C1=O
16,Azapropazone,2C9-Inhibitor,CCC[C@H]1C(=O)N2N(C1=O)C(=NC3=C2C=C(C)C=C3)N(C)C
17,Azelastine,2C9-Inhibitor,CN1CCC[C@@H](CC1)N2N=C(CC3=CC=C(Cl)C=C3)C4=CC=CC=C4C2=O
