,drug_name,drug_type,Smiles
0,Acetylcholin,NAT-Inhibitor,CC(=O)OCC[N+](C)(C)C
1,Acetylsalicylic Acid,NAT-Inhibitor,CC(=O)OC1=C(C=CC=C1)C(O)=O
2,Adenosine,NAT-Inducer,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
3,Allopurinol,NAT-Substrate,OC1=NC=NC2=C1C=NN2
4,Amfetamine,NAT-Inducer,C[C@@H](N)CC1=CC=CC=C1
5,Aminobenzoic Acid,NAT-Substrate,NC1=CC=C(C=C1)C(O)=O
6,Aminobenzoic Acid,NAT-Inhibitor,NC1=CC=C(C=C1)C(O)=O
7,Aminophylline,NAT-Inducer,CN1C(=O)N(C)C2=C(NC=N2)C1=O
8,Androstanolone,NAT-Inducer,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
9,Apomorphine,NAT-Inhibitor,CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(O)=C(O)C=C4
10,Arbekacin,NAT-Substrate,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
11,Ascorbic Acid (vit C),NAT-Inhibitor,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
12,Bergapten,NAT-Inhibitor,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
13,Bromocriptine,NAT-Inhibitor,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=CC=CC(C4=C3)=C56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C
14,Bucladesine,NAT-Inducer,CCCC(=O)NC1=C2N=CN([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3OC(=O)CCC)C2=NC=N1
15,Caffeine,NAT-Substrate,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
16,Carbachol,NAT-Inhibitor,C[N+](C)(C)CCOC(N)=O
17,Carmustine,NAT-Inhibitor,ClCCNC(=O)N(CCCl)N=O
18,Cimetidine,NAT-Inhibitor,CNC(NCCSCC1=C(C)NC=N1)=N/C#N
19,Clonazepam,NAT-Substrate,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C3=C(Cl)C=CC=C3)C=C1
20,Clonidine,NAT-Inhibitor,ClC1=CC=CC(Cl)=C1NC2=NCCN2
21,Clozapine,NAT-Inducer,CN1CCN(CC1)C2=NC3=C(NC4=C2C=CC=C4)C=CC(Cl)=C3
22,Cocaine,NAT-Inducer,COC(=O)[C@H]1[C@H](C[C@H]2CC[C@@H]1N2C)OC(=O)C3=CC=CC=C3
23,Cocaine,NAT-Inhibitor,COC(=O)[C@H]1[C@H](C[C@H]2CC[C@@H]1N2C)OC(=O)C3=CC=CC=C3
