,drug_name,drug_type,Smiles
0,Alfentanil,P450_HFLA-Substrate,CCN1N=NN(CCN2CC[C@](CC2)(COC)N(C(=O)CC)C3=CC=CC=C3)C1=O
1,Alprazolam,P450_HFLA-Substrate,CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C(C=CC(Cl)=C4)N12
2,Aminophenazone,P450_HFLA-Substrate,CN(C)C1=C(C)N(C)N(C2=CC=CC=C2)C1=O
3,Amiodarone,P450_HFLA-Inhibitor,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C3=CC=CC=C3O1
4,Amlodipine,P450_HFLA-Substrate,CCOC(=O)C1=C(COCCN)NC(C)=C([C@H]1C2=C(Cl)C=CC=C2)C(=O)OC
5,Aprepitant,P450_HFLA-Substrate,C[C@@H](O[C@@H]1OCCN(CC2=NC(=O)NN2)[C@@H]1C3=CC=C(F)C=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
6,Aripiprazole,P450_HFLA-Substrate,ClC1=C(Cl)C(=CC=C1)N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2
7,Astemizole,P450_HFLA-Substrate,COC1=CC=C(CCN2CC[C@@H](CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(F)C=C5)C=C1
8,Atazanavir,P450_HFLA-Inhibitor,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
9,Atazanavir,P450_HFLA-Substrate,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
10,Atorvastatin,P450_HFLA-Substrate,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C3=CC=CC=C3)=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C4=CC=C(F)C=C4
