,drug_name,drug_type,Smiles
0,Aldosterone,Steroid_11_beta_hydroxylase-Substrate,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@H](C(=O)CO)[C@]4(C[C@H](O)[C@H]23)C=O
1,Aminogluthetimide,Steroid_11_beta_hydroxylase-Inhibitor,CC[C@]1(CCC(=O)NC1=O)C2=CC=C(N)C=C2
2,Angiotensinamide,Steroid_11_beta_hydroxylase-Inducer,CC(C)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@@H]3C(=O)N[C@@H](CC4=CC=CC=C4)C(O)=O
3,Cimetidine,Steroid_11_beta_hydroxylase-Inhibitor,CNC(NCCSCC1=C(C)NC=N1)=N/C#N
4,Clotrimazole,Steroid_11_beta_hydroxylase-Inhibitor,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4
5,Corticotropin,Steroid_11_beta_hydroxylase-Inducer,CSCC[C@H](NC(=O)[C@@H](N)CC1=CC=C(O)C=C1)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC2=CNC=N2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC4=CNC5=CC=CC=C45)C(=O)NCC(O)=O
6,Desoxycortone,Steroid_11_beta_hydroxylase-Substrate,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO
7,Dexamethasone,Steroid_11_beta_hydroxylase-Inhibitor,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
8,Etomidate,Steroid_11_beta_hydroxylase-Inhibitor,CCOC(=O)C1=CN=CN1[C@@H](C)C2=CC=CC=C2
9,Fluconazole,Steroid_11_beta_hydroxylase-Inhibitor,OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3
10,Hydrocortisone,Steroid_11_beta_hydroxylase-Substrate,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23
11,Ketoconazole,Steroid_11_beta_hydroxylase-Inhibitor,CC(=O)N1CCN(CC1)C2=CC=C(OC[C@@H]3CO[C@](CN4C=CN=C4)(O3)C5=C(Cl)C=C(Cl)C=C5)C=C2
12,Metoclopramide,Steroid_11_beta_hydroxylase-Inhibitor,CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1
13,Metyrapone,Steroid_11_beta_hydroxylase-Inhibitor,CC(C)(C1=CC=CN=C1)C(=O)C2=CC=CN=C2
14,Mibefradil,Steroid_11_beta_hydroxylase-Inhibitor,COCC(=O)O[C@]3(CCN(C)CCCC1=NC2=C(N1)C=CC=C2)CCC4=C(C=CC(F)=C4)[C@@H]3C(C)C
15,Miconazole,Steroid_11_beta_hydroxylase-Inhibitor,ClC1=CC=C(CO[C@H](CN2C=CN=C2)C3=CC=C(Cl)C=C3Cl)C(Cl)=C1
16,Phenytoin,Steroid_11_beta_hydroxylase-Inhibitor,O=C1NC(=O)[C@](N1)(C2=CC=CC=C2)C3=CC=CC=C3
17,Spironolactone,Steroid_11_beta_hydroxylase-Inducer,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13
18,Spironolactone,Steroid_11_beta_hydroxylase-Inhibitor,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13
