,Target,Dataset_Size,Actives,Inactives
0,11B1_ind,1192,3,1189
1,11B2_ind,1192,3,1189
2,17A_ind,1192,2,1190
3,19A_ind,1192,13,1179
4,1A1_ind,1192,49,1143
5,1A2_ind,1192,39,1153
6,1B1_ind,1192,13,1179
7,21A_ind,1192,1,1191
8,24A_ind,1192,1,1191
9,27A_ind,1192,2,1190
10,2A13_ind,1192,2,1190
11,2A6_ind,1192,7,1185
12,2B6_ind,1192,27,1165
13,2C18_ind,1192,4,1188
14,2C19_ind,1192,16,1176
15,2C8_ind,1192,17,1175
16,2C9_ind,1192,28,1164
17,2D6_ind,1192,13,1179
18,2E1_ind,1192,28,1164
19,2F1_ind,1192,1,1191
20,2J2_ind,1192,1,1191
21,2W1_ind,1192,1,1191
22,3A43_ind,1192,3,1189
23,3A4_ind,1192,101,1091
24,3A5_ind,1192,30,1162
25,3A7_ind,1192,13,1179
26,4A11_ind,1192,8,1184
27,4B1_ind,1192,4,1188
28,4F22_ind,1192,1,1191
29,7A1_ind,1192,2,1190
30,8B1_ind,1192,1,1191
31,ATP_binding_cassette_sub_family_A_member_3_ind,1192,2,1190
32,ATP_binding_cassette_sub_family_G_member_2_ind,1192,11,1181
33,ATP_binding_cassette_transporter_sub_family_C_member_11_ind,1192,2,1190
34,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_ind,1192,3,1189
35,Arachidonic_acid_epoxygenase_ind,1192,1,1191
36,Aromatase_Estrogen_synthetase_ind,1192,13,1179
37,Bile_salt_export_pump_ind,1192,3,1189
38,CP2AD_ind,1192,2,1190
39,CP2CI_ind,1192,4,1188
40,CP2F1_ind,1192,1,1191
41,CP343_ind,1192,3,1189
42,CP4FN_ind,1192,1,1191
43,Canalicular_multispecific_organic_anion_transporter_1_ind,1192,15,1177
44,Canalicular_multispecific_organic_anion_transporter_2_ind,1192,5,1187
45,Cholesterol_7_alpha_monooxygenase_Cholesterol_7_alpha_hydroxylase_ind,1192,2,1190
46,Copper_transporting_ATPase_2_ind,1192,1,1191
47,Coumarin_7_hydroxylase_ind,1192,7,1185
48,GST_ind,1192,48,1144
49,HLp2_ind,1192,30,1162
50,High_affinity_copper_uptake_protein_1_ind,1192,1,1191
51,Ileal_sodiumbile_acid_cotransporter_ind,1192,7,1185
52,MET_ind,1192,16,1176
53,Methyltransferase_ind,1192,16,1176
54,Monocarboxylate_transporter_1_ind,1192,3,1189
55,Multidrug_resistance_associated_protein_1_ind,1192,13,1179
56,Multidrug_resistance_associated_protein_4_ind,1192,2,1190
57,Multidrug_resistance_associated_protein_5_ind,1192,2,1190
58,Multidrug_resistance_associated_protein_7_ind,1192,2,1190
59,Multidrug_resistance_protein_1_ind,1192,42,1150
60,Multidrug_resistance_protein_3_ind,1192,4,1188
61,NAT_ind,1192,30,1162
62,N_acetyltransferase_ind,1192,30,1162
63,Neutral_amino_acid_transporter_B0_ind,1192,2,1190
64,P450_HFLA_ind,1192,13,1179
65,P450_HP_ind,1192,4,1188
66,Proton_coupled_folate_transporter_ind,1192,1,1191
67,SUL_ind,1192,15,1177
68,S_mephenytoin_4_hydroxylase_ind,1192,17,1175
69,Sodium_coupled_neutral_amino_acid_transporter_3_ind,1192,1,1191
70,Sodium_dependent_noradrenaline_transporter_ind,1192,4,1188
71,Sodiumbile_acid_cotransporter_ind,1192,3,1189
72,Solute_carrier_family_12_member_1_ind,1192,6,1186
73,Solute_carrier_family_12_member_2_ind,1192,8,1184
74,Solute_carrier_family_12_member_4_ind,1192,1,1191
75,Solute_carrier_family_15_member_1_ind,1192,2,1190
76,Solute_carrier_family_22_member_1_ind,1192,3,1189
77,Solute_carrier_family_22_member_2_ind,1192,1,1191
78,Solute_carrier_family_22_member_7_ind,1192,1,1191
79,Solute_carrier_family_22_member_8_ind,1192,1,1191
80,Solute_carrier_family_28_member_3_ind,1192,1,1191
81,Solute_carrier_organic_anion_transporter_family_member_1A2_ind,1192,1,1191
82,Solute_carrier_organic_anion_transporter_family_member_1B1_ind,1192,4,1188
83,Steroid_11_beta_hydroxylase_ind,1192,3,1189
84,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_ind,1192,2,1190
85,Steroid_21_hydroxylase_21_OHase_ind,1192,1,1191
86,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_ind,1192,2,1190
87,Sulfotransferase_ind,1192,15,1177
88,UGT_ind,1192,20,1172
